"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"2:29:00::"	"to"	"."	"pretend"	"∅"	"pretend_to"	"to_."	"._∅"	",_pretend_to"	"pretend_to_."	"to_._∅"	"._∅_∅"	"ε"	"VB"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"no_longer"	"had_to"	"lie"	"in"	"his"	"bunk"	"night"	"his"	"eyes"	"closed"	"pretend"	"to"	"sleep"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"never"	"."	"ekstrohm"	"∅"	"ekstrohm_never"	"never_."	"._∅"	"∅_ekstrohm_never"	"ekstrohm_never_."	"never_._∅"	"._∅_∅"	"ε"	"NNP"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"never"	"sleep"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"to"	"in"	"old"	"strange"	"old_to"	"to_in"	"in_strange"	"too_old_to"	"old_to_in"	"to_in_strange"	"in_strange_beds"	"RB"	"JJ"	"TO"	"VB"	"VB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"beg"	"grandma"	"to"	"let"	"them"	"put"	"a"	"bed"	"in"	"the"	"for"	"her"	"but"	"grandma"	"say"	"she"	"was"	"get"	"too"	"old"	"to"	"sleep"	"in"	"strange"	"beds"	"and"	"be"	"see"	"with"	"her"	"teeth"	"out"	"and"	"that"	"she"	"hope"	"to"	"die"	"in"	"privacy"	"like"	"a"	"christian"	"and"	"if"	"the"	"lord"	"will"	"it"	"to"	"be"	"of"	"than"	"it"	"would"	"have"	"to"	"be"	"that"	"way"	
"2:29:00::"	"having"	"away"	","	"a"	",_having"	"having_away"	"away_a"	"person_,_having"	",_having_away"	"having_away_a"	"away_a_day"	"NNP"	"ε"	"VBG"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"sleep"	"away"	"a"	"day"	"and"	"a"	"night"	"come"	"awake"	"in"	"a"	"plank"	"farmhouse"	"on"	"the"	"location"	"near"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"was"	","	"father"	"and"	"father_was"	"was_,"	",_and"	"his_father_was"	"father_was_,"	"was_,_and"	",_and_then"	"PRP$"	"NN"	"VBD"	"VB"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"father"	"was"	"sleep"	"and"	"then"	"go"	"through"	"a"	"pantomime"	"at"	"his"	"father"	"door"	"to"	"prove"	"the"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"``"	"well"	"∅"	"''"	"∅_``"	"``_well"	"well_''"	"∅_∅_``"	"∅_``_well"	"``_well_''"	"well_''_?"	"ε"	"ε"	"ε"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"he"	"ask"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"to"	"most"	"go_back"	"likely"	"go_back_to"	"to_most"	"most_likely"	"``_go_back_to"	"go_back_to_most"	"to_most_likely"	"most_likely_''"	"ε"	"VB"	"VB"	"NN"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"go_back"	"sleep"	"most"	"likely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"winter"	"."	"her"	"∅"	"her_winter"	"winter_."	"._∅"	"from_her_winter"	"her_winter_."	"winter_._∅"	"._∅_∅"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"ε"	"manage"	"to"	"keep"	"track"	"of"	"a"	"bombus"	"queen"	"after"	"she"	"has"	"leave"	"her"	"feeding"	"place"	"we"	"may"	"discover"	"the"	"snug"	"little"	"hideout"	"which"	"she"	"has"	"fix_up"	"for"	"herself"	"when"	"she"	"wake_up"	"from"	"her"	"winter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"n't"	","	"were"	"of_course"	"were_n't"	"n't_,"	",_of_course"	"they_were_n't"	"were_n't_,"	"n't_,_of_course"	",_of_course_,"	"PRP"	"VBD"	"RB"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"n't"	"sleep"	"of_course"	"but"	"they"	"think"	"they"	"were"	"do"	"him"	"a"	"favor"	"by"	"pretend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"∅"	"be"	"∅"	"difficult"	"∅_∅"	"∅_be"	"be_difficult"	"∅_∅_∅"	"∅_∅_be"	"∅_be_difficult"	"be_difficult_these"	"ε"	"ε"	"ε"	"NN"	"VB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"difficult"	"these"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
