"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"2:32:01::"	"mr._sansom"	"his"	"essays"	"enthusiasm"	"essays_mr._sansom"	"mr._sansom_his"	"his_enthusiasm"	"best_essays_mr._sansom"	"essays_mr._sansom_his"	"mr._sansom_his_enthusiasm"	"his_enthusiasm_for"	"JJS"	"NNS"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"one"	"of"	"best"	"essays"	"mr._sansom"	"express"	"his"	"enthusiasm"	"for"	"the"	"many"	"country"	"mansions"	"design"	"by"	"andrea_palladio"	"himself"	"that"	"dot"	"the"	"environs"	"of"	"vicenza"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"usually"	"in_terms_of"	"is"	"chuck"	"is_usually"	"usually_in_terms_of"	"in_terms_of_chuck"	"press_is_usually"	"is_usually_in_terms_of"	"usually_in_terms_of_chuck"	"in_terms_of_chuck_capacity"	"NN"	"VBZ"	"RB"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"size"	"of"	"press"	"is"	"usually"	"express"	"in_terms_of"	"chuck"	"capacity"	"the"	"maximum"	"diameter"	"tool"	"shank"	"it"	"will"	"hold"	"or"	"distance"	"between"	"the"	"spindle"	"center"	"and"	"the"	"column"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"his"	"individual"	"joy"	"individual_,"	",_his"	"his_joy"	"each_individual_,"	"individual_,_his"	",_his_joy"	"his_joy_over"	"DT"	"JJ"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"pastor"	"write"	"a"	"to"	"each"	"individual"	"express"	"his"	"joy"	"over"	"the"	"decision"	"assure"	"him"	"of"	"a"	"pastoral"	"call"	"at"	"the"	"earliest"	"convenient"	"time"	"and"	"outline"	"the"	"plan"	"for"	"membership"	"preparation"	"classes"	"and"	"membership_sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"the"	"∅"	"opinion"	"∅_he"	"he_the"	"the_opinion"	"∅_∅_he"	"∅_he_the"	"he_the_opinion"	"the_opinion_the"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"express"	"the"	"opinion"	"the"	"city"	"could"	"hire"	"a"	"cd"	"director"	"for"	"about"	"a"	"year"	"and"	"would"	"only"	"have"	"to"	"put_up"	"half"	"that"	"amount"	"on"	"a"	"matching"	"fund"	"basis"	"to"	"defray"	"the"	"salary"	"costs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"city_council"	"concern"	"central_falls"	"especially"	"central_falls_city_council"	"city_council_concern"	"concern_especially"	"the_central_falls_city_council"	"central_falls_city_council_concern"	"city_council_concern_especially"	"concern_especially_that"	"DT"	"NNP"	"NN"	"VB"	"NN"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"city_council"	"express"	"concern"	"especially"	"that"	"more"	"foods"	"be"	"place"	"on"	"the"	"eligible"	"list"	"and"	"that"	"neighborhood"	"grocery"	"and"	"variety"	"stores"	"be"	"allow"	"to"	"do"	"business"	"on"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"just"	"the"	","	"euphoria"	",_just"	"just_the"	"the_euphoria"	"nothing_,_just"	",_just_the"	"just_the_euphoria"	"the_euphoria_of"	"NN"	"ε"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"one"	"corner"	"of"	"his"	"mind"	"he"	"that"	"they"	"were"	"say"	"nothing"	"just"	"express"	"the"	"euphoria"	"of"	"a"	"drug"	"so"	"powerful"	"that"	"the"	"known"	"universe"	"had"	"forbid"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"frequently"	"in"	"most"	"economic"	"most_frequently"	"frequently_in"	"in_economic"	"was_most_frequently"	"most_frequently_in"	"frequently_in_economic"	"in_economic_terms"	"VBD"	"RBS"	"RB"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rationale"	"for"	"avoidance"	"was"	"most"	"frequently"	"express"	"in"	"economic"	"terms"	"all"	"fear"	"the"	"supposed"	"stigma"	"they"	"believe"	"would"	"inevitably"	"attach_to"	"any"	"realtor"	"who"	"openly"	"introduce"	"non-white"	"particularly"	"negro"	"peoples"	"into"	"all-white"	"restricted"	"areas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"colloquium"	"interest"	"the"	","	"the_colloquium"	"colloquium_interest"	"interest_,"	"at_the_colloquium"	"the_colloquium_interest"	"colloquium_interest_,"	"interest_,_for_example"	"IN"	"DT"	"NN"	"VB"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"realtors"	"in_attendance"	"the"	"colloquium"	"express"	"interest"	"for_example"	"in"	"connecticut"	"new"	"housing"	"law"	"as"	"set"	"standards"	"of"	"equity"	"that"	"they"	"would"	"like"	"to"	"have"	"to"	"obey"	"but"	"in"	"support"	"of_which"	"none"	"had"	"been"	"willing"	"to"	"go"	"on"	"public"	"record"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"it"	"the"	"and"	"era"	"and_it"	"it_the"	"the_era"	"music_and_it"	"and_it_the"	"it_the_era"	"the_era_in_which"	"NN"	"CC"	"PRP"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"always"	"and"	"at_all_times"	"contemporary"	"music"	"and"	"it"	"express"	"the"	"era"	"in_which"	"it"	"was"	"create"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"all"	"interest"	"∅"	"in"	"∅_all"	"all_interest"	"interest_in"	"∅_∅_all"	"∅_all_interest"	"all_interest_in"	"interest_in_world"	"ε"	"ε"	"DT"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"express"	"interest"	"in"	"world"	"affairs"	"but"	"no"	"one"	"offer"	"to"	"make"	"any"	"sacrifices"	"to"	"satisfy"	"this"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
