"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"1:06:00::"	"the"	"wall"	"of"	"."	"of_the"	"the_wall"	"wall_."	"inch_of_the"	"of_the_wall"	"the_wall_."	"wall_._∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"entrance"	"side"	"of"	"the"	"shelter"	"each"	"roof"	"is"	"rest_on"	"the"	"inside"	"inch"	"of"	"the"	"block"	"wall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"roof"	"be"	"the"	"all"	"the_roof"	"roof_be"	"be_all"	"when_the_roof"	"the_roof_be"	"roof_be_all"	"be_all_in_place"	"WRB"	"DT"	"NN"	"NN"	"VB"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"roof"	"block"	"be"	"all"	"in_place"	"the"	"final"	"row"	"of"	"wall"	"block"	"are"	"mortar"	"into"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"wall"	"are"	"of"	"mortar"	"of_wall"	"wall_are"	"are_mortar"	"row_of_wall"	"of_wall_are"	"wall_are_mortar"	"are_mortar_into"	"NN"	"IN"	"NN"	"NN"	"VBP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"roof"	"block"	"be"	"all"	"the"	"final"	"row"	"of"	"wall"	"block"	"are"	"mortar"	"into"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"concrete"	","	"solid"	"relatively"	"solid_concrete"	"concrete_,"	",_relatively"	"∅_solid_concrete"	"solid_concrete_,"	"concrete_,_relatively"	",_relatively_heavy"	"ε"	"JJ"	"NN"	"NN"	"ε"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"concrete"	"block"	"relatively"	"heavy"	"and"	"dense"	"are"	"use"	"for"	"this"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"solid"	"are"	"∅"	"recommend"	"∅_solid"	"solid_are"	"are_recommend"	"∅_∅_solid"	"∅_solid_are"	"solid_are_recommend"	"are_recommend_because"	"ε"	"ε"	"JJ"	"NN"	"VBP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"block"	"are"	"recommend"	"because"	"hollow"	"block"	"would"	"have_to"	"be"	"fill"	"with"	"concrete"	"to"	"give"	"effective"	"protection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"hollow"	"would"	"because"	"have_to"	"because_hollow"	"hollow_would"	"would_have_to"	"recommend_because_hollow"	"because_hollow_would"	"hollow_would_have_to"	"would_have_to_be"	"VB"	"IN"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"solid"	"block"	"recommend"	"because"	"hollow"	"block"	"would"	"have_to"	"be"	"fill"	"with"	"concrete"	"to"	"give"	"effective"	"protection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"concrete"	"wall"	"a"	"."	"a_concrete"	"concrete_wall"	"wall_."	"lay_a_concrete"	"a_concrete_wall"	"concrete_wall_."	"wall_._∅"	"VB"	"DT"	"NN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"illustration"	"in"	"fig"	"show"	"to"	"lay"	"a"	"concrete"	"block"	"wall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"concrete"	"."	"with"	"∅"	"with_concrete"	"concrete_."	"._∅"	"build_with_concrete"	"with_concrete_."	"concrete_._∅"	"._∅_∅"	"VB"	"IN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"outdoor"	"aboveground"	"fallout_shelter"	"also"	"be"	"build"	"with"	"concrete"	"block"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"concrete"	"are"	"of"	"construct"	"of_concrete"	"concrete_are"	"are_construct"	"wall_of_concrete"	"of_concrete_are"	"concrete_are_construct"	"are_construct_at_least"	"NN"	"IN"	"NN"	"NN"	"VB"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"of"	"concrete"	"block"	"are"	"construct"	"at_least"	"inch"	"apart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"concrete"	"basement"	"a"	"shelter"	"a_concrete"	"concrete_basement"	"basement_shelter"	"in_a_concrete"	"a_concrete_basement"	"concrete_basement_shelter"	"basement_shelter_by"	"IN"	"DT"	"NN"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ventilation"	"is"	"in"	"a"	"concrete"	"block"	"basement"	"shelter"	"by"	"vent"	"in"	"the"	"wall"	"and"	"by"	"the"	"open"	"entrance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
