"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"
"1:03:00::"	"the"	"were"	"when"	"finish"	"when_the"	"the_were"	"were_finish"	"tire_when_the"	"when_the_were"	"the_were_finish"	"were_finish_."	"NN"	"WRB"	"DT"	"NN"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"examine"	"the"	"watermark"	"the"	"iron"	"tire"	"when"	"the"	"animal"	"were"	"finish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"an"	"anyhow"	"just"	"-"	"just_an"	"an_anyhow"	"anyhow_-"	"be_just_an"	"just_an_anyhow"	"an_anyhow_-"	"anyhow_-_that"	"VB"	"RB"	"DT"	"NN"	"RB"	"ε"	"IN"	"decade"	"that"	"follow"	"the"	"common_man"	"as"	"that"	"piece"	"put"	"it"	"grow"	"uncomfortable"	"as"	"the"	"voice"	"of"	"god"	"and"	"flee"	"from"	"behind"	"person"	"only"	"to"	"learn"	"from"	"science"	"to"	"his"	"shocked"	"relief"	"that"	"after_all"	"there"	"be"	"no"	"god"	"he"	"had"	"to"	"speak_for"	"and"	"he"	"be"	"just"	"an"	"anyhow"	"that"	"there"	"was"	"a"	"chemical_formula"	"for"	"him"	"and"	"that"	"too"	"much"	"could"	"n't"	"be"	"expect"	"of"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"per"	"daily"	"hydrochloride"	"."	"hydrochloride_per"	"per_daily"	"daily_."	"oxytetracycline_hydrochloride_per"	"hydrochloride_per_daily"	"per_daily_."	"daily_._∅"	"NN"	"NN"	"IN"	"NN"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"an"	"aid"	"in"	"reduce"	"incidence"	"and"	"severity"	"bloat"	"provide"	"milligram"	"of"	"oxytetracycline"	"hydrochloride"	"per"	"animal"	"daily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"beef"	"."	"fattening"	"∅"	"fattening_beef"	"beef_."	"._∅"	"of_fattening_beef"	"fattening_beef_."	"beef_._∅"	"._∅_∅"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"improve"	"growth_rate"	"and"	"efficiency"	"of"	"fattening"	"beef"	"animal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"per"	"."	"gram"	"∅"	"gram_per"	"per_."	"._∅"	"70_gram_per"	"gram_per_."	"per_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"treat"	"cattle"	"with"	"gram"	"per"	"pound"	"body_weight"	"a"	"maximum"	"of"	"gram"	"per"	"animal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"before"	"are"	"hour"	"slaughter"	"hour_before"	"before_are"	"are_slaughter"	"72_hour_before"	"hour_before_are"	"before_are_slaughter"	"are_slaughter_."	"CD"	"NN"	"IN"	"NN"	"VBP"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"additive"	"should"	"not"	"feed"	"hour"	"before"	"animal"	"are"	"slaughter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"∅"	"eat"	"∅"	"only"	"∅_∅"	"∅_eat"	"eat_only"	"∅_∅_∅"	"∅_∅_eat"	"∅_eat_only"	"eat_only_from"	"ε"	"ε"	"ε"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"eat"	"only"	"from"	"one"	"side"	"so"	"the"	"fence_line"	"bunk"	"must"	"be"	"twice"	"as"	"long"	"as"	"the"	"mechanical"	"bunk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"about"	","	"book"	"but"	"book_about"	"about_,"	",_but"	"of_book_about"	"book_about_,"	"about_,_but"	",_but_few"	"JJ"	"NN"	"IN"	"NN"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ever"	"since"	"bambi"	"and"	"more"	"recently"	"born_free"	"there"	"be"	"a_lot"	"of"	"book"	"about"	"animal"	"but"	"few"	"compare"	"with"	"person"	"wry"	"understate"	"charming"	"and"	"immensely"	"readable"	"my_friend_,"	"the"	"quizzical_salamander"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"and"	","	"man"	"by"	"man_and"	"and_,"	",_by"	"of_man_and"	"man_and_,"	"and_,_by"	",_by_intent"	"IN"	"NN"	"CC"	"NN"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whenever"	"artist"	"indeed"	"turn_to"	"actual"	"representation"	"or"	"mold"	"three-dimensional_figure"	"be"	"rare"	"down"	"to"	"bc"	"they"	"tend"	"to"	"reflect"	"reality"	"see"	"plate"	"a"	"schematic"	"abstract"	"of"	"man"	"and"	"animal"	"by"	"intent"	"rise"	"only"	"in"	"the"	"late"	"eighth"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"as"	":"	","	"the"	",_as"	"as_:"	":_the"	"person_,_as"	",_as_:"	"as_:_the"	":_the_image"	"NNP"	"ε"	"IN"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"is"	"further"	"characterize"	"in"	"to"	"person"	"as"	"animal"	"the"	"image"	"of"	"a"	"dog"	"which"	"appear"	"at"	"several"	"place"	"is"	"first"	"give"	"as"	"the"	"criterion"	"of"	"amiable"	"irrelevant"	"interest"	"arouse"	"by"	"life"	"consider"	"simply"	"as"	"a"	"spectacle"	"a"	"dog"	"in"	"a"	"wagon"	"be"	"admirable"	"a"	"pleasure"	"to"	"contemplate"	"another"	"wagon"	"have"	"no"	"dog"	"and"	"therefore"	"be"	"devoid_of"	"interest"	
