"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"
"3:00:00::"	","	"person"	"poetry"	"'s"	"poetry_,"	",_person"	"person_'s"	"or_poetry_,"	"poetry_,_person"	",_person_'s"	"person_'s_later"	"CC"	"NN"	"ε"	"JJ"	"NNP"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"in"	"or"	"poetry"	"all_of"	"person"	"later"	"work"	"be"	"concerned"	"with"	"sweden"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"this"	"∅"	","	"∅_∅"	"∅_this"	"this_,"	"∅_∅_∅"	"∅_∅_this"	"∅_this_,"	"this_,_i"	"ε"	"ε"	"ε"	"JJ"	"DT"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"i"	"know"	"be"	"recent"	"history"	"familiar"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"these"	"take_account"	"."	"take_account_of"	"of_these"	"these_."	"have_to_take_account_of"	"take_account_of_these"	"of_these_."	"these_._∅"	"VB"	"VB"	"VB"	"JJ"	"DT"	"ε"	"ε"	"of"	"the"	"emotional"	"value"	"of"	"the"	"study"	"of"	"literature"	"would"	"have_to"	"take_account"	"of"	"these"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"topple"	"us"	"had"	","	"had_topple"	"topple_us"	"us_,"	"he_had_topple"	"had_topple_us"	"topple_us_,"	"us_,_and"	"PRP"	"VBD"	"VB"	"JJ"	"PRP"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"come_down"	"off"	"the"	"wall"	"if"	"he"	"had"	"topple"	"all_of"	"us"	"and"	"we"	"crouch"	"behind"	"it"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"us"	"voice"	"."	"voice_of"	"of_us"	"us_."	"the_voice_of"	"voice_of_us"	"of_us_."	"us_._∅"	"DT"	"NN"	"IN"	"JJ"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"mother"	"constitute"	"the"	"voice"	"of"	"all_of"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"the"	"∅"	"jacket"	"∅_∅"	"∅_the"	"the_jacket"	"∅_∅_∅"	"∅_∅_the"	"∅_the_jacket"	"the_jacket_carry"	"ε"	"ε"	"ε"	"JJ"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jacket"	"carry"	"a"	"fairly"	"technical"	"and"	"detailed"	"explanation"	"of"	"this"	"new"	"recording"	"program"	"0"	
"3:00:00::"	"∅"	"this"	"∅"	"would"	"∅_∅"	"∅_this"	"this_would"	"∅_∅_∅"	"∅_∅_this"	"∅_this_would"	"this_would_be"	"ε"	"ε"	"ε"	"JJ"	"DT"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"would"	"be"	"wasted"	"of_course"	"if"	"the"	"performance"	"lack"	"authority"	"and"	"musical"	"distinction"	"0"	"0"	
"3:00:00::"	","	"southeast"	"location"	"asia"	"location_,"	",_southeast"	"southeast_asia"	"∅_location_,"	"location_,_southeast"	",_southeast_asia"	"southeast_asia_,"	"ε"	"NNP"	"ε"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_of"	"southeast"	"asia"	"southern"	"india"	"and"	"ceylon"	"these"	"state"	"of"	"the"	"group"	"speak"	"bazaar"	"0"	
"3:00:00::"	"that"	"us"	"thing"	"can"	"thing_that"	"that_us"	"us_can"	"one_thing_that"	"thing_that_us"	"that_us_can"	"us_can_acquire"	"JJ"	"NN"	"IN"	"JJ"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"good"	"definition"	"one"	"thing"	"that"	"all_of"	"us"	"can"	"acquire"	"with"	"occasional"	"high-set"	"high-rep"	"light"	"weight"	"workout"	"0"	
"3:00:00::"	"of"	"the"	"quality"	"recreation"	"quality_of"	"of_the"	"the_recreation"	"and_quality_of"	"quality_of_the"	"of_the_recreation"	"the_recreation_interest"	"CC"	"NN"	"IN"	"JJ"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"check"	"the"	"and"	"quality"	"of"	"all_of"	"the"	"recreation"	"interest"	"already"	"existing"	"at"	"the"	"site"	"0"	"0"	"0"	
