"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"
"5:00:00:large:00"	"the"	"city"	"in"	"."	"in_the"	"the_city"	"city_."	"located_in_the"	"in_the_city"	"the_city_."	"city_._∅"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"most"	"state"	"trade"	"and"	"industrial"	"training"	"is"	"provide"	"in"	"minority"	"of"	"the"	"high_school"	"usually"	"located"	"in"	"the"	"larger"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"a"	"scale"	"on"	","	"on_a"	"a_scale"	"scale_,"	"enterprise_on_a"	"on_a_scale"	"a_scale_,"	"scale_,_you"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"want_to"	"raise"	"feed"	"carry_out"	"some"	"enterprise"	"on"	"a"	"larger"	"scale"	"you"	"need"	"more"	"land"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"a"	"tract"	"of"	"."	"of_a"	"a_tract"	"tract_."	"part_of_a"	"of_a_tract"	"a_tract_."	"tract_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sometimes"	"a"	"desired"	"acreage"	"is"	"only"	"as"	"part"	"of"	"a"	"larger"	"tract"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"for"	"planting"	"∅"	","	"∅_for"	"for_planting"	"planting_,"	"∅_∅_for"	"∅_for_planting"	"for_planting_,"	"planting_,_you"	"ε"	"ε"	"IN"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"larger"	"planting"	"you"	"need"	"some"	"kind"	"of"	"power"	"for"	"plow"	"harrow"	"disk"	"and"	"cultivate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"much"	"effort"	"a"	"to"	"a_much"	"much_effort"	"effort_to"	"of_a_much"	"a_much_effort"	"much_effort_to"	"effort_to_apply"	"IN"	"DT"	"RB"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"medical"	"title"	"of"	"lobar_ventilation_in_man"	"by"	"person"	"and"	"person"	"cover"	"a"	"brief"	"which"	"be"	"one"	"part"	"of"	"a"	"much"	"larger"	"effort"	"to"	"apply"	"electronics"	"to"	"the"	"study"	"of"	"the"	"respiratory"	"process"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"no"	"than"	"while"	"location"	"while_no"	"no_than"	"than_location"	"∅_while_no"	"while_no_than"	"no_than_location"	"than_location_,"	"ε"	"IN"	"RB"	"JJ"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"larger"	"than"	"location"	"this"	"mining"	"supply"	"town"	"have"	"the"	"appearance"	"of"	"be"	"far"	"busy"	"and"	"more"	"prosperous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"a"	"construction"	"represent"	"of"	"represent_a"	"a_construction"	"construction_of"	"word_represent_a"	"represent_a_construction"	"a_construction_of"	"construction_of_which"	"NN"	"VB"	"DT"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"a"	"represent"	"a"	"larger"	"construction"	"of"	"which"	"it"	"be"	"the"	"only"	"expressed"	"part"	"it"	"normally"	"have"	"more"	"stress"	"than"	"it"	"would"	"have"	"in"	"fully"	"express"	"construction"	
"5:00:00:large:00"	"a_thousand"	"solar_system"	"of"	"than"	"of_a_thousand"	"a_thousand_solar_system"	"solar_system_than"	"planet_of_a_thousand"	"of_a_thousand_solar_system"	"a_thousand_solar_system_than"	"solar_system_than_ours"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"the"	"human"	"ego"	"be"	"what"	"it"	"be"	"i"	"put_in"	"science_fiction"	"has"	"always"	"assume"	"that"	"the"	"creature"	"the"	"planet"	"of"	"a_thousand"	"larger"	"solar_system"	"than"	"ours"	"must"	"look_like"	"gigantic"	"tube-nosed_fruit_bat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"slightly"	"than"	"be"	"the"	"be_slightly"	"slightly_than"	"than_the"	"female_be_slightly"	"be_slightly_than"	"slightly_than_the"	"than_the_male"	"NN"	"VB"	"RB"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"measurement"	"of"	"several"	"very"	"young"	"specimen"	"from"	"suggest"	"that"	"at_birth"	"the"	"female"	"be"	"slightly"	"larger"	"than"	"the"	"male"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:large:00"	"mass"	"than"	"for"	"*"	"for_mass"	"mass_than"	"than_*"	"f_for_mass"	"for_mass_than"	"mass_than_*"	"than_*_*"	"NN"	"IN"	"NN"	"JJ"	"IN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"preliminary"	"data"	"from"	"give"	"an"	"average"	"impact"	"of"	"f"	"for"	"mass"	"larger"	"than"	"f"	"for"	"about"	"event"	"in"	"a"	"day"	"period"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
