"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"3:00:00::"	"something"	"than"	"as"	"has"	"as_something"	"something_than"	"than_has"	"acceptance_as_something"	"as_something_than"	"something_than_has"	"than_has_generally"	"NN"	"IN"	"NN"	"JJ"	"IN"	"VBZ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"myth"	"of"	"the"	"southern"	"plantation"	"has"	"have"	"only"	"a"	"tangential"	"relation"	"with"	"actuality"	"as"	"person"	"show"	"forty"	"year"	"ago"	"and"	"i"	"suspect"	"it"	"has"	"have"	"a"	"far"	"acceptance"	"as"	"something"	"real"	"than"	"has"	"generally"	"been"	"suppose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"no"	"sign"	"was"	"of"	"was_no"	"no_sign"	"sign_of"	"there_was_no"	"was_no_sign"	"no_sign_of"	"sign_of_the"	"EX"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"no"	"real"	"sign"	"of"	"the"	"river"	"now"	"just"	"a"	"roiling"	"oily"	"ribbon"	"of"	"liquid"	"movement"	"through"	"muddy"	"water"	"that"	"reach"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::;3:00:00::"	"very"	"problem"	"a"	"to"	"a_very"	"very_problem"	"problem_to"	"be_a_very"	"a_very_problem"	"very_problem_to"	"problem_to_be"	"VB"	"DT"	"RB"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"manufacturer"	"point_of_view"	"the"	"increasing"	"cost"	"advertising"	"and"	"promotion"	"be"	"a"	"very"	"real"	"problem"	"to"	"be"	"face"	"in"	"the"	"sixties"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"have"	"headache"	"can"	"in_store"	"can_have"	"have_headache"	"headache_in_store"	"era_can_have"	"can_have_headache"	"have_headache_in_store"	"headache_in_store_."	"NN"	"MD"	"VB"	"JJ"	"NN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"competition"	"beat"	"you"	"to_it"	"this"	"new"	"product"	"era"	"can"	"have"	"real"	"headache"	"in_store"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:serious:00"	"a"	"headache"	"be"	"if"	"be_a"	"a_headache"	"headache_if"	"can_be_a"	"be_a_headache"	"a_headache_if"	"headache_if_not"	"MD"	"VB"	"DT"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"coffee_break"	"be"	"a"	"real"	"headache"	"if"	"not"	"regulated"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"beginning"	"mark"	"of"	"mark_the"	"the_beginning"	"beginning_of"	"and_mark_the"	"mark_the_beginning"	"the_beginning_of"	"beginning_of_person"	"CC"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"association"	"bring"	"him"	"into"	"contact"	"with"	"person"	"whose"	"snowball"	"person"	"relyric"	"as"	"lazybones"	"in"	"which"	"form"	"it"	"become"	"a"	"hit"	"mark"	"the"	"real"	"beginning"	"of"	"person"	"song"	"write"	"career"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"in"	"life"	"counterpart"	"in"	"counterpart_in"	"in_life"	"life_in"	"his_counterpart_in"	"counterpart_in_life"	"in_life_in"	"life_in_two"	"PRP$"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mythological"	"private_eye"	"from"	"his"	"counterpart"	"in"	"real"	"life"	"in"	"two"	"essential"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"``"	"''"	"the"	"wage"	"the_``"	"``_''"	"''_wage"	"upon_the_``"	"the_``_''"	"``_''_wage"	"''_wage_rate"	"IN"	"DT"	"ε"	"JJ"	"ε"	"NN"	"NN"	"further"	"that"	"the"	"union"	"recognize"	"the"	"possibility"	"price"	"level"	"increase"	"may"	"offset"	"wage"	"rate"	"increase"	"and"	"it"	"does"	"not"	"entirely"	"disregard"	"the"	"effect"	"of"	"price"	"increase"	"arise"	"from"	"its"	"own"	"wage"	"increase"	"upon"	"the"	"wage"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"only"	"alternative"	"the"	"be"	"the_only"	"only_alternative"	"alternative_be"	"that_the_only"	"the_only_alternative"	"only_alternative_be"	"alternative_be_the"	"IN"	"DT"	"RB"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"follow"	"then"	"provided"	"the"	"possibility"	"exhaust"	"that"	"the"	"only"	"real"	"alternative"	"be"	"the"	"general"	"viewpoint"	"of"	"the"	"left"	"which"	"has"	"been"	"represent"	"on"	"the"	"continent"	"by"	"person"	"and"	"to"	"some"	"extent"	"at_least"	"is"	"find"	"in"	"much"	"that"	"be"	"significant"	"in"	"american"	"and"	"english"	"theology"	
"3:00:00::"	"the"	"line"	"on"	"which"	"on_the"	"the_line"	"line_which"	"f_on_the"	"on_the_line"	"the_line_which"	"line_which_satisfy"	"NN"	"IN"	"DT"	"JJ"	"NN"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"n"	"be"	"a"	"integer"	"and"	"let"	"v"	"be"	"the"	"of"	"all"	"n"	"times"	"continuously"	"differentiable"	"function"	"f"	"on"	"the"	"real"	"line"	"which"	"satisfy"	"the"	"differential_equation"	"f"	"where"	"f"	"be"	"some"	"fixed"	"constant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"reason"	"but"	"be"	"but_the"	"the_reason"	"reason_be"	",_but_the"	"but_the_reason"	"the_reason_be"	"reason_be_a"	"ε"	"CC"	"DT"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"high"	"note"	"have"	"the"	"crowd"	"in"	"ecstasy"	"so"	"that"	"it"	"the"	"show"	"midway"	"in"	"the"	"mad_scene"	"but"	"the"	"real"	"reason"	"be"	"a"	"realization"	"of"	"the"	"extraordinary"	"performance"	"unfold"	"at"	"the"	"moment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"aunt"	"as"	","	"as_the"	"the_aunt"	"aunt_,"	",_as_the"	"as_the_aunt"	"the_aunt_,"	"aunt_,_be"	"ε"	"IN"	"DT"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sparrow"	"size"	"person"	"with"	"sparkling"	"blue"	"eye"	"and"	"a"	"cheerful"	"smile"	"a"	"suitably"	"perky"	"person"	"while"	"person"	"as"	"the"	"real"	"aunt"	"be"	"monumental"	"in"	"the"	"very"	"best"	"gibson_girl"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"stimulant"	"be"	"to"	"be_a"	"a_stimulant"	"stimulant_to"	"it_be_a"	"be_a_stimulant"	"a_stimulant_to"	"stimulant_to_a_lot"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"TO"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"real"	"stimulant"	"to"	"a_lot"	"of"	"guy"	"i"	"know"	"who"	"have"	"move"	"past"	"the"	"score"	"year"	"milestone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"part"	"be"	"of"	"be_the"	"the_part"	"part_of"	",_be_the"	"be_the_part"	"the_part_of"	"part_of_life"	"ε"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"enjoy"	"great"	"party"	"when"	"she"	"would"	"sit_up"	"talk"	"and"	"dance"	"and"	"drink"	"all"	"night"	"but"	"it"	"always"	"seem"	"to"	"her"	"that"	"be"	"alone"	"especially"	"alone"	"in"	"her"	"be"	"the"	"real"	"part"	"of"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"in"	"and"	"surface"	"sculptural"	"surface_in"	"in_and"	"and_sculptural"	"flat_surface_in"	"surface_in_and"	"in_and_sculptural"	"and_sculptural_space"	"JJ"	"NN"	"IN"	"JJ"	"CC"	"JJ"	"NN"	"0"	"some"	"time"	"in"	"person"	"cut_out"	"and"	"fold"	"a"	"piece_of_paper"	"in"	"the"	"shape"	"of"	"a"	"guitar"	"to"	"this"	"he"	"glue"	"and"	"fit"	"piece_of_paper"	"and"	"four"	"taut"	"string"	"thus"	"create"	"a"	"sequence"	"flat"	"surface"	"in"	"and"	"sculptural"	"space"	"to"	"which"	"there"	"cling"	"only"	"the"	"vestige"	"of"	"a"	"picture_plane"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:genuine:00"	"a"	"orchestra"	"like"	"rather"	"like_a"	"a_orchestra"	"orchestra_rather"	"sound_like_a"	"like_a_orchestra"	"a_orchestra_rather"	"orchestra_rather_than"	"VB"	"RB"	"DT"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"new"	"person"	"second"	"be"	"a"	"major"	"effort"	"make"	"a"	"record"	"that"	"sound"	"like"	"a"	"real"	"orchestra"	"rather"	"than"	"a"	"copy"	"of"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"get"	"dramatic"	"was"	"."	"was_get"	"get_dramatic"	"dramatic_."	"she_was_get"	"was_get_dramatic"	"get_dramatic_."	"dramatic_._∅"	"PRP"	"VBD"	"VB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"get"	"real"	"dramatic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"go"	"smooth"	"everything"	"''"	"everything_go"	"go_smooth"	"smooth_''"	"``_everything_go"	"everything_go_smooth"	"go_smooth_''"	"smooth_''_,"	"ε"	"NN"	"VB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"everything"	"real"	"smooth"	"the"	"sheriff"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:genuine:00"	"of"	"interior_design"	"''"	"demand"	"''_of"	"of_interior_design"	"interior_design_demand"	"feel_''_of"	"''_of_interior_design"	"of_interior_design_demand"	"interior_design_demand_."	"NN"	"ε"	"IN"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"of_course"	"to"	"work_on"	"extant"	"or"	"projected"	"building"	"where"	"either"	"architect"	"or"	"owner"	"will"	"explain"	"their"	"necessity"	"so_that"	"the"	"may"	"get"	"the"	"feel"	"of"	"real"	"interior_design"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"actually"	"."	"be"	"∅"	"be_actually"	"actually_."	"._∅"	"as_be_actually"	"be_actually_."	"actually_._∅"	"._∅_∅"	"IN"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"apparently"	"he"	"does"	"not"	"intend"	"that"	"those"	"who"	"read"	"view"	"this"	"play"	"should"	"think_of"	"the"	"devil"	"as"	"be"	"actually"	"real"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"loot"	"of"	"of"	"of_the"	"the_loot"	"loot_of"	"-_of_the"	"of_the_loot"	"the_loot_of"	"loot_of_the"	"ε"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"authorities"	"hesitate"	"to"	"quote"	"exact"	"figure"	"however"	"believe"	"that"	"any"	"sum"	"they"	"come_up"	"be"	"only"	"a"	"surface"	"manifestation"	"turn_up"	"by"	"their"	"limit"	"police"	"of"	"the"	"real"	"loot"	"of"	"the"	"medical"	"racketeer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"analytic"	"be"	"image"	"be_a"	"a_analytic"	"analytic_image"	"which_be_a"	"be_a_analytic"	"a_analytic_image"	"analytic_image_of"	"WDT"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consider"	"a"	"simple"	"closed"	"plane"	"c"	"which"	"be"	"a"	"real"	"analytic"	"image"	"of"	"the"	"unit"	"circle"	"and"	"which"	"is"	"give"	"by"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"-"	"indian_summer"	"swim"	"."	"swim_-"	"-_indian_summer"	"indian_summer_."	"to_swim_-"	"swim_-_indian_summer"	"-_indian_summer_."	"indian_summer_._∅"	"TO"	"VB"	"ε"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"warm"	"enough"	"swim"	"real"	"indian_summer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
