"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:41:00::"	"will"	"during"	"orchestra"	"the"	"orchestra_will"	"will_during"	"during_the"	"'s_orchestra_will"	"orchestra_will_during"	"will_during_the"	"during_the_dancing"	"POS"	"NN"	"MD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"she"	"does"	"indicate"	"festivities"	"will"	"start"	"early"	"that"	"a"	"jazz"	"combo"	"will"	"give"	"with"	"the"	"basin_street"	"beat"	"during"	"the"	"and"	"dinner"	"hours"	"and"	"that"	"lester_lanin"	"orchestra"	"will"	"take_over"	"during"	"the"	"dancing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:07::"	"george_shearing"	"with"	"∅"	"his"	"∅_george_shearing"	"george_shearing_with"	"with_his"	"∅_∅_george_shearing"	"∅_george_shearing_with"	"george_shearing_with_his"	"with_his_well"	"ε"	"ε"	"NNP"	"VB"	"IN"	"PRP$"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"take_over"	"with"	"his"	"well"	"disciplined"	"group"	"a"	"sextet"	"consist_of"	"vibes"	"guitar"	"bass"	"drums"	"shearing"	"piano"	"and"	"a"	"bongo"	"drummer"	
"2:40:02::"	"had"	"the"	"who"	"707"	"who_had"	"had_the"	"the_707"	"fidel_castro_who_had"	"who_had_the"	"had_the_707"	"the_707_."	"NNP"	"WP"	"VBD"	"VB"	"DT"	"CD"	"ε"	"officers"	"on_the_ground"	"have"	"no"	"intention"	"of"	"let"	"the"	"hijackers"	"get_away"	"with"	"any"	"kind_of"	"an"	"airplane"	"they"	"have"	"orders"	"to_that_effect"	"straight"	"from"	"president_kennedy"	"who"	"think"	"at_first"	"as"	"did"	"most"	"that"	"it"	"be"	"four"	"followers"	"of"	"cuba"	"fidel_castro"	"who"	"had"	"take_over"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:07::"	"land"	","	"rolling"	"dotted"	"rolling_land"	"land_,"	",_dotted"	"wild_rolling_land"	"rolling_land_,"	"land_,_dotted"	",_dotted_with"	"JJ"	"NN"	"NN"	"VB"	"ε"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"edge"	"of"	"the"	"the"	"wild"	"rolling"	"land"	"take_over"	"dotted"	"with"	"fat"	"round"	"bushes"	"like"	"sheep"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:07::"	"to"	"catfish_bend"	"try"	"in_this"	"try_to"	"to_catfish_bend"	"catfish_bend_in_this"	"-_try_to"	"try_to_catfish_bend"	"to_catfish_bend_in_this"	"catfish_bend_in_this_third"	"ε"	"VB"	"TO"	"VB"	"NNP"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"gray_fox"	"with"	"a"	"patch"	"on"	"one"	"eye"	"city_slicker"	"lebensraum"	"specialist"	"try"	"to"	"take_over"	"catfish_bend"	"in_this"	"third"	"relaxed"	"allegory"	"from"	"mr._burman"	"refreshing"	"louisiana"	"animal"	"community"	"0"	"0"	
"2:40:05::"	"pilots"	"the"	"german"	"reichenberg"	"german_pilots"	"pilots_the"	"the_reichenberg"	"before_german_pilots"	"german_pilots_the"	"pilots_the_reichenberg"	"the_reichenberg_missiles"	"IN"	"JJ"	"NNS"	"VB"	"DT"	"NNP"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fiedler"	"go_on"	"to"	"make"	"test"	"flights"	"before"	"german"	"pilots"	"take_over"	"the"	"reichenberg"	"missiles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:06::"	"state"	"full"	"the"	"responsibility"	"the_state"	"state_full"	"full_responsibility"	"have_the_state"	"the_state_full"	"state_full_responsibility"	"full_responsibility_for"	"VB"	"DT"	"NNP"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rhode_island"	"public_expenditure_council"	"in"	"its"	"publication"	"once"	"comment"	"the_most"	"realistic"	"way"	"face_up"	"to"	"this"	"problem"	"would"	"be"	"to"	"have"	"the"	"state"	"take_over"	"full"	"responsibility"	"for"	"assess"	"all"	"taxable"	"property"	"0"	
"2:41:01::"	"club"	"partial"	"garden"	"care"	"garden_club"	"club_partial"	"partial_care"	"'s_garden_club"	"garden_club_partial"	"club_partial_care"	"partial_care_of"	"POS"	"NN"	"NN"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"could"	"an"	"garden"	"club"	"take_over"	"partial"	"care"	"of"	"plant"	"grounds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"patrolman"	"the"	"a"	"duty"	"a_patrolman"	"patrolman_the"	"the_duty"	"let_a_patrolman"	"a_patrolman_the"	"patrolman_the_duty"	"the_duty_of"	"VB"	"DT"	"NN"	"VB"	"VB"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"let"	"patrolman"	"take_over"	"the"	"duty"	"of"	"the"	"station_keeper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"person"	"in"	"before"	"the"	"before_person"	"person_in"	"in_the"	"person_before_person"	"before_person_in"	"person_in_the"	"in_the_top"	"NNP"	"IN"	"NNP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"get"	"five"	"hit"	"and"	"all"	"of"	"their"	"run"	"off"	"person"	"before"	"person"	"take_over"	"in"	"the"	"top"	"of"	"the"	"fourth"	"0"	"0"	"0"	"0"	"0"	
