"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:32:00::"	"be"	"regularly"	"would"	"in"	"would_be"	"be_regularly"	"regularly_in"	"market_price_would_be"	"would_be_regularly"	"be_regularly_in"	"regularly_in_newspapers"	"NN"	"MD"	"VB"	"VB"	"RB"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"feel"	"confident"	"the"	"stock"	"will"	"qualify"	"for"	"the"	"national"	"list"	"he"	"say"	"mean"	"market_price"	"would"	"be"	"quote"	"regularly"	"in"	"newspapers"	"all_over"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"publicly"	"stock"	"have"	","	"have_publicly"	"publicly_stock"	"stock_,"	"that_have_publicly"	"have_publicly_stock"	"publicly_stock_,"	"stock_,_and"	"WDT"	"VBP"	"RB"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"they"	"go"	"look_for"	"with"	"firms"	"that"	"have"	"publicly"	"quote"	"stock"	"and"	"almost"	"daily"	"they"	"pound"	"on"	"the"	"doors"	"of"	"firms"	"like"	"frito"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"figures"	"above"	"the"	"indicate"	"the_figures"	"figures_above"	"above_indicate"	"and_the_figures"	"the_figures_above"	"figures_above_indicate"	"above_indicate_a"	"CC"	"DT"	"NNS"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expansion"	"and"	"relocation"	"of"	"industry"	"in"	"rhode_island"	"be"	"the"	"responsibility"	"of"	"the"	"development_council"	"industrial_division"	"and"	"the"	"figures"	"quote"	"above"	"indicate"	"a"	"successful"	"year"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"from"	"like"	"the"	"like_to"	"to_from"	"from_the"	"would_like_to"	"like_to_from"	"to_from_the"	"from_the_charter"	"VB"	"VB"	"TO"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"like"	"to"	"quote"	"from"	"the"	"charter"	"of"	"the"	"united_nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"him"	"president"	"as"	"president_,"	",_him"	"him_as"	"be_president_,"	"president_,_him"	",_him_as"	"him_as_say"	"VB"	"NN"	"ε"	"VB"	"PRP"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"publicity"	"release"	"from"	"oregon_physicians_service"	"harvey"	"be"	"president"	"quote"	"him"	"as"	"say"	"the"	"welfare"	"office"	"move"	"to"	"salem"	"instead"	"of"	"crippling"	"the"	"agency"	"had"	"provide"	"an"	"avenue"	"to"	"correct"	"administrative"	"weaknesses"	"with"	"the"	"key"	"be"	"improved"	"communications"	"between"	"f"	"a"	"and"	"the"	"commission"	"staff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"maestro"	"the"	"the"	"flying_dutchman"	"the_maestro"	"maestro_the"	"the_flying_dutchman"	",_the_maestro"	"the_maestro_the"	"maestro_the_flying_dutchman"	"the_flying_dutchman_,"	"ε"	"DT"	"NNP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"die"	"frist"	"ist"	"um"	"und"	"wiederum"	"sind"	"sieben"	"jahr"	"the"	"maestro"	"quote"	"the"	"flying_dutchman"	"as"	"he"	"tell"	"of"	"his"	"career"	"and"	"wanderings"	"explain"	"that"	"the"	"number"	"seven"	"had"	"significantly"	"recur"	"in"	"his"	"life"	"several_times"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"frequently"	"biblical"	"the_most"	"sentences"	"the_most_frequently"	"frequently_biblical"	"biblical_sentences"	"among_the_most_frequently"	"the_most_frequently_biblical"	"frequently_biblical_sentences"	"biblical_sentences_be"	"IN"	"RB"	"RB"	"VB"	"JJ"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"frequently"	"quote"	"biblical"	"sentences"	"be"	"the"	"beatitudes"	"and"	"yet"	"so"	"few"	"persons"	"scholars"	"really"	"understand"	"the"	"true"	"meaning"	"of"	"these"	"eight"	"blessings"	"utter"	"by"	"jesus"	"at"	"the"	"beginning"	"of"	"the"	"sermon_on_the_mount"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"man"	"by"	"research"	"sponsor"	"research_man"	"man_by"	"by_sponsor"	"a_research_man"	"research_man_by"	"man_by_sponsor"	"by_sponsor_."	"DT"	"NN"	"NN"	"VB"	"IN"	"NNP"	"ε"	"last"	"decade"	"the"	"number"	"of"	"negro-appeal"	"radio"	"program"	"hours"	"has"	"rise"	"at_least"	"per_cent"	"and"	"the"	"number"	"of"	"negro-appeal"	"stations"	"has"	"increase"	"per_cent"	"according"	"a"	"research"	"man"	"by"	"sponsor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"sponsor"	"john_mclendon"	"∅"	"of"	"∅_sponsor"	"sponsor_john_mclendon"	"john_mclendon_of"	"∅_∅_sponsor"	"∅_sponsor_john_mclendon"	"sponsor_john_mclendon_of"	"john_mclendon_of_the"	"ε"	"ε"	"NNP"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"quote"	"john_mclendon"	"of"	"the"	"mclendon-ebony"	"station"	"group"	"as"	"say"	"that"	"the"	"southern_negro"	"is"	"become"	"conscious_of"	"quality"	"and"	"and"	"does"	"not"	"wish"	"to"	"be"	"associated"	"with"	"radio"	"which"	"be"	"any"	"way"	"degrading"	"to"	"his"	"race"	"he"	"tend"	"to"	"shy_away_from"	"the"	"hooting"	"and"	"hollering"	"personalities"	"that"	"originally"	"make"	"negro"	"radio"	"programs"	"famous"	
"2:32:00::"	"to"	"the"	"tempt"	"whole"	"tempt_to"	"to_the"	"the_whole"	"be_tempt_to"	"tempt_to_the"	"to_the_whole"	"the_whole_piece"	"VB"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n._c."	"has"	"say"	"something"	"important"	"so"	"well"	"this"	"preacher"	"will"	"many_times"	"be"	"tempt"	"to"	"quote"	"the"	"whole"	"piece"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
