"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:32:00::"	"we"	"first"	"∅"	"that"	"∅_we"	"we_first"	"first_that"	"∅_∅_we"	"∅_we_first"	"we_first_that"	"first_that_no"	"ε"	"ε"	"PRP"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"observe"	"first"	"that"	"no"	"line"	"l"	"can"	"meet"	"its"	"image"	"except"	"at"	"one"	"of"	"its"	"intersections"	"with"	"q"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"now"	"that"	"we"	"the"	"we_now"	"now_that"	"that_the"	"∅_we_now"	"we_now_that"	"now_that_the"	"that_the_case"	"ε"	"PRP"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"observe"	"that"	"the"	"case"	"in_which"	"g"	"be"	"a"	"f"	"curve"	"on"	"a"	"quadric"	"be"	"impossible"	"if"	"the"	"complex"	"of"	"singular"	"lines"	"consist_of"	"exclusively"	"of"	"the"	"lines"	"which"	"meet"	"g"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"first"	"that"	"we"	"the"	"we_first"	"first_that"	"that_the"	",_we_first"	"we_first_that"	"first_that_the"	"that_the_second"	"ε"	"PRP"	"JJ"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"continue"	"with"	"the"	"case"	"in_which"	"g"	"be"	"a"	"f"	"on"	"a"	"quadric"	"q"	"we"	"first"	"observe"	"that"	"the"	"second"	"regulus"	"of"	"q"	"consist_of"	"precisely"	"of"	"the"	"lines"	"which"	"join"	"the"	"two"	"free"	"intersections"	"of"	"g"	"and"	"the"	"planes"	"through"	"any"	"one"	"of"	"the"	"multiple"	"secants"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"the"	"promise"	"rules"	"promise_to"	"to_the"	"the_rules"	"and_promise_to"	"promise_to_the"	"to_the_rules"	"the_rules_."	"CC"	"VB"	"TO"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hank"	"thank"	"and"	"promise"	"to"	"observe"	"the"	"rules"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"foibles"	"there"	"and"	"could"	"and_foibles"	"foibles_there"	"there_could"	"idiosyncrasies_and_foibles"	"and_foibles_there"	"foibles_there_could"	"there_could_be"	"NNS"	"CC"	"NNS"	"VB"	"EX"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"places"	"could"	"be"	"anywhere"	"idiosyncrasies"	"and"	"foibles"	"observe"	"there"	"could"	"be"	"anybody"	"and"	"the"	"laugh"	"be"	"on"	"us"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"most"	","	"appropriately"	",_to"	"to_most"	"most_appropriately"	"rd_,_to"	",_to_most"	"to_most_appropriately"	"most_appropriately_the"	"NN"	"ε"	"TO"	"VB"	"JJS"	"RB"	"DT"	"this"	"historic"	"old"	"structure"	"a"	"group"	"of"	"public-spirited"	"barbour_county"	"citizens"	"have"	"organize"	"and"	"plan"	"a"	"week-long"	"series"	"of"	"events"	"begin"	"on"	"may"	"th"	"and"	"continue"	"through"	"june"	"rd"	"to"	"observe"	"appropriately"	"the"	"centennial"	"of"	"the"	"first"	"land"	"engagement"	"of"	"the"	"civil_war"	"at"	"philippi"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"sponsor"	","	","	"these"	",_sponsor"	"sponsor_,"	",_these"	"years_,_sponsor"	",_sponsor_,"	"sponsor_,_these"	",_these_trends"	"NNS"	"ε"	"NNP"	"VB"	"ε"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_past"	"years"	"observe"	"these"	"trends"	"have"	"become"	"apparent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"has"	"in"	"he"	"the"	"he_has"	"has_in"	"in_the"	"qualities_he_has"	"he_has_in"	"has_in_the"	"in_the_city"	"NNS"	"PRP"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hirsch"	"say"	"that"	"he"	"has"	"the"	"role"	"certain"	"qualities"	"he"	"has"	"observe"	"in"	"the"	"city"	"toughs"	"of"	"the"	"real_world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"been"	"the"	"have"	"political"	"have_been"	"been_the"	"the_political"	"who_have_been"	"have_been_the"	"been_the_political"	"the_political_scene"	"WP"	"VBP"	"VBN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"for"	"who"	"have"	"been"	"observe"	"the"	"political"	"scene"	"a"	"long_time"	"no"	"script"	"from"	"the"	"past"	"be"	"worth"	"very_much"	"in"	"gaze"	"into"	"the"	"state"	"immediate"	"political"	"future"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"to"	"the"	"bend"	"incredibly"	"bend_to"	"to_the"	"the_incredibly"	"committee_bend_to"	"bend_to_the"	"to_the_incredibly"	"the_incredibly_copy"	"NN"	"VB"	"TO"	"VB"	"DT"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"kind_of"	"shock"	"the"	"ladies"	"gentlemen"	"of"	"the"	"committee"	"bend"	"to"	"observe"	"the"	"incredibly"	"copy"	"and"	"brilliantly"	"execute"	"last_supper"	"on"	"the"	"head"	"of"	"a"	"screw"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
