"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"3:00:02::"	"a"	"bent"	"strong"	"his"	"strong_a"	"a_bent"	"bent_his"	"so_strong_a"	"strong_a_bent"	"a_bent_his"	"bent_his_mother"	"RB"	"JJ"	"DT"	"JJ"	"NN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"her"	"son"	"so"	"strong"	"a"	"musical"	"bent"	"his"	"mother"	"could"	"do"	"little"	"else"	"but"	"get"	"him"	"start"	"on"	"the"	"study"	"of"	"music"	"though"	"she"	"wait"	"until"	"he"	"be"	"ten"	"begin"	"with"	"the"	"piano"	"and"	"follow"	"that"	"with"	"the"	"trumpet"	
"3:01:00::"	"his"	"talent"	"cultivate"	"and"	"cultivate_his"	"his_talent"	"talent_and"	"to_cultivate_his"	"cultivate_his_talent"	"his_talent_and"	"talent_and_harvest"	"VB"	"VB"	"PRP$"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"person"	"be"	"to"	"cultivate"	"his"	"musical"	"talent"	"and"	"harvest"	"a"	"rich"	"reward"	"from"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"solid"	"literature"	"a"	"which"	"a_solid"	"solid_literature"	"literature_which"	"into_a_solid"	"a_solid_literature"	"solid_literature_which"	"literature_which_serve"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"WDT"	"VB"	"large"	"and"	"circumspect"	"century"	"technique"	"he"	"weave"	"the"	"material"	"of"	"national"	"hero"	"and"	"event"	"national"	"folklore"	"and"	"child"	"fairytale"	"slavic"	"dance"	"and"	"love"	"song"	"into"	"a"	"solid"	"musical"	"which"	"serve"	"his"	"people"	"well"	"and"	"is"	"provide"	"much"	"enjoyment"	"to"	"the"	"world"	"at_large"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"'s"	"history"	"new_york"	"-"	"new_york_'s"	"'s_history"	"history_-"	"in_new_york_'s"	"new_york_'s_history"	"'s_history_-"	"history_-_indeed"	"IN"	"NN"	"POS"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"april"	"tenth"	"mark"	"a"	"date"	"in"	"new_york"	"musical"	"history"	"indeed"	"in"	"the"	"musical"	"history"	"of"	"the"	"entire"	"eastern"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"history"	"in"	"of"	"in_the"	"the_history"	"history_of"	"indeed_in_the"	"in_the_history"	"the_history_of"	"history_of_the"	"RB"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"april"	"tenth"	"mark"	"a"	"memorable"	"date"	"in"	"musical"	"history"	"indeed"	"in"	"the"	"musical"	"history"	"of"	"the"	"entire"	"eastern"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"for"	"ping-pong"	"anyone"	"?"	"anyone_for"	"for_ping-pong"	"ping-pong_?"	"∅_anyone_for"	"anyone_for_ping-pong"	"for_ping-pong_?"	"ping-pong_?_∅"	"ε"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"musical"	"ping-pong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"pulitzer_prize"	"here"	"the"	"last"	"the_pulitzer_prize"	"pulitzer_prize_here"	"here_last"	"perform_the_pulitzer_prize"	"the_pulitzer_prize_here"	"pulitzer_prize_here_last"	"here_last_night"	"VB"	"DT"	"NNP"	"NN"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"company"	"perform"	"the"	"pulitzer_prize"	"musical"	"here"	"last"	"night"	"and"	"will"	"repeat"	"it"	"twice"	"today"	"be"	"full"	"of"	"bounce"	"the"	"politician"	"be"	"in"	"fine"	"voice"	"the"	"chorine"	"evoke"	"happy"	"memory"	"and"	"the"	"person"	"ride"	"to"	"break"	"a"	"lance"	"again"	
"3:01:00::"	"'s"	"penetration"	"pianist"	"."	"pianist_'s"	"'s_penetration"	"penetration_."	"this_pianist_'s"	"pianist_'s_penetration"	"'s_penetration_."	"penetration_._∅"	"RB"	"NN"	"POS"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"return"	"once_again"	"to"	"the"	"person"	"reissue"	"i"	"am"	"anew"	"by"	"the"	"magnificence"	"of"	"this"	"pianist"	"musical"	"penetration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"its"	"value"	"of"	"."	"of_its"	"its_value"	"value_."	"alteration_of_its"	"of_its_value"	"its_value_."	"value_._∅"	"NN"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"easy"	"to"	"describe"	"this"	"release"	"is"	"to"	"say"	"that"	"it"	"reproduce"	"interesting"	"and"	"effective"	"person"	"performance"	"with"	"minimal"	"alteration"	"of"	"its"	"musical"	"value"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"and"	"distinction"	"authority"	"."	"authority_and"	"and_distinction"	"distinction_."	"lack_authority_and"	"authority_and_distinction"	"and_distinction_."	"distinction_._∅"	"VB"	"NN"	"CC"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_of"	"this"	"would"	"be"	"wasted"	"of_course"	"the"	"performance"	"lack"	"authority"	"and"	"musical"	"distinction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
