"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"5:00:01:finished:01"	"maneuver"	","	"∅"	"the"	"∅_maneuver"	"maneuver_,"	",_the"	"∅_∅_maneuver"	"∅_maneuver_,"	"maneuver_,_the"	",_the_group"	"ε"	"ε"	"NN"	"JJ"	"ε"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"group"	"return"	"to"	"garrison"	"duty"	"in"	"tokyo"	"person"	"still"	"with"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:finished:01"	"be"	","	"korea"	"he"	"korea_be"	"be_,"	",_he"	"after_korea_be"	"korea_be_,"	"be_,_he"	",_he_take_on"	"IN"	"NN"	"VB"	"JJ"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"fill"	"be"	"person"	"with"	"the"	"of"	"location"	"that"	"after"	"korea"	"be"	"over"	"he"	"take_on"	"the"	"job"	"of"	"write"	"the"	"complete"	"history"	"of"	"the"	"regiment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:finished:01"	"be"	","	"lunch"	"and"	"lunch_be"	"be_,"	",_and"	"∅_lunch_be"	"lunch_be_,"	"be_,_and"	",_and_we"	"ε"	"NN"	"VB"	"JJ"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"over"	"and"	"we"	"walk"	"back"	"to"	"the"	"hotel"	"with"	"the"	"light"	"and"	"dark"	"of"	"paris"	"scream"	"at"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"cross"	"into"	"have"	"territory"	"have_cross"	"cross_into"	"into_territory"	"troops_have_cross"	"have_cross_into"	"cross_into_territory"	"into_territory_they"	"NN"	"VBP"	"VB"	"RB"	"IN"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"answer"	"these"	"question"	"we"	"need"	"to"	"not"	"merely"	"whether"	"communist"	"troops"	"have"	"cross"	"over"	"into"	"territory"	"they"	"did"	"not"	"occupy"	"before"	"and"	"not"	"merely"	"whether"	"disciplined"	"agent"	"of"	"the"	"cominform"	"be"	"in"	"control"	"of"	"government"	"from"	"which"	"they"	"were"	"formerly"	"exclude"	
"4:02:02::"	"range"	"the"	"and"	"same"	"and_range"	"range_the"	"the_same"	"same_and_range"	"and_range_the"	"range_the_same"	"the_same_gamut"	"JJ"	"CC"	"VB"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"attitude"	"which"	"the"	"reb"	"and"	"yank"	"toward"	"each"	"be"	"very_much"	"the"	"same"	"and"	"range"	"over"	"the"	"same"	"gamut"	"of"	"feeling"	"from"	"friendliness"	"to"	"extreme"	"hatred"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:finished:01"	"be"	"."	"bloom"	"∅"	"bloom_be"	"be_."	"._∅"	"and_bloom_be"	"bloom_be_."	"be_._∅"	"._∅_∅"	"CC"	"NN"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"people"	"think"	"that"	"pansy"	"last"	"only"	"a_few"	"then"	"their"	"period"	"of"	"growth"	"and"	"bloom"	"be"	"over"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"obtain"	"the"	"were"	"temperature"	"were_obtain"	"obtain_the"	"the_temperature"	"spectrum_were_obtain"	"were_obtain_the"	"obtain_the_temperature"	"the_temperature_range"	"NN"	"VBD"	"VB"	"RB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"spectrum"	"obtain"	"over"	"the"	"temperature"	"range"	"of"	"k"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:immoderate:00"	"i"	"correct"	"possible"	"''"	"possible_i"	"i_correct"	"correct_''"	"be_possible_i"	"possible_i_correct"	"i_correct_''"	"correct_''_,"	"VB"	"IN"	"PRP"	"JJ"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"i"	"over"	"correct"	"he"	"say"	"ruefully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"spot"	"there"	"that"	"''"	"that_spot"	"spot_there"	"there_''"	"take_that_spot"	"that_spot_there"	"spot_there_''"	"there_''_,"	"VB"	"IN"	"NN"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"come_up"	"that"	"spot"	"over"	"there"	"he"	"whisper"	"point"	"to"	"a"	"small"	"clump"	"of"	"blackness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:finished:01"	"'s"	"now"	"that"	"."	"that_'s"	"'s_now"	"now_."	",_that_'s"	"that_'s_now"	"'s_now_."	"now_._∅"	"ε"	"IN"	"VBZ"	"JJ"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"that"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
