"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"2:32:00::"	"to"	"with"	"try"	"an"	"try_to"	"to_with"	"with_an"	"ever_try_to"	"try_to_with"	"to_with_an"	"with_an_eskimo"	"RB"	"VB"	"TO"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"try"	"to"	"reason"	"with"	"an"	"eskimo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:16:00::"	"the"	"and"	"state"	"ground"	"state_the"	"the_and"	"and_ground"	",_state_the"	"state_the_and"	"the_and_ground"	"and_ground_therefor"	"ε"	"VB"	"DT"	"NN"	"CC"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"notify"	"all"	"claimant"	"of"	"the"	"or"	"denial"	"of"	"their"	"claim"	"state"	"the"	"reason"	"and"	"ground"	"therefor"	"and"	"if"	"approved"	"shall"	"notify"	"such"	"claimant"	"of"	"the"	"amount"	"for"	"which"	"such"	"claim"	"are"	"approve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:16:00::"	"major"	"behind"	"the"	"most"	"the_major"	"major_behind"	"behind_most"	"be_the_major"	"the_major_behind"	"major_behind_most"	"behind_most_federal"	"VB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"national"	"defense"	"consideration"	"be"	"the"	"major"	"reason"	"behind"	"most"	"federal"	"training"	"expenditure"	"in"	"recent"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"major"	"for"	"the"	"the"	"the_major"	"major_for"	"for_the"	"of_the_major"	"the_major_for"	"major_for_the"	"for_the_failure"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"one"	"the"	"major"	"reason"	"for"	"the"	"failure"	"of"	"the"	"ill-starred"	"expedition"	"appear"	"to"	"have"	"be"	"a"	"lack"	"of"	"full"	"information"	"on"	"the"	"extent"	"to"	"which"	"cuba"	"has"	"been"	"get"	"this"	"russian"	"military"	"equipment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"half_dozen"	"help"	"a"	"to"	"a_half_dozen"	"half_dozen_help"	"help_to"	"are_a_half_dozen"	"a_half_dozen_help"	"half_dozen_help_to"	"help_to_account_for"	"VB"	"DT"	"JJ"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"a"	"half_dozen"	"reason"	"help"	"to"	"account_for"	"the"	"migration"	"to"	"the"	"campground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:16:00::"	"first"	"people"	"the"	"turn_to"	"the_first"	"first_people"	"people_turn_to"	",_the_first"	"the_first_people"	"first_people_turn_to"	"people_turn_to_camping"	"ε"	"DT"	"JJ"	"NN"	"NN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"make"	"no"	"mistake"	"it"	"the"	"first"	"reason"	"people"	"turn_to"	"camping"	"be"	"one"	"of"	"economy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"the"	"why"	"perhaps"	"he"	"perhaps_the"	"the_why"	"why_he"	"then_again_perhaps_the"	"perhaps_the_why"	"the_why_he"	"why_he_could"	"RB"	"RB"	"DT"	"NN"	"WRB"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"perhaps"	"the"	"reason"	"why"	"he"	"could"	"n't"	"find"	"time"	"to"	"do"	"any"	"of"	"the"	"thing"	"he"	"had"	"plan"	"to"	"do"	"after"	"retirement"	"read"	"roam"	"garden"	"lie"	"on"	"his"	"back"	"and"	"watch"	"the"	"cloud"	"go_by"	"be"	"because"	"he"	"did"	"n't"	"want"	"to"	"do"	"them"	
"1:16:00::"	"serious"	","	"be"	"such_as"	"be_serious"	"serious_,"	",_such_as"	"there_be_serious"	"be_serious_,"	"serious_,_such_as"	",_such_as_those"	"EX"	"VB"	"JJ"	"NN"	"ε"	"JJ"	"DT"	"0"	"person"	"declare"	"in"	"that"	"it"	"be"	"possible"	"be"	"exempt"	"from"	"the"	"normal"	"obligation"	"of"	"parenthood"	"for"	"a"	"long_time"	"and"	"even"	"for"	"the"	"whole"	"duration"	"of"	"married"	"life"	"if"	"there"	"be"	"reason"	"such_as"	"those"	"often"	"mention"	"in"	"the"	"so-called"	"medical"	"eugenic"	"economic"	"and"	"social"	"indication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:16:00::"	"practical"	"for"	"more"	"a"	"more_practical"	"practical_for"	"for_a"	"were_more_practical"	"more_practical_for"	"practical_for_a"	"for_a_changing"	"VBD"	"RB"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hidden"	"behind"	"hegelian"	"were"	"more"	"practical"	"reason"	"for"	"a"	"changing"	"jurisprudence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:16:00::"	"without"	"."	","	"∅"	",_without"	"without_."	"._∅"	"plan_,_without"	",_without_."	"without_._∅"	"._∅_∅"	"NN"	"ε"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"fifty-five"	"year"	"he"	"had"	"live"	"progress"	"towards"	"a"	"no-goal"	"work"	"breathe"	"without"	"plan"	"without"	"reason"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
