"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"
"2:39:06::"	")"	"a"	"them"	"much"	"them_)"	")_a"	"a_much"	"of_them_)"	"them_)_a"	")_a_much"	"a_much_better"	"IN"	"PRP"	"ε"	"VB"	"DT"	"JJ"	"RBR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dance"	"dancers"	"and"	"dance"	"of"	"them"	"have"	"a"	"much"	"better"	"time"	"of_it"	"at"	"lewisohn_stadium"	"on"	"saturday"	"night"	"than"	"all"	"had"	"have"	"two"	"nights"	"earlier"	"when"	"stadium"	"concerts"	"present"	"the"	"first"	"of"	"two"	"dance"	"programs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:06::"	"had"	"two"	"all"	"nights"	"all_had"	"had_two"	"two_nights"	"than_all_had"	"all_had_two"	"had_two_nights"	"two_nights_earlier"	"IN"	"DT"	"VBD"	"VB"	"CD"	"NNS"	"JJR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dance"	"dancers"	"and"	"dance"	"enthusiasts"	"of"	"them"	"have"	"a"	"much"	"better"	"of_it"	"at"	"lewisohn_stadium"	"on"	"saturday"	"night"	"than"	"all"	"had"	"have"	"two"	"nights"	"earlier"	"when"	"stadium"	"concerts"	"present"	"the"	"first"	"of"	"two"	"dance"	"programs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"ruth"	"35"	","	"home_runs"	",_ruth"	"ruth_35"	"35_home_runs"	"1927_,_ruth"	",_ruth_35"	"ruth_35_home_runs"	"35_home_runs_."	"CD"	"ε"	"NNP"	"VB"	"CD"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"games"	"in"	"have"	"home_runs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"strikingly"	"ago"	"similar"	"ago_,"	",_strikingly"	"strikingly_similar"	"years_ago_,"	"ago_,_strikingly"	",_strikingly_similar"	"strikingly_similar_backgrounds"	"NNS"	"RB"	"ε"	"VB"	"RB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"roommates"	"teammates"	"and"	"home-run"	"mates"	"mantle"	"who"	"break_in"	"with"	"the"	"yankees"	"ten"	"years"	"ago"	"and"	"maris"	"who"	"to"	"the"	"yankees"	"from"	"kansas_city"	"two"	"years"	"ago"	"have"	"strikingly"	"similar"	"backgrounds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"have"	"dynamic"	"those"	"run-ups"	"those_have"	"have_dynamic"	"dynamic_run-ups"	"of_those_have"	"those_have_dynamic"	"have_dynamic_run-ups"	"dynamic_run-ups_in"	"IN"	"DT"	"VBP"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"those"	"have"	"have"	"dynamic"	"run-ups"	"in"	"price"	"on"	"the"	"market"	"in"	"recent"	"months"	"both"	"were"	"sell"	"at"	"higher"	"price-earnings"	"and"	"yield"	"bases"	"than"	"morton"	"was"	"come"	"to"	"market"	"at"	"and"	"everyone"	"who"	"know"	"anything"	"about"	"it"	"expect"	"the"	"morton"	"stock"	"to"	"have"	"a"	"fast"	"run-up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"a"	"stock"	"fast"	"stock_to"	"to_a"	"a_fast"	"morton_stock_to"	"stock_to_a"	"to_a_fast"	"a_fast_run-up"	"NNP"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"of"	"those"	"have"	"have"	"dynamic"	"run-ups"	"in"	"price"	"on"	"the"	"market"	"in"	"recent"	"months"	"both"	"were"	"sell"	"at"	"higher"	"price-earnings"	"and"	"bases"	"than"	"morton"	"was"	"come"	"to"	"market"	"at"	"and"	"everyone"	"who"	"know"	"anything"	"about"	"it"	"expect"	"the"	"morton"	"stock"	"to"	"have"	"a"	"fast"	"run-up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"they"	"no"	"that"	"second-echelon"	"that_they"	"they_no"	"no_second-echelon"	"also_that_they"	"that_they_no"	"they_no_second-echelon"	"no_second-echelon_management"	"RB"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"today"	"many_of"	"those"	"men"	"are"	"reach"	"retirement"	"age"	"and"	"suddenly"	"realize"	"that"	"face"	"an"	"estate_tax"	"problem"	"with"	"their"	"closely"	"hold"	"companies"	"and"	"also"	"that"	"they"	"have"	"no"	"second-echelon"	"management"	"in"	"their"	"firms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"has"	"a"	"lummus_cotton_gin_co."	"sales"	"lummus_cotton_gin_co._has"	"has_a"	"a_sales"	"the_lummus_cotton_gin_co._has"	"lummus_cotton_gin_co._has_a"	"has_a_sales"	"a_sales_and"	"DT"	"NNP"	"VBZ"	"VB"	"DT"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"has"	"have"	"a"	"sales"	"and"	"service"	"office"	"in"	"dallas"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"ginning"	"joint"	"of"	"headquarters"	"of_ginning"	"ginning_joint"	"joint_headquarters"	"system_of_ginning"	"of_ginning_joint"	"ginning_joint_headquarters"	"joint_headquarters_here"	"NNP"	"IN"	"NNP"	"VB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"moss_gordin_lint_cleaner_co."	"and"	"unit"	"system"	"of"	"ginning"	"have"	"joint"	"headquarters"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"cen-tennial_gin_supply_co."	"home_offices"	"the"	"and"	"the_cen-tennial_gin_supply_co."	"cen-tennial_gin_supply_co._home_offices"	"home_offices_and"	"∅_the_cen-tennial_gin_supply_co."	"the_cen-tennial_gin_supply_co._home_offices"	"cen-tennial_gin_supply_co._home_offices_and"	"home_offices_and_factory"	"ε"	"DT"	"NNP"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cen-tennial_gin_supply_co."	"have"	"home_offices"	"and"	"factory"	"facilities"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
