"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"4:02:02::"	"train"	"skilled"	"in"	"labor"	"in_train"	"train_skilled"	"skilled_labor"	"interest_in_train"	"in_train_skilled"	"train_skilled_labor"	"skilled_labor_."	"NN"	"IN"	"VB"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"program"	"of"	"financial"	"assistance"	"would"	"permit"	"emphasis"	"on"	"the"	"national"	"interest"	"in"	"train"	"highly"	"skilled"	"labor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"and"	"gifted"	"talented"	"youth"	"talented_and"	"and_gifted"	"gifted_youth"	"academically_talented_and"	"talented_and_gifted"	"and_gifted_youth"	"gifted_youth_in"	"RB"	"JJ"	"CC"	"RB"	"JJ"	"NN"	"IN"	"later"	"chapter"	"deal"	"with"	"the"	"suburban"	"school"	"i"	"shall"	"discuss"	"the"	"importance"	"of"	"arrange"	"a"	"program"	"for"	"the"	"academically"	"talented"	"gifted"	"youth"	"in"	"any"	"high_school"	"where"	"he"	"is"	"find"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"unlikely"	"it"	"any"	"it_be"	"be_unlikely"	"unlikely_any"	"amount_it_be"	"it_be_unlikely"	"be_unlikely_any"	"unlikely_any_cowpuncher"	"NN"	"PRP"	"VB"	"RB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"run_through"	"the"	"bill"	"name"	"an"	"amount"	"it"	"be"	"highly"	"unlikely"	"any"	"cowpuncher"	"would"	"come_by"	"honestly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"a"	"competitive"	"make"	"business"	"make_a"	"a_competitive"	"competitive_business"	"can_make_a"	"make_a_competitive"	"a_competitive_business"	"competitive_business_more"	"MD"	"VB"	"DT"	"RB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"know"	"specifically"	"what"	"the"	"many"	"feed"	"additive"	"can"	"do"	"and_how"	"and"	"when"	"feed"	"them"	"can"	"make"	"a"	"highly"	"competitive"	"business"	"more"	"profitable"	"for"	"beef_man"	"dairyman"	"and"	"sheepman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"the"	"anxious"	"by"	"child"	"by_the"	"the_anxious"	"anxious_child"	"suffer_by_the"	"by_the_anxious"	"the_anxious_child"	"anxious_child_in"	"VB"	"IN"	"DT"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"striking"	"aspect"	"of"	"the"	"interaction"	"demonstrate"	"be"	"the"	"decrement"	"in"	"performance"	"suffer"	"by"	"the"	"highly"	"anxious"	"child"	"in"	"unstructured"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"of"	"unusual"	"list"	"term"	"list_of"	"of_unusual"	"unusual_term"	"a_list_of"	"list_of_unusual"	"of_unusual_term"	"unusual_term_use"	"DT"	"NN"	"IN"	"RB"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dharma_dictionary"	"list"	"of"	"highly"	"unusual"	"term"	"use"	"in"	"connection"	"with"	"eurasian"	"proto-senility"	"cult"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"and"	"polar"	"molecular_weight"	"molecule"	"molecular_weight_and"	"and_polar"	"polar_molecule"	"high_molecular_weight_and"	"molecular_weight_and_polar"	"and_polar_molecule"	"polar_molecule_which"	"JJ"	"NN"	"CC"	"RB"	"JJ"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_is"	"well_known"	"detergent"	"active"	"belong_to"	"the"	"class"	"consist_of"	"moderately"	"high"	"molecular_weight"	"and"	"highly"	"polar"	"molecule"	"which"	"exhibit"	"the"	"property"	"of"	"form"	"micelle"	"in"	"solution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"a"	"amusing"	"'s"	"film"	"'s_a"	"a_amusing"	"amusing_film"	"it_'s_a"	"'s_a_amusing"	"a_amusing_film"	"amusing_film_which"	"PRP"	"VBZ"	"DT"	"RB"	"JJ"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"instead"	"and"	"not"	"just"	"prove"	"my"	"objectivity"	"i"	"hasten"	"to"	"that"	"it"	"a"	"highly"	"amusing"	"film"	"which"	"probably"	"do"	"a"	"fairly"	"accurate"	"job"	"of"	"report"	"on"	"the"	"easter"	"vacation"	"shenanigan"	"of"	"collegian"	"down"	"in"	"location"	"and"	"that"	"it"	"seem"	"to"	"come_to_grips"	"quite"	"honestly"	"with"	"the"	"moral"	"problem"	"that"	"most"	"commonly"	"vex"	"youngster"	"in"	"this"	"age_group"	"that_is_to_say"	"sex"	
"4:02:02::"	"of"	"professional"	"corps"	"teacher"	"corps_of"	"of_professional"	"professional_teacher"	"a_corps_of"	"corps_of_professional"	"of_professional_teacher"	"professional_teacher_of"	"DT"	"NN"	"IN"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must"	"a"	"corps"	"of"	"highly"	"professional"	"teacher"	"of"	"interior_design"	"who"	"have"	"have"	"education"	"experience"	"in"	"the"	"profession"	"and"	"be"	"willing"	"to"	"take_on"	"the"	"usual"	"accompaniment"	"of"	"teaching"	"minimal"	"income"	"and"	"minimal"	"status"	"among"	"their"	"confrere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"infectious"	"to"	"."	"to_be"	"be_infectious"	"infectious_."	"believe_to_be"	"to_be_infectious"	"be_infectious_."	"infectious_._∅"	"VB"	"TO"	"VB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"enemy"	"would"	"obviously"	"choose"	"agent"	"that"	"is"	"believe"	"to"	"be"	"highly"	"infectious"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
