"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:42:00::"	"issues"	","	"1253"	"695"	"1253_issues"	"issues_,"	",_695"	"of_1253_issues"	"1253_issues_,"	"issues_,_695"	",_695_advance"	"IN"	"CD"	"NNS"	"VB"	"ε"	"CD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"trade"	"advance"	"and"	"decline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"be"	","	"should"	"("	"should_be"	"be_,"	",_("	"cars_should_be"	"should_be_,"	"be_,_("	",_(_c"	"NNS"	"MD"	"VB"	"VB"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meaningful"	"policies"	"include"	"a"	"kinds"	"of"	"cars"	"the"	"state"	"should"	"b"	"when"	"cars"	"should"	"be"	"trade"	"c"	"the"	"need"	"and"	"assignment"	"of"	"vehicles"	"d"	"use"	"of"	"cars"	"in"	"lieu"	"of"	"mileage"	"allowances"	"e"	"employees"	"take"	"cars"	"home"	"and"	"f"	"need"	"for"	"liability"	"insurance"	"on"	"state"	"automobiles"	
"2:40:00::"	"are"	"mostly"	"cars"	"on"	"cars_are"	"are_mostly"	"mostly_on"	"∅_cars_are"	"cars_are_mostly"	"are_mostly_on"	"mostly_on_a"	"ε"	"NNPS"	"VBP"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"trade"	"mostly"	"on"	"a"	"three-year"	"basis"	"in"	"the"	"interest"	"of"	"economy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	","	"agriculture"	"industrial"	"agriculture_,"	",_,"	",_industrial"	"in_agriculture_,"	"agriculture_,_,"	",_,_industrial"	",_industrial_skill"	"IN"	"NN"	"ε"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"the"	"present"	"federal"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"the"	"smith-hughes_act"	"which"	"provide"	"a"	"continuing"	"annual"	"appropriation"	"of"	"million"	"to"	"support"	"on"	"a"	"match"	"basis"	"state"	"administer"	"program"	"of"	"vocational"	"education"	"in"	"trade"	"industrial"	"skill"	"and"	"home_economics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"and"	"state"	"industrial"	"state_,"	",_and"	"and_industrial"	"most_state_,"	"state_,_and"	",_and_industrial"	"and_industrial_training"	"JJ"	"NN"	"ε"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"state"	"trade"	"and"	"industrial"	"training"	"is"	"provide"	"in"	"a"	"minority"	"of"	"the"	"high_school"	"usually"	"located"	"in"	"the"	"larger"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"in"	"and"	"training_program"	"industry"	"training_program_in"	"in_and"	"and_industry"	"vocational_training_program_in"	"training_program_in_and"	"in_and_industry"	"and_industry_provide"	"JJ"	"NN"	"IN"	"NN"	"CC"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"existence"	"of"	"public_school"	"vocational"	"training_program"	"in"	"trade"	"and"	"industry"	"provide"	"a"	"base"	"from"	"which"	"such"	"need"	"can"	"be"	"fill"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"beer"	"."	"person"	"∅"	"person_beer"	"beer_."	"._∅"	"the_person_beer"	"person_beer_."	"beer_._∅"	"._∅_∅"	"DT"	"NNP"	"NN"	"NN"	"ε"	"ε"	"ε"	"of"	"the"	"same"	"arrangement"	"person"	"had"	"in"	"the"	"spirit"	"of"	"peace"	"and"	"good_will"	"and"	"in"	"exchange"	"for"	"armed"	"support"	"in"	"the"	"april"	"election"	"campaign"	"bestow"	"upon"	"person"	"a"	"third"	"share"	"in"	"the"	"group"	"proceeds"	"and"	"a"	"cut"	"the"	"person"	"beer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:05::"	"industry"	"association"	"many"	"are"	"many_industry"	"industry_association"	"association_are"	"∅_many_industry"	"many_industry_association"	"industry_association_are"	"association_are_develop"	"ε"	"JJ"	"NN"	"NN"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"industry"	"trade"	"association"	"are"	"develop"	"campaign"	"to"	"protect"	"or"	"enhance"	"the"	"share"	"of"	"the"	"consumer"	"dollar"	"being"	"spend"	"on"	"their"	"particular"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"your"	"customer"	"will"	"settle"	"will_your"	"your_customer"	"customer_settle"	"∅_will_your"	"will_your_customer"	"your_customer_settle"	"customer_settle_for"	"ε"	"MD"	"PRP$"	"NN"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"trade"	"customer"	"settle"	"for"	"less"	"attention"	"and"	"fewer"	"frills"	"in_return_for"	"some"	"benefit"	"they"	"can"	"share"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:05::"	"a"	"in"	"open"	"merchandise"	"open_a"	"a_in"	"in_merchandise"	"to_open_a"	"open_a_in"	"a_in_merchandise"	"in_merchandise_."	"TO"	"VB"	"DT"	"NN"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"these"	"swiss"	"were"	"move"	"from"	"the"	"person"	"settlement"	"to"	"become"	"the"	"first"	"civilian"	"resident"	"of"	"minnesota"	"of"	"location"	"michigan"	"and"	"location"	"was"	"travel_to"	"red_river"	"to"	"open"	"a"	"trade"	"in"	"merchandise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
