"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:09:00::"	"each"	"and"	"study"	"experiment"	"study_each"	"each_and"	"and_experiment"	"you_study_each"	"study_each_and"	"each_and_experiment"	"and_experiment_with"	"PRP"	"VB"	"DT"	"NN"	"CC"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"distribution_cost"	"be"	"almost"	"bind"	"to"	"increase"	"in"	"the"	"sixties"	"and"	"you"	"will"	"know"	"what"	"you"	"can"	"do"	"to"	"control"	"them"	"unless"	"you"	"study"	"each"	"element"	"and"	"experiment"	"with"	"alternative"	"way"	"of"	"do"	"the"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"principal"	"of"	"the"	"our"	"the_principal"	"principal_of"	"of_our"	"be_the_principal"	"the_principal_of"	"principal_of_our"	"of_our_long-range"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"the"	"principal"	"element"	"of"	"our"	"long-range"	"nuclear"	"capability"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"isolated"	"."	"of"	"∅"	"of_isolated"	"isolated_."	"._∅"	"meaning_of_isolated"	"of_isolated_."	"isolated_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"analysis"	"mean"	"the"	"evaluation"	"of"	"subpart"	"the"	"comparative"	"rating"	"part"	"the"	"comprehension"	"of"	"the"	"meaning"	"of"	"isolated"	"element"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"many"	"see"	"of"	"in"	"of_many"	"many_see"	"see_in"	"evaluation_of_many"	"of_many_see"	"many_see_in"	"see_in_dynamic"	"NN"	"IN"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"consider"	"roleplaying"	"for"	"analysis"	"we"	"enter"	"a"	"more"	"complex"	"area"	"since"	"we"	"are"	"now"	"no_longer"	"deal"	"with"	"a"	"simple"	"overall"	"but"	"rather"	"with"	"the"	"examination"	"and"	"evaluation"	"of"	"many"	"element"	"see"	"in"	"dynamic"	"functioning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"70"	","	"of"	"as"	"of_70"	"70_,"	",_as"	"line_of_70"	"of_70_,"	"70_,_as"	",_as_observe"	"NN"	"IN"	"JJ"	"NN"	"ε"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"set"	"of"	"table"	"contain"	"intensity"	"for"	"line"	"of"	"element"	"as"	"observe"	"in"	"a"	"copper"	"matrix"	"in"	"a"	"dc"	"arc"	"was"	"complete"	"and"	"publish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"rare_earth"	"."	"the"	"∅"	"the_rare_earth"	"rare_earth_."	"._∅"	"of_the_rare_earth"	"the_rare_earth_."	"rare_earth_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"continue"	"on"	"the"	"complex"	"spectrum"	"of"	"the"	"rare_earth"	"element"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"those"	"of"	"accentuate"	"each"	"accentuate_those"	"those_of"	"of_each"	"child_accentuate_those"	"accentuate_those_of"	"those_of_each"	"of_each_lesson"	"NN"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"conjecture"	"be"	"then"	"that"	"regardless"	"of"	"the"	"manner"	"in"	"which"	"lesson"	"are"	"teach"	"the"	"compulsive"	"child"	"accentuate"	"those"	"element"	"of"	"each"	"lesson"	"that"	"aid"	"him"	"in"	"systematize"	"his"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"cultured"	"of"	"the"	"the"	"the_cultured"	"cultured_of"	"of_the"	"among_the_cultured"	"the_cultured_of"	"cultured_of_the"	"of_the_population"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"even"	"if"	"the"	"latent"	"demand"	"for"	"demythologization"	"be"	"not"	"nearly"	"widespread"	"as"	"we"	"are"	"claim"	"at_least"	"among"	"the"	"cultured"	"element"	"of"	"the"	"population"	"there"	"tend"	"to"	"be"	"an"	"almost"	"complete"	"indifference"	"to"	"the"	"church"	"and"	"its"	"traditional"	"message"	"of"	"sin"	"and"	"grace"	
"1:09:00::"	"characteristic"	"and"	"of"	"make"	"of_characteristic"	"characteristic_and"	"and_make"	"number_of_characteristic"	"of_characteristic_and"	"characteristic_and_make"	"and_make_of"	"NN"	"JJ"	"JJ"	"NN"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"worth"	"dwell"	"in"	"some"	"detail"	"on"	"the"	"crisis"	"this"	"story"	"because"	"it"	"bring_together"	"a"	"number"	"of"	"characteristic"	"element"	"and"	"make"	"of"	"them"	"a"	"curious"	"riddle"	"compound"	"obscurely"	"but"	"centrally"	"significant"	"for"	"person"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"characterize"	"this"	"characterize_the"	"the_of"	"of_this"	"in_characterize_the"	"characterize_the_of"	"the_of_this"	"of_this_conflict"	"IN"	"VB"	"DT"	"NN"	"RB"	"RB"	"NN"	"the_way_to_the_churchyard"	"in"	"its"	"representation"	"of"	"a"	"conflict"	"between"	"light"	"and"	"dark"	"between"	"person"	"and"	"a"	"spirit"	"of"	"criticism"	"negation"	"melancholy"	"but"	"it"	"go"	"considerably"	"further"	"in"	"characterize"	"the"	"element"	"this"	"conflict"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
