"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"4:02:00::"	"for"	"$"	"contractor"	"1000"	"contractor_for"	"for_$"	"$_1000"	"a_contractor_for"	"contractor_for_$"	"for_$_1000"	"$_1000_to"	"DT"	"NN"	"IN"	"RB"	"ε"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"underground"	"reinforced_concrete"	"shelter"	"can"	"build"	"by"	"a"	"contractor"	"for"	"about"	"to"	"depending_on"	"the"	"type"	"of"	"entrance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"as"	"you"	"dumb"	"you_be"	"be_as"	"as_dumb"	"``_you_be"	"you_be_as"	"be_as_dumb"	"as_dumb_as"	"ε"	"PRP"	"VB"	"RB"	"RB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"about"	"as"	"dumb"	"as"	"they"	"come"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"was"	"an"	"there"	"equal"	"there_was"	"was_an"	"an_equal"	"that_there_was"	"there_was_an"	"was_an_equal"	"an_equal_number"	"IN"	"EX"	"VB"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"clear"	"from"	"the"	"counterbalanced"	"shape"	"of"	"the"	"of"	"arrow"	"in"	"figure"	"that"	"there"	"was"	"about"	"an"	"equal"	"number"	"of"	"early"	"and"	"late"	"onset"	"and"	"completion"	"for"	"the"	"girl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"for"	"50"	"illuminate"	"hour"	"illuminate_for"	"for_50"	"50_hour"	"and_illuminate_for"	"illuminate_for_50"	"for_50_hour"	"50_hour_with"	"CC"	"VB"	"IN"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"liter"	"quantity"	"of"	"mallinckrodt"	"low"	"sulfur"	"reagent"	"grade"	"carbon_tetrachloride"	"were"	"saturate"	"with"	"f"	"and"	"f"	"and"	"illuminate"	"about"	"hour"	"with"	"a"	"watt"	"tungsten"	"lamp"	"at"	"a"	"distance"	"of"	"a_few"	"inch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"**f"	"here"	","	"here_be"	"be_**f"	"**f_,"	"use_here_be"	"here_be_**f"	"be_**f_,"	"**f_,_approximately"	"VB"	"RB"	"VB"	"RB"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"measured"	"powder"	"density"	"the"	"use"	"here"	"be"	"about"	"approximately"	"one-third"	"that"	"of"	"the"	"crystal"	"density"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"seventy-five"	"location"	"mile"	"location_be"	"be_seventy-five"	"seventy-five_mile"	"∅_location_be"	"location_be_seventy-five"	"be_seventy-five_mile"	"seventy-five_mile_west"	"ε"	"NNP"	"VB"	"RB"	"CD"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"about"	"seventy-five"	"mile"	"west"	"of"	"location"	"near"	"the"	"location"	"border"	"and"	"on"	"the"	"location"	"a"	"small"	"and"	"dirty"	"stream"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"look"	"a_bit"	"after"	","	"after_look"	"look_a_bit"	"a_bit_,"	"∅_after_look"	"after_look_a_bit"	"look_a_bit_,"	"a_bit_,_person"	"ε"	"IN"	"VB"	"RB"	"RB"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"about"	"a_bit"	"person"	"discover"	"beyond"	"location"	"across"	"the"	"river"	"and"	"far"	"removed"	"from"	"the"	"white"	"city"	"a"	"considerable"	"tract"	"of"	"land"	"and"	"it"	"occur"	"to"	"him"	"that"	"the"	"church"	"and"	"the"	"better"	"person"	"home"	"might"	"gradually"	"be"	"move"	"to"	"this"	"plot"	
"4:02:06::"	"look"	"."	"person"	"∅"	"person_look"	"look_."	"._∅"	",_person_look"	"person_look_."	"look_._∅"	"._∅_∅"	"ε"	"NNP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lie"	"in"	"the"	"grass"	"behind"	"brush"	"clump"	"person"	"look"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"look"	"fifteen"	"you"	"year"	"you_look"	"look_fifteen"	"fifteen_year"	"``_you_look"	"you_look_fifteen"	"look_fifteen_year"	"fifteen_year_old"	"ε"	"PRP"	"VB"	"RB"	"JJ"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"say"	"look"	"about"	"fifteen"	"year"	"old"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"look"	"him"	"stand"	"."	"stand_look"	"look_him"	"him_."	"and_stand_look"	"stand_look_him"	"look_him_."	"him_._∅"	"CC"	"VB"	"VB"	"RB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"finish"	"with"	"the"	"team"	"fill"	"his"	"pipe"	"and"	"stand"	"look"	"about"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
