"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"2:41:01::"	"workmen"	"to"	"be"	"set"	"be_workmen"	"workmen_to"	"to_set"	"that_be_workmen"	"be_workmen_to"	"workmen_to_set"	"to_set_the"	"WDT"	"VB"	"NNS"	"VB"	"TO"	"VB"	"DT"	"0"	"a"	"plume"	"of"	"smoke"	"rise"	"from"	"a"	"central_vermont"	"locomotive"	"which"	"idle"	"behind"	"a"	"string"	"of"	"gravel"	"cars"	"and"	"little"	"figures"	"that"	"workmen"	"labor"	"to"	"set"	"the"	"ruptured"	"roadbed"	"to"	"rights"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"persistent"	"surplus"	"of"	"area"	"of_persistent"	"persistent_surplus"	"surplus_area"	"problem_of_persistent"	"of_persistent_surplus"	"persistent_surplus_area"	"surplus_area_and"	"NN"	"IN"	"JJ"	"NN"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"this"	"trend"	"toward"	"area"	"vocational_school"	"be"	"related"	"to"	"the"	"problem"	"of"	"persistent"	"labor"	"surplus"	"area"	"and"	"their"	"desire"	"to"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"surplus"	"training_program"	"area"	"training_program_in"	"in_surplus"	"surplus_area"	"vocational_training_program_in"	"training_program_in_surplus"	"in_surplus_area"	"surplus_area_be"	"JJ"	"NN"	"JJ"	"NN"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"weakness"	"vocational"	"training_program"	"in"	"labor"	"surplus"	"area"	"be"	"their"	"focus"	"on"	"serve"	"solely"	"local"	"job"	"demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"chronic"	"surplus"	"in"	"area"	"in_chronic"	"chronic_surplus"	"surplus_area"	"shortsighted_in_chronic"	"in_chronic_surplus"	"chronic_surplus_area"	"surplus_area_with"	"JJ"	"IN"	"JJ"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"procedure"	"be"	"shortsighted"	"in"	"chronic"	"labor"	"surplus"	"area"	"with"	"a"	"long"	"history"	"of"	"declining"	"employment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"skilled"	"."	"highly"	"∅"	"highly_skilled"	"skilled_."	"._∅"	"train_highly_skilled"	"highly_skilled_."	"skilled_._∅"	"._∅_∅"	"VB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"program"	"of"	"financial"	"assistance"	"would"	"permit"	"place"	"on"	"the"	"national"	"interest"	"in"	"train"	"highly"	"skilled"	"labor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"physical"	"and"	"hard"	"undesirable"	"hard_physical"	"physical_and"	"and_undesirable"	"∅_hard_physical"	"hard_physical_and"	"physical_and_undesirable"	"and_undesirable_hours"	"ε"	"JJ"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"physical"	"labor"	"and"	"undesirable"	"hours"	"be"	"a"	"part"	"of"	"farm"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"and"	"invest"	"money"	"may"	"money_and"	"and_invest"	"invest_may"	"for_money_and"	"money_and_invest"	"and_invest_may"	"invest_may_be"	"IN"	"NN"	"CC"	"NN"	"VB"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"return"	"money"	"and"	"labor"	"invest"	"may"	"be"	"small"	"even"	"in"	"a"	"good"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"and"	"make"	","	"it"	",_and"	"and_make"	"make_it"	"supplies_,_and"	",_and_make"	"and_make_it"	"make_it_difficult"	"NN"	"ε"	"CC"	"NN"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"high"	"cost"	"of"	"supplies"	"and"	"labor"	"make"	"it"	"difficult"	"to"	"farm"	"profitably"	"on"	"a"	"part-time"	"basis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	","	","	"land"	"and"	"land_,"	",_,"	",_and"	"little_land_,"	"land_,_,"	",_,_and"	",_and_equipment"	"JJ"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farming"	"can"	"comparatively"	"little"	"land"	"labor"	"and"	"equipment"	"or"	"a"	"great_deal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	","	","	"land"	"and"	"land_,"	",_,"	",_and"	"for_land_,"	"land_,_,"	",_,_and"	",_and_equipment"	"IN"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"general"	"requirement"	"land"	"labor"	"and"	"equipment"	"are"	"discuss"	"below"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"family"	","	"by"	"compare"	"by_family"	"family_,"	",_compare"	"manage_by_family"	"by_family_,"	"family_,_compare"	",_compare_the"	"VB"	"IN"	"NN"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"on"	"the"	"to"	"be"	"manage"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"labor"	"that"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"the"	"labor"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	
"1:04:00::"	"of"	"that"	"amount"	"can"	"amount_of"	"of_that"	"that_can"	"the_amount_of"	"amount_of_that"	"of_that_can"	"that_can_be"	"DT"	"NN"	"IN"	"NN"	"WDT"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"on"	"the"	"enterprise"	"to"	"be"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"labor"	"that"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"the"	"labor"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	"0"	"0"	"0"	
"1:04:00::"	"the"	"need"	"with"	"of"	"with_the"	"the_need"	"need_of"	"family_with_the"	"with_the_need"	"the_need_of"	"need_of_various"	"NN"	"IN"	"DT"	"NN"	"NN"	"IN"	"JJ"	"on"	"the"	"enterprise"	"to"	"be"	"manage"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"labor"	"that"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"of"	"available"	"supply"	"to"	"supply_of"	"of_available"	"available_to"	"adequate_supply_of"	"supply_of_available"	"of_available_to"	"available_to_the"	"JJ"	"NN"	"IN"	"NN"	"JJ"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"single"	"union"	"which"	"face"	"the"	"industry"	"does"	"restrict"	"its"	"membership"	"and"	"there"	"an"	"adequate"	"supply"	"of"	"labor"	"available"	"to"	"the"	"firm"	"of"	"the"	"industry"	"at"	"the"	"going"	"wage"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"some"	"stiff"	","	"with"	",_some"	"some_stiff"	"stiff_with"	"front_,_some"	",_some_stiff"	"some_stiff_with"	"stiff_with_a"	"NN"	"ε"	"DT"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"need"	"front"	"some"	"labor"	"stiff"	"with"	"a"	"clean"	"record"	"to"	"act_as"	"business_agent"	"of"	"the"	"group"	"local"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"worthwhile"	"make"	"''"	"make_the"	"the_worthwhile"	"worthwhile_''"	"have_make_the"	"make_the_worthwhile"	"the_worthwhile_''"	"worthwhile_''_,"	"VBP"	"VB"	"DT"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"have"	"the"	"labor"	"worthwhile"	"he"	"say"	"to"	"her"	"smiling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
