"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:30:00::"	"to"	"at"	"better"	"home"	"better_to"	"to_at"	"at_home"	"be_better_to"	"better_to_at"	"to_at_home"	"at_home_."	"VB"	"JJR"	"TO"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"it"	"better"	"to"	"stay"	"at"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"'d"	"out"	"they"	"of"	"they_'d"	"'d_out"	"out_of"	"god_they_'d"	"they_'d_out"	"'d_out_of"	"out_of_my"	"NNP"	"PRP"	"MD"	"VB"	"IN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"make"	"a_couple_of"	"punk"	"detectives"	"named"	"geely"	"harris"	"wish"	"to"	"god"	"they"	"stay"	"out"	"of"	"my"	"way"	"this"	"afternoon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"i"	"on"	"∅"	"the"	"∅_i"	"i_on"	"on_the"	"∅_∅_i"	"∅_i_on"	"i_on_the"	"on_the_car"	"ε"	"ε"	"PRP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stay"	"on"	"the"	"car"	"for"	"a_few"	"minutes"	"until"	"turn"	"right"	"it"	"enter"	"a"	"huge"	"square"	"bayezit"	"with"	"the"	"bayezit_mosque"	"on_the_right"	"and"	"the"	"gate"	"to"	"the"	"university"	"just"	"beyond"	"it"	"0"	"0"	
"2:30:00::"	"which"	"sane"	","	"through"	",_which"	"which_sane"	"sane_through"	"mind_,_which"	",_which_sane"	"which_sane_through"	"sane_through_happiness"	"NN"	"ε"	"WDT"	"VB"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secret"	"little"	"corner"	"his"	"mind"	"which"	"stay"	"sane"	"through"	"happiness"	"and"	"pain"	"make"	"him"	"wonder"	"about"	"b"	"dikkat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"question"	"in"	"the"	"mr._podger"	"the_question"	"question_in"	"in_mr._podger"	"but_the_question"	"the_question_in"	"question_in_mr._podger"	"in_mr._podger_'s"	"CC"	"DT"	"NN"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"voice"	"sink"	"back"	"into"	"the"	"tangle"	"of"	"sound"	"but"	"the"	"question"	"stay"	"in"	"mr._podger"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"not"	"``"	"should"	"beyond"	"should_not"	"not_``"	"``_beyond"	"minister_should_not"	"should_not_``"	"not_``_beyond"	"``_beyond_the"	"NN"	"MD"	"RB"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"should"	"not"	"stay"	"beyond"	"the"	"time"	"that"	"his"	"leadership"	"should"	"benefit"	"his"	"church"	"he"	"write"	"for"	"he"	"become"	"ordinary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"ahead"	"effort"	"of"	"effort_to"	"to_ahead"	"ahead_of"	"an_effort_to"	"effort_to_ahead"	"to_ahead_of"	"ahead_of_the"	"DT"	"NN"	"TO"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"georgia"	"department_of_agriculture"	"is"	"intensify"	"its"	"fire_ant"	"program"	"in"	"an"	"effort"	"to"	"stay"	"ahead"	"of"	"the"	"fast-spreading"	"pest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"to"	"''"	"here"	"?"	"here_to"	"to_''"	"''_?"	"women_here_to"	"here_to_''"	"to_''_?"	"''_?_∅"	"NNP"	"RB"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"october"	"he"	"give"	"a"	"public"	"speech"	"in"	"d._c."	"entitle"	"be"	"women"	"here"	"to"	"stay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"be"	"on"	"mind"	"thee"	"mind_be"	"be_on"	"on_thee"	"whose_mind_be"	"mind_be_on"	"be_on_thee"	"on_thee_:"	"WP$"	"NN"	"VB"	"VB"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"looking"	"unto"	"god"	"the"	"prophet_isaiah"	"write"	"these"	"blessed"	"words"	"almost"	"three"	"thousand"	"years"	"ago"	"thou"	"wilt"	"keep"	"him"	"in"	"perfect"	"whose"	"mind"	"be"	"stay"	"on"	"thee"	"because"	"he"	"trusteth"	"in"	"thee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"off"	"expect"	"the"	"expect_to"	"to_off"	"off_the"	"naturally_expect_to"	"expect_to_off"	"to_off_the"	"off_the_report"	"RB"	"VB"	"TO"	"VB"	"IN"	"DT"	"NN"	"appearance"	"at"	"captain"	"mast"	"be"	"a"	"very"	"unusual"	"thing"	"because"	"the"	"discipline"	"dispense"	"there"	"be"	"ordinarily"	"for"	"the"	"young"	"and"	"immature"	"and"	"a"	"chief"	"naturally"	"expect"	"to"	"off"	"the"	"report"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
