"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:21:00::"	"total"	","	"the"	"and"	"the_total"	"total_,"	",_and"	"of_the_total"	"the_total_,"	"total_,_and"	",_and_the"	"IN"	"DT"	"JJ"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"federal"	"assistance"	"is"	"limit"	"half"	"of"	"the"	"total"	"expenditure"	"and"	"the"	"state"	"or"	"local"	"district"	"must"	"pay"	"at_least"	"half"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"training"	"in"	"federal"	"recent"	"federal_training"	"training_in"	"in_recent"	"most_federal_training"	"federal_training_in"	"training_in_recent"	"in_recent_decade"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"national"	"defense"	"consideration"	"have"	"be"	"major"	"reason"	"behind"	"most"	"federal"	"training"	"expenditure"	"in"	"recent"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"and"	"for"	"enrollment"	"private"	"enrollment_and"	"and_for"	"for_private"	"of_enrollment_and"	"enrollment_and_for"	"and_for_private"	"for_private_vocational"	"IN"	"NN"	"CC"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"comparable"	"measure"	"available"	"of"	"enrollment"	"and"	"expenditure"	"for"	"private"	"vocational"	"education"	"training"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"farming"	"from"	"annual"	"probable"	"annual_farming"	"farming_from"	"from_probable"	"estimated_annual_farming"	"annual_farming_from"	"farming_from_probable"	"from_probable_gross"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"find"	"estimated"	"net"	"farm"	"subtract"	"estimated"	"annual"	"farming"	"expenditure"	"from"	"probable"	"gross"	"income"	"from"	"farming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"government"	"will"	"by"	"("	"by_government"	"government_will"	"will_("	"develop_by_government"	"by_government_will"	"government_will_("	"will_(_with"	"VB"	"IN"	"NN"	"NN"	"MD"	"ε"	"IN"	"within"	"the"	"united_states"	"contract"	"for"	"sponsor"	"cosponsor"	"or"	"authorize"	"under"	"authority"	"of_this"	"act"	"shall"	"be"	"provide"	"for"	"in"	"such"	"manner"	"that"	"all"	"information"	"use"	"product"	"process"	"patent"	"development"	"result"	"from"	"such"	"research"	"develop"	"by"	"government"	"will"	"with"	"such"	"exception"	"and"	"limitation"	"if"	"any"	"as"	"the"	"secretary_of_the_interior"	"may"	"find"	"to"	"be"	"necessary"	"in"	"the"	"interest"	"of"	"national"	"defense"	"be"	"available"	"to"	"the"	"general"	"public"	
"1:04:00::"	"daily"	"figure"	"average"	"of"	"average_daily"	"daily_figure"	"figure_of"	"an_average_daily"	"average_daily_figure"	"daily_figure_of"	"figure_of_$"	"DT"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"compute"	"the"	"cost"	"for"	"two"	"people"	"to"	"by"	"automobile"	"come_up"	"with"	"an"	"average"	"daily"	"expenditure"	"figure"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"for"	"of"	"the"	"of_the"	"the_for"	"for_the"	"%_of_the"	"of_the_for"	"the_for_the"	"for_the_department_of_defense"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"of"	"expenditure"	"for"	"the"	"department_of_defense"	"in"	"be"	"for"	"military_personnel"	"cost"	"include"	"pay"	"for"	"active"	"reserve"	"and"	"retired"	"military_personnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"-"	"for"	"∅"	"operate"	"∅_-"	"-_for"	"for_operate"	"∅_∅_-"	"∅_-_for"	"-_for_operate"	"for_operate_and"	"ε"	"ε"	"ε"	"NN"	"IN"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"operate"	"and"	"maintain"	"the"	"station"	"and"	"equipment"	"of"	"the"	"armed_forces"	"are"	"estimate"	"to"	"be"	"billion"	"in"	"which"	"be"	"million"	"more"	"than"	"in"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"for"	"of"	"the"	"of_the"	"the_for"	"for_the"	"%_of_the"	"of_the_for"	"the_for_the"	"for_the_department_of_defense"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"approximately"	"of"	"expenditure"	"for"	"the"	"department_of_defense"	"be"	"for"	"procurement"	"research"	"development"	"and"	"construction"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"state"	"on"	"match"	"a"	"match_state"	"state_on"	"on_a"	",_match_state"	"match_state_on"	"state_on_a"	"on_a_fifty-fifty"	"ε"	"VB"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"the"	"law"	"as"	"it"	"exist"	"until"	"the"	"federal_government"	"make"	"grant"	"the"	"state"	"on"	"the"	"basis"	"of"	"population"	"match"	"state"	"expenditure"	"on"	"a"	"fifty-fifty"	"basis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"these"	"go"	"of"	"for"	"of_these"	"these_go"	"go_for"	"portion_of_these"	"of_these_go"	"these_go_for"	"go_for_military"	"NN"	"IN"	"DT"	"NN"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"taxpayer"	"be"	"well"	"aware"	"of"	"the"	"vast"	"size"	"of"	"our"	"annual"	"defense"	"and"	"most"	"of"	"our"	"reader"	"also"	"realize"	"that"	"a"	"large"	"portion"	"of"	"these"	"expenditure"	"go"	"for"	"military"	"electronics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
