"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"
"4:02:00::"	"had"	"hear"	"he"	"so"	"he_had"	"had_hear"	"hear_so"	"∅_he_had"	"he_had_hear"	"had_hear_so"	"hear_so_many"	"ε"	"PRP"	"VBD"	"RB"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"never"	"hear"	"so"	"many"	"bell"	"and"	"as"	"he"	"lie"	"there"	"listen"	"he"	"think_of"	"her"	"scold"	"him"	"for"	"his"	"remark"	"when"	"he"	"had"	"look"	"up"	"at"	"the"	"obelisk"	"and"	"the"	"church"	"at"	"the"	"top"	"of"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"i"	"did"	","	"see"	",_i"	"i_did"	"did_see"	"no_,_i"	",_i_did"	"i_did_see"	"did_see_his"	"DT"	"ε"	"PRP"	"RB"	"VBD"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"never"	"did"	"see"	"his"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"able"	"person"	"to"	"person_be"	"be_able"	"able_to"	"and_person_be"	"person_be_able"	"be_able_to"	"able_to_get"	"CC"	"NNP"	"VB"	"RB"	"JJ"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"visibility"	"continue"	"to"	"be"	"and"	"person"	"be"	"never"	"able"	"to"	"get"	"above"	"a_thousand"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"will"	"know"	"you"	"what"	"you_will"	"will_know"	"know_what"	"and_you_will"	"you_will_know"	"will_know_what"	"know_what_you"	"CC"	"PRP"	"MD"	"RB"	"VB"	"WP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"distribution_cost"	"be"	"almost"	"bind"	"to"	"increase"	"the"	"sixties"	"and"	"you"	"will"	"never"	"know"	"what"	"you"	"can"	"do"	"to"	"control"	"them"	"unless"	"you"	"study"	"each"	"element"	"and"	"experiment"	"with"	"alternative"	"way"	"of"	"do"	"the"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"had"	"attempt"	"who"	"to"	"who_had"	"had_attempt"	"attempt_to"	",_who_had"	"who_had_attempt"	"had_attempt_to"	"attempt_to_restrain"	"ε"	"WP"	"VBD"	"RB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_englander"	"be"	"a_bit"	"sensitive"	"on"	"the"	"subject"	"of"	"their"	"complicity"	"in"	"negro"	"slavery"	"at"	"the"	"time"	"of"	"the"	"drafting"	"of"	"the"	"declaration_of_independence"	"as"	"person"	"explain"	"in"	"his"	"autobiography"	"the"	"clause"	"reprobate"	"the"	"enslaving"	"the"	"inhabitant"	"africa"	"was"	"strike_out"	"in"	"complaisance"	"to"	"south_carolina"	"and"	"who"	"had"	"never"	"attempt"	"to"	"restrain"	"the"	"importation"	"of"	"slave"	"and"	"who"	"on_the_contrary"	"still"	"wish"	"to"	"continue"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"'ve"	"been"	"i"	"able"	"i_'ve"	"'ve_been"	"been_able"	"but_i_'ve"	"i_'ve_been"	"'ve_been_able"	"been_able_to"	"CC"	"PRP"	"VBP"	"RB"	"VBN"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"been_after"	"her"	"for"	"years"	"person"	"say"	"i"	"never"	"been"	"able"	"to"	"get"	"anywhere"	"until"	"the"	"last"	"few"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"he"	"see"	"probably"	"a"	"probably_he"	"he_see"	"see_a"	"but_probably_he"	"probably_he_see"	"he_see_a"	"see_a_jew"	"CC"	"RB"	"PRP"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shakespeare"	"give"	"us"	"a"	"vivid"	"of"	"person"	"but"	"probably"	"he"	"never"	"see"	"a"	"jew"	"unless"	"in"	"some"	"of"	"his"	"travel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"can"	"be"	"know"	"complete"	"know_can"	"can_be"	"be_complete"	"he_know_can"	"know_can_be"	"can_be_complete"	"be_complete_,"	"PRP"	"VB"	"MD"	"RB"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meanwhile"	"he"	"has"	"been"	"think_about"	"the"	"fact"	"the"	"problem"	"fact"	"which"	"he"	"know"	"can"	"never"	"be"	"complete"	"and"	"the"	"general"	"background"	"much"	"of"	"which"	"has"	"already"	"be"	"lost"	"to"	"history"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"would"	"see"	"he"	"it"	"he_would"	"would_see"	"see_it"	"know_he_would"	"he_would_see"	"would_see_it"	"see_it_again"	"VB"	"PRP"	"MD"	"RB"	"VB"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"he"	"would"	"never"	"see"	"it"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"expect"	"him"	"her"	"him_,"	",_expect"	"expect_her"	"join_him_,"	"him_,_expect"	",_expect_her"	"expect_her_to"	"VB"	"PRP"	"ε"	"RB"	"VB"	"PRP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"fill_out"	"the"	"return"	"and"	"because"	"when"	"he"	"be"	"finished"	"it"	"was"	"close"	"the"	"lunch"	"hour"	"he"	"had"	"politely"	"ask"	"person"	"to"	"join"	"him"	"never"	"expect"	"her"	"to"	"accept"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
