"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"3:00:02::"	"the"	"humorist"	"of"	"already"	"of_the"	"the_humorist"	"humorist_already"	"one_of_the"	"of_the_humorist"	"the_humorist_already"	"humorist_already_mention"	"NN"	"IN"	"DT"	"JJ"	"NN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"the"	"early"	"humorist"	"already"	"mention"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"his"	"poetry"	"in"	"and"	"in_his"	"his_poetry"	"poetry_and"	"notice_in_his"	"in_his_poetry"	"his_poetry_and"	"poetry_and_carry_out"	"VB"	"IN"	"PRP$"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"carry_out"	"this"	"exalted"	"conception"	"the"	"author"	"has"	"combine"	"vivid"	"realism"	"and"	"imaginative"	"power"	"we"	"have"	"notice"	"in"	"his"	"early"	"poetry"	"and"	"carry_out"	"them"	"out"	"on"	"a"	"grand"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:past:00"	"about"	"figure"	"fiction"	"revere"	"fiction_about"	"about_figure"	"figure_revere"	"of_fiction_about"	"fiction_about_figure"	"about_figure_revere"	"figure_revere_in"	"IN"	"NN"	"IN"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"write"	"four"	"of"	"fiction"	"about"	"early"	"figure"	"revere"	"in"	"swedish"	"memory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"∅"	"in"	"∅"	"november"	"∅_∅"	"∅_in"	"in_november"	"∅_∅_∅"	"∅_∅_in"	"∅_in_november"	"in_november_the"	"ε"	"ε"	"ε"	"RB"	"IN"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"november"	"the"	"cloud"	"lift"	"enough"	"to"	"carry_out"	"the"	"assigned"	"mission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"from"	"plan"	"reduce"	"."	"reduce_from"	"from_plan"	"plan_."	"been_reduce_from"	"reduce_from_plan"	"from_plan_."	"plan_._∅"	"VBN"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"size"	"and"	"scope"	"of"	"program"	"have"	"been"	"reduce"	"from"	"early"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"and"	"20"	"th"	"th"	"th_and"	"and_20"	"20_th"	"19_th_and"	"th_and_20"	"and_20_th"	"20_th_century"	"JJ"	"DT"	"CC"	"JJ"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"carry_over"	"into"	"the"	"urbanized"	"late"	"th"	"and"	"early"	"th"	"century"	"when"	"the"	"man"	"rule"	"the"	"roost"	"in"	"the"	"best"	"bull_roaring"	"life_with_father"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"this"	"stage"	"at"	","	"at_this"	"this_stage"	"stage_,"	"even_at_this"	"at_this_stage"	"this_stage_,"	"stage_,_that"	"RB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thirty"	"year"	"experience"	"let"	"him"	"even"	"at"	"this"	"early"	"stage"	"that"	"person"	"be"	"his"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"dark"	","	"was"	"because"	"was_dark"	"dark_,"	",_because"	"it_was_dark"	"was_dark_,"	"dark_,_because"	",_because_of"	"PRP"	"VB"	"JJ"	"RB"	"ε"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"dark"	"early"	"because"	"of"	"the"	"storm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"an"	"date"	"at"	"."	"at_an"	"an_date"	"date_."	"side_at_an"	"at_an_date"	"an_date_."	"date_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"counsel"	"for"	"group"	"indicate"	"a"	"preference"	"for"	"the"	"of"	"detailed"	"plan"	"by"	"both"	"side"	"at"	"an"	"early"	"date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"∅"	"in"	"∅"	"june"	"∅_∅"	"∅_in"	"in_june"	"∅_∅_∅"	"∅_∅_in"	"∅_in_june"	"in_june_,"	"ε"	"ε"	"ε"	"RB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"june"	"the"	"discovery"	"pass"	"location"	"southern"	"greenland"	"and"	"in"	"mid-june"	"enter"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"stage"	"of"	"of"	"of_the"	"the_stage"	"stage_of"	")_of_the"	"of_the_stage"	"the_stage_of"	"stage_of_shipping_fever"	"ε"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"increase"	"rate"	"of"	"gain"	"and"	"improve"	"feed"	"efficiency"	"aid"	"in"	"prevention"	"or"	"treatment"	"depending_on"	"level"	"feed"	"of"	"the"	"early"	"stage"	"of"	"shipping_fever"	"prevent"	"or"	"treat"	"bacterial"	"diarrhea"	"and"	"aid"	"in"	"reduce"	"incidence"	"of"	"bloat"	"and"	"liver"	"abscess"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"nineteenth"	"of"	"century"	"of_the"	"the_nineteenth"	"nineteenth_century"	"watercolorist_of_the"	"of_the_nineteenth"	"the_nineteenth_century"	"nineteenth_century_,"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"essentially"	"a"	"landscape"	"painter"	"whose"	"style"	"and"	"have"	"a"	"kinship"	"with"	"the"	"english"	"watercolorist"	"of"	"the"	"early"	"nineteenth"	"century"	"especially"	"the"	"beautifully"	"pattern"	"art"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
