"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:39:00::"	"to"	"the"	"largely"	"old"	"largely_to"	"to_the"	"the_old"	"tend_largely_to"	"largely_to_the"	"to_the_old"	"the_old_way"	"VB"	"RB"	"TO"	"VB"	"DT"	"NNP"	"NN"	"in"	"his"	"vast"	"and"	"overpowering"	"saga"	"of"	"yoknapatawpha_county"	"the"	"gradual"	"changes"	"which"	"seep"	"into"	"the"	"south"	"building"	"layer"	"upon"	"layer"	"of"	"minute"	"subtle"	"innovation"	"which"	"eventually"	"tend"	"largely"	"to"	"the"	"old"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"."	"need"	"∅"	"need_to"	"to_."	"._∅"	"any_need_to"	"need_to_."	"to_._∅"	"._∅_∅"	"DT"	"NN"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"any"	"need"	"to"	"hide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"had_to"	"his"	"ekstrohm"	"secret"	"ekstrohm_had_to"	"had_to_his"	"his_secret"	"∅_ekstrohm_had_to"	"ekstrohm_had_to_his"	"had_to_his_secret"	"his_secret_."	"ε"	"NNP"	"VB"	"VB"	"PRP$"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had_to"	"hide"	"his"	"secret"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"the"	"shipboard"	"secret"	"shipboard_,"	",_the"	"the_secret"	"of_shipboard_,"	"shipboard_,_the"	",_the_secret"	"the_secret_be"	"IN"	"NN"	"ε"	"VB"	"DT"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"camp"	"of"	"shipboard"	"hide"	"the"	"secret"	"be"	"easier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"been"	"things"	"'ve"	"from"	"'ve_been"	"been_things"	"things_from"	"you_'ve_been"	"'ve_been_things"	"been_things_from"	"things_from_me"	"PRP"	"VBP"	"VBN"	"VB"	"NNS"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"hide"	"things"	"from"	"me"	"and"	"nogol"	"every"	"jump"	"we"	"make"	"with"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	","	"nothing"	"and"	"nothing_to"	"to_,"	",_and"	"have_nothing_to"	"nothing_to_,"	"to_,_and"	",_and_,"	"VB"	"NN"	"TO"	"VB"	"ε"	"CC"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"had"	"assume"	"that"	"at_least"	"local"	"legislative"	"body"	"have"	"nothing"	"to"	"hide"	"and"	"therefore"	"have"	"no"	"objections"	"to"	"make"	"the"	"deliberations"	"of"	"its"	"committees"	"and"	"the"	"city"	"commissions"	"available"	"to"	"the"	"public"	
"2:39:00::"	"never"	"the"	"she"	"fact"	"she_never"	"never_the"	"the_fact"	"∅_she_never"	"she_never_the"	"never_the_fact"	"the_fact_that"	"ε"	"PRP"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"never"	"hide"	"the"	"fact"	"that"	"she"	"like"	"to"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"find"	"in"	"codes"	"cigaret"	"codes_find"	"find_in"	"in_cigaret"	"on_codes_find"	"codes_find_in"	"find_in_cigaret"	"in_cigaret_lighters"	"IN"	"NNS"	"VB"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"six"	"radiomen"	"tell"	"how"	"twice"	"on"	"two"	"days"	"after"	"the"	"ring"	"was"	"nab"	"a"	"transmitter"	"near"	"moscow"	"was"	"hear"	"call"	"use"	"signals"	"times"	"and"	"wavelengths"	"specify"	"on"	"find"	"hide"	"in"	"cigaret"	"lighters"	"in"	"lonsdale"	"apartment"	"and"	"the"	"krogers"	"house"	"and"	"also"	"fasten"	"to"	"the"	"transmitter"	"lid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:05:00::"	"damage"	"and"	"which"	"can"	"which_damage"	"damage_and"	"and_can"	"grub_which_damage"	"which_damage_and"	"damage_and_can"	"and_can_reduce"	"NN"	"WDT"	"VB"	"NN"	"CC"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"effectively"	"control"	"grub"	"which"	"damage"	"hide"	"and"	"can"	"reduce"	"gain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	","	"show"	"arrest"	"show_the"	"the_,"	",_arrest"	"not_show_the"	"show_the_,"	"the_,_arrest"	",_arrest_him"	"RB"	"VB"	"DT"	"NN"	"ε"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"discover"	"a"	"beef"	"in"	"his"	"a_few"	"earlier"	"and"	"when"	"he"	"could"	"not"	"show"	"the"	"hide"	"arrest"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
