"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"
"2:41:00::"	"be"	"by"	"will"	"the"	"will_be"	"be_by"	"by_the"	"high_schools_will_be"	"will_be_by"	"be_by_the"	"by_the_dallas"	"NN"	"MD"	"VB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"top"	"students"	"from"	"participating"	"high_schools"	"will"	"be"	"honor"	"by"	"the"	"dallas"	"sales"	"executives"	"club"	"at"	"a"	"banquet"	"at"	"p."	"m._tuesday"	"in"	"the"	"sam_houston_room"	"of"	"the"	"sheraton-dallas_hotel"	"as"	"the"	"club"	"wind_up"	"its"	"annual"	"distributive_education"	"project"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"33"	"students"	"the"	"be"	"the_33"	"33_students"	"students_be"	"∅_the_33"	"the_33_students"	"33_students_be"	"students_be_:"	"ε"	"DT"	"CD"	"VB"	"NNS"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"honor"	"students"	"be"	"mike_trigg"	"raymond_arrington"	"and"	"ronald_kaminsky"	"of"	"bryan_adams"	"janice_whitney"	"fil_terral"	"and"	"carl_david_page"	"of"	"w._h._adamson"	"bill_burke"	"tommie_freeman"	"and"	"lawrence_paschall"	"of"	"n._r._crozier_tech._paulah_thompson"	"gerald_kestner"	"and"	"nancy_stephenson"	"of"	"hillcrest"	"arnold_hayes"	"mary_ann_shay"	"and"	"lloyd_satterfield"	"of"	"thomas_jefferson"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"walkers"	"mrs._mcconnell"	"the"	"'s"	"the_walkers"	"walkers_mrs._mcconnell"	"mrs._mcconnell_'s"	"of_the_walkers"	"the_walkers_mrs._mcconnell"	"walkers_mrs._mcconnell_'s"	"mrs._mcconnell_'s_debutante"	"IN"	"DT"	"NNPS"	"VB"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"mrs._richard_b._mcconnell"	"and"	"their"	"son-in-law"	"and"	"daughter"	"mr."	"and"	"mrs._raymond_b._walker"	"will"	"be"	"this"	"tuesday"	"evening"	"at"	"dinner"	"at"	"the"	"state_st."	"home"	"of"	"the"	"walkers"	"honor"	"mrs._mcconnell"	"debutante"	"niece"	"miss_barbara_williams"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"communists"	"the"	"the"	"distinction"	"the_communists"	"communists_the"	"the_distinction"	"for_some_time_the_communists"	"the_communists_the"	"communists_the_distinction"	"the_distinction_between"	"RB"	"DT"	"NNPS"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for_some_time"	"communists"	"honor"	"the"	"distinction"	"between"	"the"	"soviet"	"zone"	"of"	"germany"	"and"	"the"	"soviet"	"sector"	"of"	"berlin"	"by"	"promulgate"	"the"	"laws"	"for"	"the"	"two"	"areas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"dinner"	"sen._wayne_l._morse"	"a-plate"	","	"a-plate_dinner"	"dinner_sen._wayne_l._morse"	"sen._wayne_l._morse_,"	"-_a-plate_dinner"	"a-plate_dinner_sen._wayne_l._morse"	"dinner_sen._wayne_l._morse_,"	"sen._wayne_l._morse_,_d-ore."	"ε"	"JJ"	"NN"	"VB"	"NNP"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secretary"	"of"	"labor_arthur_goldberg"	"will"	"speak"	"sunday"	"night"	"at"	"masonic_temple"	"at"	"a"	"a-plate"	"dinner"	"honor"	"sen._wayne_l._morse"	"d-ore."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"will"	"italian"	"luise"	"consul"	"luise_will"	"will_italian"	"italian_consul"	"de_luise_will"	"luise_will_italian"	"will_italian_consul"	"italian_consul_and"	"FW"	"NNP"	"MD"	"VB"	"JJ"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"de"	"luise"	"will"	"honor"	"italian"	"consul"	"and"	"mrs._emilio_bassi"	"at"	"a"	"cocktail_party"	"tuesday"	"may"	"from"	"to"	"p."	"m."	"in"	"their"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"men"	"opportunity"	"of"	"opportunity_to"	"to_men"	"men_of"	"an_opportunity_to"	"opportunity_to_men"	"to_men_of"	"men_of_the"	"DT"	"NN"	"TO"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"purpose"	"of"	"armed_forces"	"to"	"give"	"americans"	"an"	"opportunity"	"to"	"honor"	"men"	"of"	"the"	"armed_forces"	"those"	"who"	"have"	"make"	"the"	"supreme"	"sacrifice"	"those"	"who"	"remain"	"to"	"preserve"	"our"	"security"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"signally"	"in"	"been"	"the"	"been_signally"	"signally_in"	"in_the"	"have_been_signally"	"been_signally_in"	"signally_in_the"	"in_the_privilege"	"VBP"	"VBN"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sam_rayburn"	"be"	"one"	"of"	"the"	"greatest"	"american"	"public"	"figures"	"in"	"the"	"of"	"our"	"country"	"and"	"i"	"consider"	"that"	"i"	"have"	"been"	"signally"	"honor"	"in"	"the"	"privilege"	"of"	"know"	"sam_rayburn"	"and"	"share"	"with"	"him"	"the"	"rights"	"and"	"obligations"	"of"	"a"	"member"	"of"	"the"	"house_of_representatives"	"in"	"the"	"congress"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"for"	"will"	"the"	"will_be"	"be_for"	"for_the"	",_will_be"	"will_be_for"	"be_for_the"	"for_the_high"	"ε"	"MD"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"greer_garson"	"world-famous"	"star"	"of"	"stage"	"and"	"television"	"will"	"be"	"honor"	"for"	"the"	"high"	"standard"	"in"	"tasteful"	"sophisticated"	"fashion"	"with"	"which"	"she"	"has"	"create"	"a"	"high"	"standard"	"in"	"her"	"profession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"is"	"at"	"mule"	"benson"	"mule_is"	"is_at"	"at_benson"	"the_mule_is"	"mule_is_at"	"is_at_benson"	"at_benson_,"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"is"	"honor"	"at"	"benson"	"n._c."	"sept."	"and"	"at"	"boron"	"calif."	"sept."	"oct."	"while"	"the"	"legend"	"of"	"the"	"maid"	"of"	"the"	"mist"	"is"	"celebrate"	"at"	"niagara_falls"	"through"	"the"	"th"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
