"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:41:00::"	"to"	"a"	"plan"	"committee"	"plan_to"	"to_a"	"a_committee"	"he_plan_to"	"plan_to_a"	"to_a_committee"	"a_committee_to"	"PRP"	"VB"	"TO"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"governor_notte"	"say"	"last"	"he"	"plan"	"to"	"name"	"a"	"committee"	"to"	"make"	"the"	"study"	"and"	"come_up"	"with"	"recommendations"	"for"	"changes"	"in_time"	"for"	"the"	"next"	"session"	"of"	"the"	"general_assembly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"and"	"it"	"settlement"	"after"	"settlement_and"	"and_it"	"it_after"	"the_settlement_and"	"settlement_and_it"	"and_it_after"	"it_after_himself"	"DT"	"NN"	"CC"	"VB"	"PRP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"found"	"in"	"the"	"ninth_century_b._c."	"it"	"was_called"	"byzantium"	"years"	"later"	"when"	"ruler"	"of"	"the"	"megarians"	"expand"	"the"	"settlement"	"and"	"name"	"it"	"after"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	","	"the"	"say"	"man"	"say_,"	",_the"	"the_man"	"he_say_,"	"say_,_the"	",_the_man"	"the_man_rankin"	"PRP"	"VB"	"ε"	"VB"	"DT"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"curtiss"	"he"	"say"	"the"	"man"	"rankin"	"had"	"hit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"dish"	"after"	"oyster"	"its"	"oyster_dish"	"dish_after"	"after_its"	"an_oyster_dish"	"oyster_dish_after"	"dish_after_its"	"after_its_manager"	"DT"	"NN"	"NN"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"the"	"palace_hotel"	"begin"	"an"	"oyster"	"dish"	"name"	"after"	"its"	"manager"	"john_c._kirkpatrick"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"omelet"	"for"	"the"	"ernest_arbogast"	"the_omelet"	"omelet_for"	"for_ernest_arbogast"	"∅_the_omelet"	"the_omelet_for"	"omelet_for_ernest_arbogast"	"for_ernest_arbogast_,"	"ε"	"DT"	"NN"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"omelet"	"name"	"for"	"ernest_arbogast"	"the"	"palace"	"chef"	"be"	"even"	"more"	"in_demand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"earlier"	"attorney_general"	","	"to"	",_earlier"	"earlier_attorney_general"	"attorney_general_to"	"thomas_b._finan_,_earlier"	",_earlier_attorney_general"	"earlier_attorney_general_to"	"attorney_general_to_succeed"	"NNP"	"ε"	"RBR"	"VB"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._simpkins"	"will"	"move_into"	"the"	"vacate"	"by"	"thomas_b._finan"	"earlier"	"name"	"attorney_general"	"to"	"succeed"	"c._ferdinand_sybert"	"who"	"will"	"be"	"elevate"	"to"	"an"	"associate"	"judgeship"	"on"	"the"	"maryland"	"court_of_appeals"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"his"	"efforts"	"own"	"efforts_to"	"to_his"	"his_own"	"'s_efforts_to"	"efforts_to_his"	"to_his_own"	"his_own_running_mates"	"POS"	"NNS"	"TO"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"resentment"	"among"	"democratic"	"organization"	"leaders"	"to"	"the"	"reported"	"plan"	"was"	"direct"	"particularly"	"at"	"the"	"mayor"	"efforts"	"to"	"name"	"his"	"own"	"running_mates"	"without"	"consult"	"the"	"leaders"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	","	"for"	"pennsylvania_avenue"	"one"	"pennsylvania_avenue_,"	",_for"	"for_one"	"∅_pennsylvania_avenue_,"	"pennsylvania_avenue_,_for"	",_for_one"	"for_one_of"	"ε"	"NNP"	"ε"	"VB"	"IN"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"name"	"for"	"one"	"of"	"the"	"original"	"states"	"perhaps"	"be"	"not"	"the_most"	"impressive"	"street"	"in"	"the"	"district_of_columbia"	"from"	"a"	"commercial"	"standpoint"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"you"	"him"	"n't"	"jesus_christ"	"n't_you"	"you_him"	"him_jesus_christ"	"do_n't_you"	"n't_you_him"	"you_him_jesus_christ"	"him_jesus_christ_!"	"VBP"	"RB"	"PRP"	"VB"	"PRP"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"why"	"do"	"you"	"name"	"him"	"jesus_christ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"one"	"``"	"find"	"dorothy_tredding"	"find_one"	"one_``"	"``_dorothy_tredding"	"to_find_one"	"find_one_``"	"one_``_dorothy_tredding"	"``_dorothy_tredding_''"	"TO"	"VB"	"CD"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"church"	"graveyard"	"be"	"smaller"	"than"	"she"	"remember"	"them"	"how"	"many"	"things"	"had"	"lessen"	"while"	"she"	"be"	"gone"	"but"	"the"	"headstones"	"had"	"grow"	"so"	"thick"	"in"	"thirty"	"years"	"that"	"to"	"find"	"one"	"name"	"dorothy_tredding"	"seem"	"suddenly"	"impossible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
