"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:40:00::"	"be"	"to"	"will"	"gulf_coast"	"will_be"	"be_to"	"to_gulf_coast"	"guests_will_be"	"will_be_to"	"be_to_gulf_coast"	"to_gulf_coast_scenic"	"NNS"	"MD"	"VB"	"VB"	"VB"	"NNP"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"guests"	"be"	"treat"	"to"	"gulf_coast"	"scenic"	"effects"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"these"	"writers"	"changes"	"writers_to"	"to_these"	"these_changes"	"the_writers_to"	"writers_to_these"	"to_these_changes"	"these_changes_?"	"DT"	"NNS"	"TO"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"be"	"writers"	"to"	"treat"	"these"	"changes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"as_such"	"must"	"without"	"must_be"	"be_as_such"	"as_such_without"	"and_must_be"	"must_be_as_such"	"be_as_such_without"	"as_such_without_regard_to"	"CC"	"MD"	"VB"	"VB"	"RB"	"IN"	"NN"	"greatest"	"achievement"	"be"	"perhaps"	"the"	"rekindling"	"of"	"nato"	"realization"	"that"	"east-west"	"friction"	"wherever"	"it"	"take_place"	"around"	"the"	"globe"	"be"	"in_essence"	"the"	"general"	"conflict"	"between"	"two"	"entirely"	"different"	"societies"	"and"	"must"	"be"	"as_such"	"without"	"regard_to"	"geographical"	"distance"	"or"	"lack"	"of"	"apparent"	"connection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"mother"	"them"	"their"	"."	"their_mother"	"mother_them"	"them_."	"way_their_mother"	"their_mother_them"	"mother_them_."	"them_._∅"	"NN"	"PRP$"	"NN"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"do"	"n't"	"believe"	"that"	"autistic"	"children"	"become"	"autistic"	"because"	"of"	"that"	"happen"	"to"	"them"	"or"	"because"	"of"	"the"	"way"	"their"	"mother"	"treat"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"daniel"	"try"	"as"	"try_to"	"to_daniel"	"daniel_as"	"i_try_to"	"try_to_daniel"	"to_daniel_as"	"daniel_as_if"	"PRP"	"VB"	"TO"	"VB"	"NNP"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"to"	"treat"	"daniel"	"as"	"if"	"he"	"be"	"normal"	"though"	"of_course"	"i"	"realize"	"he"	"be"	"far"	"from_that"	"at_present"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"been"	"on"	"had"	"the"	"had_been"	"been_on"	"on_the"	"we_had_been"	"had_been_on"	"been_on_the"	"on_the_previous"	"PRP"	"VBD"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concerto"	"soloist"	"hans_richter-haaser"	"play"	"with"	"compensatory"	"ease"	"and"	"economy"	"though"	"the"	"consummate"	"plasticity"	"to_which"	"we"	"had"	"been"	"treat"	"on"	"the"	"previous"	"evening"	"by"	"herr_riefling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"was"	"for"	","	"cuts"	",_was"	"was_for"	"for_cuts"	"street_,_was"	",_was_for"	"was_for_cuts"	"for_cuts_at"	"NN"	"ε"	"VBD"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"victim"	"norman_b._wiley"	"of"	"the"	"block"	"north_charles"	"was"	"treat"	"for"	"cuts"	"at"	"franklin_square_hospital"	"after"	"the"	"robbery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"were"	"at"	"whom"	"grady_hospital"	"whom_were"	"were_at"	"at_grady_hospital"	"of_whom_were"	"whom_were_at"	"were_at_grady_hospital"	"at_grady_hospital_for"	"IN"	"WP"	"VBD"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"occupants"	"be"	"james_willard_olvey"	"of"	"ponce"	"de"	"leon_ave."	"ne"	"and"	"larry_coleman_barnett"	"of"	"hill_st."	"se"	"both"	"of"	"whom"	"were"	"at"	"grady_hospital"	"for"	"severe"	"lacerations"	"and"	"bruises"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"132000"	"-"	"acres"	"-_to"	"to_132000"	"132000_acres"	"bulloch_-_to"	"-_to_132000"	"to_132000_acres"	"132000_acres_infest"	"NNP"	"ε"	"TO"	"VB"	"CD"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"department"	"is"	"plan"	"to"	"expand"	"its"	"eradication"	"program"	"soon"	"to"	"additional"	"counties"	"troup"	"pierce"	"bryan"	"and"	"bulloch"	"to"	"treat"	"acres"	"infest"	"by"	"the"	"ants"	"accord"	"to"	"w._e._blasingame"	"state"	"entomologist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"being"	"be"	"also"	"houston"	"also_being"	"being_be"	"be_houston"	"∅_also_being"	"also_being_be"	"being_be_houston"	"be_houston_,"	"ε"	"RB"	"VBG"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"being"	"treat"	"be"	"houston"	"bleckley"	"tift"	"turner"	"and"	"dodge"	"counties"	"blasingame"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
