"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"4:02:00::"	"so"	"deserved"	"be"	"''"	"be_so"	"so_deserved"	"deserved_''"	"it_be_so"	"be_so_deserved"	"so_deserved_''"	"deserved_''_,"	"PRP"	"VB"	"RB"	"RB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"it"	"be"	"all"	"the"	"tragic"	"because"	"it"	"be"	"so"	"little"	"deserved"	"say"	"person"	"a"	"belgian"	"official"	"of"	"the"	"group"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"be"	"doubt"	"there"	"that"	"there_be"	"be_doubt"	"doubt_that"	"∅_there_be"	"there_be_doubt"	"be_doubt_that"	"doubt_that_the"	"ε"	"EX"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"little"	"doubt"	"that"	"the"	"student"	"benefit"	"from"	"vocational"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"be"	"tangible"	"there"	"evidence"	"there_be"	"be_tangible"	"tangible_evidence"	",_there_be"	"there_be_tangible"	"be_tangible_evidence"	"tangible_evidence_that"	"ε"	"EX"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"u.s."	"department_of_labor"	"have"	"a"	"program"	"of"	"project"	"industry"	"occupational"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"quiet"	"suburb"	"a"	"by"	"a_quiet"	"quiet_suburb"	"suburb_by"	"be_a_quiet"	"a_quiet_suburb"	"quiet_suburb_by"	"suburb_by_the"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"ireland"	"location"	"near"	"the"	"location"	"be"	"a"	"quiet"	"little"	"suburb"	"by"	"the"	"name"	"of"	"location"	"which"	"mean"	"garden"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"comparatively"	"land"	"take"	","	"take_comparatively"	"comparatively_land"	"land_,"	"can_take_comparatively"	"take_comparatively_land"	"comparatively_land_,"	"land_,_labor"	"MD"	"VB"	"RB"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farming"	"take"	"comparatively"	"little"	"land"	"labor"	"and"	"equipment"	"or"	"a"	"great_deal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"a"	"imagination"	"find"	"helpful"	"find_a"	"a_imagination"	"imagination_helpful"	"company_find_a"	"find_a_imagination"	"a_imagination_helpful"	"imagination_helpful_."	"NN"	"VB"	"RB"	"JJ"	"NN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"find"	"a"	"little"	"imagination"	"helpful"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"have"	"or"	"program"	"no"	"program_have"	"have_or"	"or_no"	"school_program_have"	"program_have_or"	"have_or_no"	"or_no_relationship"	"NN"	"NN"	"VB"	"RB"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outdoor_education_project"	"take"	"cognizance"	"of"	"the"	"fact"	"so"	"often"	"overlooked"	"athletic"	"activity"	"stress"	"in"	"most"	"school"	"program"	"have"	"little"	"or"	"no"	"relationship"	"to"	"the"	"physical"	"and"	"mental"	"need"	"and"	"interest"	"of"	"later"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"seem"	"chance"	"there"	"of"	"there_seem"	"seem_chance"	"chance_of"	"where_there_seem"	"there_seem_chance"	"seem_chance_of"	"chance_of_agreement"	"WRB"	"EX"	"VB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"be"	"a"	"difference"	"theological"	"belief"	"where"	"there"	"seem"	"little"	"chance"	"of"	"agreement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"have"	"correspondence"	"it"	"with"	"it_have"	"have_correspondence"	"correspondence_with"	"when_it_have"	"it_have_correspondence"	"have_correspondence_with"	"correspondence_with_the"	"WRB"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"tumultuous"	"painful"	"and"	"costly"	"experience"	"show"	"clearly"	"that"	"a"	"express"	"a"	"moral"	"judgment"	"cannot"	"be"	"enforce"	"when"	"it"	"have"	"little"	"correspondence"	"with"	"the"	"general"	"view"	"of"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:minor:06"	"to"	"thing"	"pay_attention"	"."	"pay_attention_to"	"to_thing"	"thing_."	"could_pay_attention_to"	"pay_attention_to_thing"	"to_thing_."	"thing_._∅"	"MD"	"VB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"further"	"i"	"would"	"hope"	"we"	"could"	"pay_attention"	"to"	"little"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
