"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"2:32:00::"	"he"	"curiously"	"?"	"."	"?_he"	"he_curiously"	"curiously_."	"''_?_he"	"?_he_curiously"	"he_curiously_."	"curiously_._∅"	"ε"	"ε"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"did"	"you"	"get_by"	"desk"	"he"	"ask"	"curiously"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"she"	"."	"?"	"∅"	"?_she"	"she_."	"._∅"	"''_?_she"	"?_she_."	"she_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"really"	"in"	"a"	"hurry"	"she"	"ask"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"judge_parsons"	"when"	"to"	"when_he"	"he_judge_parsons"	"judge_parsons_to"	"disclosure_when_he"	"when_he_judge_parsons"	"he_judge_parsons_to"	"judge_parsons_to_grant"	"NN"	"WRB"	"PRP"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bellows"	"make"	"disclosure"	"when"	"he"	"ask"	"judge_parsons"	"to"	"grant"	"his"	"client"	"alan_clements"	"a"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"∅"	"to"	"∅"	"elaborate"	"∅_∅"	"∅_to"	"to_elaborate"	"∅_∅_∅"	"∅_∅_to"	"∅_to_elaborate"	"to_elaborate_,"	"ε"	"ε"	"ε"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"elaborate"	"pierre_salinger"	"white_house"	"press"	"secretary"	"reply"	"i"	"would"	"say"	"it"	"got"	"to"	"go"	"thru"	"several"	"more"	"drafts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"will"	"congress"	"he"	"to"	"he_will"	"will_congress"	"congress_to"	"say_he_will"	"he_will_congress"	"will_congress_to"	"congress_to_increase"	"VB"	"PRP"	"MD"	"VB"	"NNP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"he"	"will"	"ask"	"congress"	"to"	"increase"	"grants"	"to"	"states"	"for"	"vocational"	"rehabilitation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"a"	"research"	"20"	"research_he"	"he_a"	"a_20"	"medical_research_he"	"research_he_a"	"he_a_20"	"a_20_million"	"JJ"	"NN"	"PRP"	"VB"	"DT"	"CD"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"research"	"he"	"ask"	"a"	"million"	"dollar"	"a"	"year"	"increase"	"from"	"to"	"millions"	"in"	"matching"	"grants"	"for"	"build"	"research"	"facilities"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"∅"	"each"	"∅"	"member"	"∅_∅"	"∅_each"	"each_member"	"∅_∅_∅"	"∅_∅_each"	"∅_each_member"	"each_member_to"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"member"	"to"	"write"	"a"	"statement"	"on"	"such"	"topics"	"as"	"what"	"christ"	"mean"	"to"	"me"	"what"	"the"	"church"	"mean"	"to"	"me"	"why"	"join"	"the"	"church"	"the"	"duties"	"of"	"church_members"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"∅"	"each"	"∅"	"new"	"∅_∅"	"∅_each"	"each_new"	"∅_∅_∅"	"∅_∅_each"	"∅_each_new"	"each_new_member"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"new"	"member"	"to"	"bring"	"his"	"pledge"	"of"	"loyalty"	"to"	"the"	"reception"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"∅"	"the"	"∅"	"new"	"∅_∅"	"∅_the"	"the_new"	"∅_∅_∅"	"∅_∅_the"	"∅_the_new"	"the_new_members"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new"	"members"	"to"	"meet"	"thirty"	"minutes"	"before"	"the"	"service"	"to"	"complete"	"talent"	"sheets"	"and"	"pledge"	"cards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"him"	"congregation"	"to"	"congregation_,"	",_him"	"him_to"	"the_congregation_,"	"congregation_,_him"	",_him_to"	"him_to_face"	"DT"	"NN"	"ε"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"introduce"	"each"	"new"	"to"	"the"	"congregation"	"ask"	"him"	"to"	"face"	"the"	"congregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
