"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"2:35:03::"	"responsibility"	"in"	"internal"	"a"	"internal_responsibility"	"responsibility_in"	"in_a"	"of_internal_responsibility"	"internal_responsibility_in"	"responsibility_in_a"	"in_a_nation"	"IN"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"a"	"concept"	"analogous"	"the"	"principle"	"of"	"internal"	"responsibility"	"operate"	"in"	"a"	"nation"	"external"	"relations"	"be"	"less"	"obvious"	"and"	"more"	"difficult"	"to"	"establish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"the"	"own"	"institution"	"own_and"	"and_the"	"the_institution"	"that_own_and"	"own_and_the"	"and_the_institution"	"the_institution_and"	"IN"	"VB"	"CC"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"second"	"reason"	"for"	"be"	"concerned"	"with"	"the"	"dichotomy"	"between"	"who"	"be"	"part"	"of"	"the"	"in-group"	"that"	"own"	"and"	"operate"	"the"	"institution"	"and"	"those"	"who"	"be"	"merely"	"paid"	"employees"	"be"	"therefore"	"the"	"baneful"	"effect"	"on"	"the"	"caliber"	"of"	"the"	"teaching"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	","	"between"	"memorial_parkway"	"downtown"	"memorial_parkway_,"	",_between"	"between_downtown"	"george_washington_memorial_parkway_,"	"memorial_parkway_,_between"	",_between_downtown"	"between_downtown_washington"	"NN"	"NNP"	"ε"	"VB"	"IN"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"high-speed"	"buses"	"on"	"george_washington"	"memorial_parkway"	"operate"	"between"	"downtown"	"washington"	"and"	"cabin_john"	"glen_echo"	"and"	"brookmont"	"would"	"constitute"	"an"	"alluring"	"sample"	"of_what"	"the"	"new"	"national_capital"	"transportation_agency"	"can"	"do"	"for"	"this"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"states"	"a"	"twenty-six"	"central"	"twenty-six_states"	"states_a"	"a_central"	"∅_twenty-six_states"	"twenty-six_states_a"	"states_a_central"	"a_central_motor_pool"	"ε"	"JJ"	"NNS"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"states"	"operate"	"a"	"central"	"motor_pool"	"for"	"acquisition"	"allocation"	"and"	"or"	"maintenance"	"of"	"state-owned"	"vehicles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"troops"	"in"	"the"	"the"	"the_troops"	"troops_in"	"in_the"	"to_the_troops"	"the_troops_in"	"troops_in_the"	"in_the_interior"	"TO"	"DT"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"war"	"it"	"be"	"in"	"constant"	"use"	"by"	"the"	"transport"	"supplies"	"from"	"the"	"railhead"	"at"	"grafton"	"to"	"the"	"troops"	"operate"	"in"	"the"	"interior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"o."	"."	"+"	"∅"	"+_o."	"o._."	"._∅"	"b._+_o."	"+_o._."	"o._._∅"	"._∅_∅"	"NNP"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reduction"	"in"	"expenses"	"will"	"affect"	"employees"	"the"	"thirteen"	"states"	"in_which"	"the"	"b."	"o."	"operate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"to"	"accord"	"continue"	"to"	"continue_to"	"to_accord"	"accord_to"	"not_continue_to"	"continue_to_accord"	"to_accord_to"	"accord_to_its"	"RB"	"VB"	"TO"	"VB"	"VB"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"emory"	"could"	"continue"	"to"	"operate"	"accord"	"to"	"its"	"present"	"standards"	"as"	"an"	"institution"	"of"	"higher"	"learning"	"of"	"true"	"university"	"grade"	"and"	"meet"	"its"	"financial_obligations"	"without"	"the"	"tax-exemption"	"privileges"	"which"	"are"	"available"	"to_it"	"only"	"so_long"	"as"	"it"	"conform_to"	"the"	"aforementioned"	"constitutional"	"and"	"statutory"	"provisions"	"the"	"statement"	"say"	
"2:35:00::"	"who"	"the"	"man"	"helm"	"man_who"	"who_the"	"the_helm"	"the_man_who"	"man_who_the"	"who_the_helm"	"the_helm_of"	"DT"	"NN"	"WP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"is"	"largely"	"because"	"of"	"unpredictability"	"of"	"the"	"man"	"who"	"operate"	"the"	"helm"	"of"	"the"	"state_government"	"and"	"be"	"the"	"elected"	"leader"	"of"	"its"	"two"	"million"	"inhabitants"	"gov._ross_barnett"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"trains"	"within"	"all"	"a"	"all_trains"	"trains_within"	"within_a"	"suppress_all_trains"	"all_trains_within"	"trains_within_a"	"within_a_specified"	"VB"	"DT"	"NNS"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"aircraft"	"with"	"a"	"load"	"of"	"small"	"nuclear_weapons"	"could"	"conceivably"	"be"	"give"	"a"	"mission"	"to"	"suppress"	"all"	"trains"	"operate"	"within"	"a"	"specified"	"geographic_area"	"of"	"russia"	"provide"	"that"	"we"	"had"	"use"	"some"	"of"	"our"	"icbms"	"to"	"degrade"	"russia"	"air_defenses"	"before"	"our"	"bombers"	"get"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"who"	"apartment"	"members"	"houses"	"members_who"	"who_apartment"	"apartment_houses"	"association_members_who"	"members_who_apartment"	"who_apartment_houses"	"apartment_houses_."	"NN"	"NNS"	"WP"	"VB"	"NN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"increase"	"also"	"was"	"oppose"	"by"	"leonard_kaplan"	"spokesman"	"for"	"the"	"home"	"association"	"of"	"philadelphia"	"on"	"behalf"	"of"	"association"	"members"	"who"	"operate"	"apartment"	"houses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
