"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"1:17:00::"	"on"	","	"everywhere"	"not"	"everywhere_on"	"on_,"	",_not"	"and_everywhere_on"	"everywhere_on_,"	"on_,_not"	",_not_merely"	"CC"	"RB"	"RB"	"NN"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"already"	"commit"	"to"	"establish"	"supremacy"	"over"	"nature"	"and"	"everywhere"	"on"	"earth"	"not"	"merely"	"in"	"the"	"limited"	"social"	"political"	"economical"	"context"	"we"	"be"	"fond"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:01::"	"the"	"'s"	"about"	"interior"	"about_the"	"the_'s"	"'s_interior"	"know_about_the"	"about_the_'s"	"the_'s_interior"	"'s_interior_,"	"VB"	"IN"	"DT"	"NN"	"POS"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"have"	"learn"	"from"	"earthquake"	"of_what"	"we"	"now"	"know"	"about"	"the"	"earth"	"interior"	"for"	"they"	"send"	"wave"	"through"	"the"	"earth"	"which"	"emerge"	"with"	"information"	"about"	"the"	"material"	"through"	"which"	"they"	"have"	"travel"	
"1:17:01::"	"the"	"which"	"through"	"emerge"	"through_the"	"the_which"	"which_emerge"	"wave_through_the"	"through_the_which"	"the_which_emerge"	"which_emerge_with"	"NN"	"IN"	"DT"	"NN"	"WDT"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"have"	"learn"	"from"	"earthquake"	"much"	"of_what"	"we"	"now"	"know"	"the"	"earth"	"interior"	"for"	"they"	"send"	"wave"	"through"	"the"	"earth"	"which"	"emerge"	"with"	"information"	"about"	"the"	"material"	"through"	"which"	"they"	"have"	"travel"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"of"	","	"clod"	"expose"	"clod_of"	"of_,"	",_expose"	"turn_clod_of"	"clod_of_,"	"of_,_expose"	",_expose_to"	"VB"	"NN"	"IN"	"NN"	"ε"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"nine"	"o'clock"	"in"	"the"	"morning"	"the"	"which"	"like"	"a"	"spade"	"turn"	"clod"	"of"	"earth"	"expose"	"to"	"the"	"day"	"a"	"myriad"	"of"	"busy"	"creature"	"that"	"had"	"lie_dormant"	"in"	"the"	"quiet"	"night"	"0"	"0"	"0"	
"1:27:00::"	"with"	"."	"covered"	"∅"	"covered_with"	"with_."	"._∅"	"timber_covered_with"	"covered_with_."	"with_._∅"	"._∅_∅"	"NN"	"JJ"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bombproof"	"be"	"a"	"low-ceilinged"	"of"	"heavy"	"timber"	"covered"	"with"	"earth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"of"	":"	"rest"	"iceland"	"rest_of"	"of_:"	":_iceland"	"the_rest_of"	"rest_of_:"	"of_:_iceland"	":_iceland_,"	"DT"	"NN"	"IN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"see"	"in"	"mind"	"the"	"rest"	"of"	"earth"	"iceland"	"greenland"	"the"	"caribbean_island"	"and"	"the"	"eastern"	"half"	"of"	"south_america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"of"	"rotate"	"side"	"into"	"side_of"	"of_rotate"	"rotate_into"	"that_side_of"	"side_of_rotate"	"of_rotate_into"	"rotate_into_the"	"IN"	"NN"	"IN"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"know"	"that"	"that"	"side"	"of"	"earth"	"rotate"	"into"	"the"	"night"	"zone"	"location"	"would"	"blaze_out"	"into"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"from"	","	"distance"	"but"	"distance_from"	"from_,"	",_but"	"or_distance_from"	"distance_from_,"	"from_,_but"	",_but_be"	"CC"	"NN"	"IN"	"NN"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"unscientific"	"friend"	"does"	"not"	"believe"	"that"	"human"	"stature"	"be"	"in_terms_of"	"speed"	"momentum"	"weightlessness"	"or"	"distance"	"from"	"earth"	"but"	"be"	"a"	"matter"	"of"	"the"	"development"	"of"	"the"	"human"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	","	"in"	"person"	"in_the"	"the_,"	",_person"	"out_in_the"	"in_the_,"	"the_,_person"	",_person_walk"	"IN"	"IN"	"DT"	"NN"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"press_out"	"his"	"out"	"in"	"the"	"earth"	"person"	"walk"	"to"	"the"	"slit"	"and"	"scan"	"the"	"jagged"	"hills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:01::"	"the"	"touch"	"in"	","	"in_the"	"the_touch"	"touch_,"	"statuette_in_the"	"in_the_touch"	"the_touch_,"	"touch_,_position"	"NN"	"IN"	"DT"	"NN"	"VB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first_of_all"	"the"	"six"	"figure"	"of"	"the"	"buddha"	"you"	"heist"	"four"	"head"	"a"	"black"	"obsidian"	"statuette"	"in"	"the"	"earth"	"touch"	"position"	"a"	"large"	"brass"	"figure"	"of"	"the"	"dying_buddha"	"on"	"a"	"teakwood"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	
