"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"
"2:39:00::"	"or"	"or"	"feel"	"imagine"	"feel_or"	"or_or"	"or_imagine"	"she_feel_or"	"feel_or_or"	"or_or_imagine"	"or_imagine_such"	"PRP"	"VB"	"CC"	"VB"	"CC"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"before"	"she"	"feel"	"or"	"dream"	"or"	"imagine"	"such"	"a"	"scene"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"are"	"of"	"you"	"a"	"you_are"	"are_of"	"of_a"	"if_you_are"	"you_are_of"	"are_of_a"	"of_a_blue"	"IN"	"PRP"	"VBP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"are"	"dream"	"of"	"a"	"blue"	"shimmering"	"pool"	"right"	"outside"	"your"	"living_room"	"windows"	"close"	"your"	"eyes"	"firmly"	"and"	"fill_in"	"the"	"picture"	"with"	"lots"	"and"	"lots_of"	"children"	"damp"	"towels"	"squashed"	"tubes"	"of"	"suntan"	"oil"	"and"	"semi-inflated"	"plastic"	"toys"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"never"	"of"	"i"	"the"	"i_never"	"never_of"	"of_the"	"∅_i_never"	"i_never_of"	"never_of_the"	"of_the_logistical"	"ε"	"PRP"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"never"	"dream"	"of"	"the"	"logistical"	"difficulties"	"involved"	"until"	"at_long_last"	"both"	"of"	"my"	"boys"	"got"	"squeeze"	"into"	"high_school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:12:00::"	"marxist"	"of"	"the"	"a"	"the_marxist"	"marxist_of"	"of_a"	"to_the_marxist"	"the_marxist_of"	"marxist_of_a"	"of_a_classless"	"TO"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"long"	"road"	"that"	"had"	"liberal"	"in_this"	"country"	"into"	"the"	"social"	"religion"	"of"	"democracy"	"into"	"worship"	"of"	"man"	"lead"	"logically"	"to"	"the"	"marxist"	"dream"	"of"	"a"	"classless"	"society"	"under"	"a"	"socialist"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"also_in_the"	"in_the_of"	"the_of_the"	"of_the_neurotic"	"RB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"i"	"have"	"been"	"intimate"	"in"	"the"	"and"	"perhaps"	"also"	"in"	"the"	"dream"	"of"	"the"	"neurotic"	"this"	"be"	"a"	"question"	"which"	"i"	"have"	"no"	"wish"	"to"	"take_up"	"condensation"	"be"	"a"	"phenomenon"	"in"	"which"	"one"	"find"	"not"	"a"	"condensed"	"expression"	"of"	"various"	"feeling"	"and"	"idea"	"which"	"be"	"at"	"an"	"unconscious"	"level"	"well"	"sort_out"	"but"	"rather"	"a"	"condensed"	"expression"	"of"	"feeling"	"and"	"idea"	"which"	"even"	"in"	"the"	"unconscious"	"have"	"yet"	"to"	"become"	"well"	"differentiated"	"from"	"one"	"another"	
"2:36:00::"	"had"	"of"	"rousseau"	"pierce"	"rousseau_had"	"had_of"	"of_pierce"	",_rousseau_had"	"rousseau_had_of"	"had_of_pierce"	"of_pierce_through"	"ε"	"NN"	"VBD"	"VB"	"IN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ever"	"since"	"he"	"had"	"first"	"begin"	"to"	"music"	"and"	"to"	"teach"	"it"	"rousseau"	"had"	"dream"	"of"	"pierce"	"through"	"to"	"fame"	"as"	"the"	"result"	"of"	"a"	"successful"	"opera"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"person"	"."	"h"	"∅"	"h_person"	"person_."	"._∅"	"*_h_person"	"h_person_."	"person_._∅"	"._∅_∅"	"ε"	"NN"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"snuggle"	"into"	"the"	"h"	"person"	"dream"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"of"	","	"the"	",_and"	"and_of"	"of_the"	"it_,_and"	",_and_of"	"and_of_the"	"of_the_day"	"RB"	"ε"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old_man"	"son"	"throw"	"himself"	"down"	"belly"	"first"	"upon"	"a"	"concrete"	"take_in"	"the"	"coolness"	"of"	"it"	"and"	"dream"	"of"	"the"	"day"	"he"	"would"	"be"	"rich"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"be"	"to"	"there"	"dream"	"there_be"	"be_to"	"to_dream"	"and_there_be"	"there_be_to"	"be_to_dream"	"to_dream_about"	"CC"	"EX"	"VB"	"NN"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"what"	"did"	"that"	"matter"	"when"	"sun"	"was"	"shine"	"and"	"there"	"be"	"dream"	"to"	"dream"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"about"	"dream"	"?"	"dream_to"	"to_about"	"about_?"	"be_dream_to"	"dream_to_about"	"to_about_?"	"about_?_∅"	"VB"	"NN"	"TO"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"what"	"did"	"that"	"matter"	"when"	"the"	"was"	"shine"	"and"	"there"	"be"	"dream"	"to"	"dream"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
