"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"
"2:30:00::"	","	"in"	"mother"	"america"	"mother_,"	",_in"	"in_america"	"indian_mother_,"	"mother_,_in"	",_in_america"	"in_america_and"	"NNP"	"NN"	"ε"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jemela"	"surname"	"gerby"	"seem"	"hong_kong"	"oriental"	"but"	"have"	"a"	"spanish"	"and"	"an"	"indian"	"mother"	"be_born"	"in"	"america"	"and"	"educate"	"at"	"holy_cross_academy"	"and"	"textile"	"high_school"	"say"	"she"	"learn"	"belly_dancing"	"at"	"family"	"picnics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"in"	"23"	"budapest"	"23_,"	",_in"	"in_budapest"	",_23_,"	"23_,_in"	",_in_budapest"	"in_budapest_and"	"ε"	"CD"	"ε"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"serene"	"mrs._wilson"	"be_born"	"budapest"	"and"	"raise"	"in"	"manhattan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"who"	"in"	","	"italy"	",_who"	"who_in"	"in_italy"	"30_,_who"	",_who_in"	"who_in_italy"	"in_italy_and"	"CD"	"ε"	"WP"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gloria"	"surname"	"ziraldo"	"circa"	"who"	"in"	"italy"	"and"	"once"	"do"	"chorus"	"work"	"in"	"toronto"	"has"	"be"	"around"	"longer"	"than"	"most_of"	"the"	"wistfully"	"remember"	"the"	"old"	"days"	"when"	"we"	"used_to"	"get"	"the"	"seamen"	"from"	"the"	"ships"	"you"	"know"	"with"	"big"	"turtleneck"	"sweaters"	"and"	"handkerchiefs"	"and"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"in"	"mr._brett"	"brooklyn"	"mr._brett_,"	",_in"	"in_brooklyn"	"∅_mr._brett_,"	"mr._brett_,_in"	",_in_brooklyn"	"in_brooklyn_,"	"ε"	"NNP"	"ε"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be_born"	"in"	"brooklyn"	"n._y."	"dec."	"come"	"to"	"portland"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"girls"	"without"	"many"	"a"	"many_girls"	"girls_without"	"without_a"	"that_many_girls"	"many_girls_without"	"girls_without_a"	"without_a_hymen"	"IN"	"JJ"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"also"	"important"	"realize"	"that"	"many"	"girls"	"be_born"	"without"	"a"	"hymen"	"or"	"at_most"	"only"	"a"	"tiny"	"trace"	"of"	"one"	"so_that"	"the"	"absence"	"of"	"the"	"hymen"	"be"	"by_no_means"	"proof"	"that"	"a"	"girl"	"has"	"have"	"sex"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"timothy_palmer"	"in"	"that"	"1751"	"that_timothy_palmer"	"timothy_palmer_in"	"in_1751"	"bridges_that_timothy_palmer"	"that_timothy_palmer_in"	"timothy_palmer_in_1751"	"in_1751_in"	"NNS"	"IN"	"NNP"	"VB"	"IN"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"hardly"	"necessary"	"to"	"students"	"of"	"covered"	"bridges"	"that"	"timothy_palmer"	"be_born"	"in"	"in"	"nearby"	"rowley"	"that"	"he"	"move"	"with"	"his"	"parents"	"to"	"west_boxford"	"when"	"he"	"be"	"sixteen"	"years"	"old"	"and"	"was_there"	"apprentice"	"to"	"a"	"builder"	"and"	"architect"	"moody_spofford"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"beethoven"	","	"where"	"be"	"where_beethoven"	"beethoven_,"	",_be"	",_where_beethoven"	"where_beethoven_,"	"beethoven_,_be"	",_be_likely"	"ε"	"WRB"	"NNP"	"VB"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"any"	"musician"	"play"	"here"	"where"	"beethoven"	"be_born"	"be"	"likely"	"to"	"examine"	"his"	"own"	"interpretations"	"with"	"special"	"care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"would"	"with"	"world"	"gross"	"world_would"	"would_with"	"with_gross"	"the_world_would"	"world_would_with"	"would_with_gross"	"with_gross_physical"	"DT"	"NN"	"MD"	"VB"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"damage"	"to"	"human"	"germ_plasm"	"would"	"be"	"such_that"	"in"	"next"	"few"	"generations"	"children"	"around"	"the"	"world"	"would"	"be_born"	"with"	"gross"	"physical"	"or"	"mental"	"defects"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"who"	"jean_baptiste_reinhardt"	","	"in"	",_who"	"who_jean_baptiste_reinhardt"	"jean_baptiste_reinhardt_in"	"django_,_who"	",_who_jean_baptiste_reinhardt"	"who_jean_baptiste_reinhardt_in"	"jean_baptiste_reinhardt_in_belgium"	"NNP"	"ε"	"WP"	"VB"	"NNP"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"django"	"be_born"	"jean_baptiste_reinhardt"	"in"	"belgium"	"and"	"who"	"die"	"in"	"in"	"france"	"be"	"an"	"extraordinary"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"must"	"again"	"you"	"''"	"you_must"	"must_again"	"again_''"	"``_you_must"	"you_must_again"	"must_again_''"	"again_''_."	"ε"	"PRP"	"MD"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"not"	"wonder"	"that"	"i"	"to"	"thee"	"you"	"must"	"be_born"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
