"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"
"2:36:00::"	"chef"	"a"	"pastry"	"wedding_cake"	"pastry_chef"	"chef_a"	"a_wedding_cake"	"a_pastry_chef"	"pastry_chef_a"	"chef_a_wedding_cake"	"a_wedding_cake_for"	"DT"	"NN"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"the"	"only"	"man"	"alive"	"who"	"seem"	"qualified"	"by"	"his"	"learning"	"his"	"disposition"	"and"	"his"	"addiction"	"to"	"a"	"baroque"	"luxuriance"	"of"	"language"	"to"	"inherit"	"the"	"literary"	"mantle"	"of"	"sacheverell_sitwell"	"mr._sansom"	"write"	"of"	"foreign"	"parts"	"a"	"dedication"	"to"	"decoration"	"worthy"	"a"	"pastry"	"chef"	"create"	"a"	"wedding_cake"	"for"	"the"	"marriage"	"of"	"a"	"hungarian"	"beauty"	"her"	"third"	"and"	"an"	"american"	"multimillionaire"	"his"	"fourth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"law"	"the"	"the"	"agency"	"the_law"	"law_the"	"the_agency"	"under_the_law"	"the_law_the"	"law_the_agency"	"the_agency_."	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"peace_corps"	"volunteers"	"are"	"assure"	"tax_benefit"	"under"	"the"	"law"	"create"	"the"	"agency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"and"	"will"	"market"	"will_be"	"be_and"	"and_market"	"products_will_be"	"will_be_and"	"be_and_market"	"and_market_''"	"NNS"	"MD"	"VB"	"VB"	"CC"	"VB"	"ε"	"look_to"	"the"	"billion"	"economy"	"that_is"	"predict"	"for"	"and"	"the"	"increase"	"of"	"about"	"in"	"consumer"	"expenditures"	"that"	"will"	"be"	"require"	"to"	"reach"	"that"	"goal"	"management"	"can"	"well"	"be"	"restless"	"about"	"how"	"this"	"tremendous"	"volume"	"number"	"of"	"new"	"products"	"will"	"be"	"and"	"market"	"peterson"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"for"	"this"	"case"	"new"	"case_for"	"for_this"	"this_new"	"statistical_case_for"	"case_for_this"	"for_this_new"	"this_new_park"	"JJ"	"NN"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"park_service"	"makes"	"an"	"ecological"	"and"	"statistical"	"case"	"for"	"create"	"this"	"new"	"park"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"the"	"badly"	"impression"	"badly_and"	"and_the"	"the_impression"	"blunder_badly_and"	"badly_and_the"	"and_the_impression"	"the_impression_of"	"VB"	"RB"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"cuba"	"the"	"u._s."	"blunder"	"badly"	"and"	"create"	"the"	"impression"	"of"	"impotency"	"against"	"communist"	"penetration"	"even"	"on"	"its"	"own"	"doorstep"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"have"	"the"	"already"	"image"	"already_have"	"have_the"	"the_image"	",_already_have"	"already_have_the"	"have_the_image"	"the_image_of"	"ε"	"RB"	"VBP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_most"	"articulate"	"republicans"	"be"	"those"	"who"	"in"	"their"	"to"	"get_back"	"at"	"mr._kennedy"	"already"	"have"	"create"	"the"	"image"	"of"	"a"	"republican"	"leadership"	"which"	"be"	"reluctant"	"to"	"assist"	"the"	"distressed"	"and"	"the"	"unemployed"	"and"	"which"	"be"	"even"	"more"	"unwilling"	"to"	"help"	"old"	"people"	"who"	"need"	"medical_care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"have"	"anything"	"never"	"approach"	"never_have"	"have_anything"	"anything_approach"	"could_never_have"	"never_have_anything"	"have_anything_approach"	"anything_approach_the"	"MD"	"RB"	"VB"	"VB"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_matter_how"	"determined"	"or"	"wealthy"	"boating"	"lovers"	"of"	"the"	"had"	"be"	"for_example"	"they"	"could"	"never"	"have"	"create"	"anything"	"approach"	"the"	"fifty"	"square-mile"	"lake_texoma"	"located"	"between"	"texas"	"and"	"oklahoma"	"which"	"result"	"when"	"the"	"corp"	"of"	"army_engineers"	"dam"	"the"	"red_river"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"been"	"by"	"not"	"bring"	"not_been"	"been_by"	"by_bring"	"has_not_been"	"not_been_by"	"been_by_bring"	"by_bring_bodies_of_water"	"VBZ"	"RB"	"VBN"	"VB"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"an"	"opportunity"	"to"	"boating"	"has"	"not"	"been"	"create"	"by"	"bring"	"bodies_of_water"	"to"	"the"	"people"	"means"	"have"	"been"	"find"	"to"	"take"	"the"	"people"	"and"	"their"	"boats"	"to"	"the"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"a"	"be"	"better"	"be_to"	"to_a"	"a_better"	"objective_be_to"	"be_to_a"	"to_a_better"	"a_better_public"	"NN"	"VB"	"TO"	"VB"	"DT"	"RBR"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"harvey"	"say"	"objective"	"be"	"to"	"create"	"a"	"better"	"public"	"image"	"for"	"welfare"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"that"	"a"	"things"	"legal_profession"	"things_that"	"that_a"	"a_legal_profession"	"the_things_that"	"things_that_a"	"that_a_legal_profession"	"a_legal_profession_."	"DT"	"NNS"	"WDT"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tortured"	"reasoning"	"that"	"unions"	"use"	"to"	"deny"	"their"	"ambition"	"to"	"exercise"	"monopoly"	"over"	"the"	"supply"	"and"	"price"	"of"	"labor"	"be"	"one"	"of"	"the"	"things"	"that"	"create"	"a"	"legal_profession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
