"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:43:01::"	"bulb"	"high"	"dim"	"in"	"dim_bulb"	"bulb_high"	"high_in"	"a_dim_bulb"	"dim_bulb_high"	"bulb_high_in"	"high_in_the"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"go_up"	"onto"	"a"	"front_porch"	"and"	"a"	"small"	"hallway"	"where"	"a"	"dim"	"bulb"	"burn"	"high"	"in"	"the"	"ceiling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"were"	"fiercely"	"wagons"	"."	"wagons_were"	"were_fiercely"	"fiercely_."	"the_wagons_were"	"wagons_were_fiercely"	"were_fiercely_."	"fiercely_._∅"	"DT"	"NNS"	"VBD"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"were"	"burn"	"fiercely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:43:01::"	"still"	"on"	"lights"	"the"	"lights_still"	"still_on"	"on_the"	"the_lights_still"	"lights_still_on"	"still_on_the"	"on_the_port"	"DT"	"NNS"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"above"	"decks"	"on"	"the"	"john_harvey"	"gaze"	"at"	"the"	"lights"	"still"	"burn"	"on"	"the"	"port"	"wall"	"and"	"feel"	"uneasy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"was"	"to"	"baby"	"death"	"baby_was"	"was_to"	"to_death"	"a_baby_was"	"baby_was_to"	"was_to_death"	"to_death_and"	"DT"	"NN"	"VBD"	"VB"	"TO"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"was"	"burn"	"to"	"death"	"and"	"two"	"children"	"were"	"seriously"	"injure"	"last"	"night"	"in"	"a"	"fire"	"which"	"damage"	"their"	"one-room"	"anne_arundel"	"county"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"of"	"each"	"act"	"'s"	"act_of"	"of_each"	"each_'s"	"cataclysmic_act_of"	"act_of_each"	"of_each_'s"	"each_'s_citizens"	"JJ"	"NN"	"IN"	"VB"	"DT"	"POS"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"reasonable"	"that"	"if"	"general"	"nuclear"	"is"	"not"	"to"	"be"	"one"	"cataclysmic"	"act"	"of"	"burn"	"each"	"citizens"	"to"	"cinders"	"we"	"must"	"have"	"a"	"manned"	"strategic"	"force"	"of"	"long-endurance"	"aircraft"	"capable_of"	"go_into"	"china"	"or"	"russia"	"to"	"find"	"and"	"destroy"	"their"	"strategic"	"forces"	"which"	"continue"	"to"	"threaten"	"us"	
"2:30:02::"	"bus"	"trial"	"''"	"four"	"''_bus"	"bus_trial"	"trial_four"	"freedom_rider_''_bus"	"''_bus_trial"	"bus_trial_four"	"trial_four_weeks"	"NNP"	"ε"	"NN"	"VB"	"NN"	"CD"	"NNS"	"yesterday"	"arrest"	"on"	"a"	"perjury"	"charge"	"one"	"of"	"the"	"members"	"of"	"the"	"jury"	"that"	"fail"	"to"	"reach"	"a"	"verdict"	"in"	"the"	"freedom_rider"	"bus"	"trial"	"four"	"weeks"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:02::"	"heavy"	"."	"his"	"∅"	"his_heavy"	"heavy_."	"._∅"	"under_his_heavy"	"his_heavy_."	"heavy_._∅"	"._∅_∅"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"darken"	"his"	"heavy"	"burn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"gas"	"out"	"the"	","	"the_gas"	"gas_out"	"out_,"	"of_the_gas"	"the_gas_out"	"gas_out_,"	"out_,_respond"	"JJ"	"DT"	"NN"	"VB"	"RB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"plane"	"light"	"with"	"of"	"the"	"gas"	"burn"	"out"	"respond"	"beautifully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"should"	"his"	"he"	"book"	"he_should"	"should_his"	"his_book"	"that_he_should"	"he_should_his"	"should_his_book"	"his_book_,"	"IN"	"PRP"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rousseau"	"be"	"so"	"persuasive"	"that"	"is"	"almost"	"convinced"	"that"	"he"	"should"	"burn"	"his"	"book"	"too"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"tears"	"behind"	"∅"	"his"	"∅_tears"	"tears_behind"	"behind_his"	"∅_∅_tears"	"∅_tears_behind"	"tears_behind_his"	"behind_his_eye"	"ε"	"ε"	"NN"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"burn"	"behind"	"his"	"eye"	"as"	"he"	"pray"	"and"	"meditate"	"tonight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
