"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:06:00::"	"the"	"for"	"leave"	"long"	"leave_the"	"the_for"	"for_long"	"cannot_leave_the"	"leave_the_for"	"the_for_long"	"for_long_period"	"MD"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"if"	"there"	"be"	"no"	"the"	"farmer"	"cannot"	"leave"	"the"	"farm"	"for"	"long"	"period"	"particularly"	"during"	"the"	"growing_season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"cannot"	"on"	"change"	"on_a"	"a_cannot"	"cannot_change"	"live_on_a"	"on_a_cannot"	"a_cannot_change"	"cannot_change_job"	"VB"	"VB"	"DT"	"NN"	"MD"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"worker"	"live"	"on"	"a"	"farm"	"cannot"	"change"	"job"	"readily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"of"	"life"	"part"	"."	"part_of"	"of_life"	"life_."	"a_part_of"	"part_of_life"	"of_life_."	"life_._∅"	"VB"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hard"	"physical"	"labor"	"and"	"hours"	"be"	"a"	"part"	"of"	"farm"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"profitably"	"difficult"	"on"	"difficult_to"	"to_profitably"	"profitably_on"	"it_difficult_to"	"difficult_to_profitably"	"to_profitably_on"	"profitably_on_a"	"VB"	"JJ"	"TO"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"high"	"cost"	"of"	"land"	"supplies"	"labor"	"make"	"it"	"difficult"	"to"	"farm"	"profitably"	"on"	"a"	"part-time"	"basis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"may"	"∅"	"be"	"∅_the"	"the_may"	"may_be"	"∅_∅_the"	"∅_the_may"	"the_may_be"	"may_be_an"	"ε"	"ε"	"DT"	"NN"	"MD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"farm"	"may"	"be"	"an"	"additional"	"burden"	"if"	"the"	"main"	"job"	"is"	"lose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"is"	"if"	"rent"	"if_the"	"the_is"	"is_rent"	"∅_if_the"	"if_the_is"	"the_is_rent"	"is_rent_,"	"ε"	"IN"	"DT"	"NN"	"VBZ"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"farm"	"is"	"rent"	"the"	"rent"	"must"	"be"	"pay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"provide"	"∅"	"a"	"∅_a"	"a_provide"	"provide_a"	"∅_∅_a"	"∅_a_provide"	"a_provide_a"	"provide_a_wholesome"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"farm"	"provide"	"a"	"wholesome"	"and"	"healthful"	"environment"	"for"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"is"	"provide"	"own"	"provide_the"	"the_is"	"is_own"	",_provide_the"	"provide_the_is"	"the_is_own"	"is_own_free_of"	"ε"	"VB"	"DT"	"NN"	"VBZ"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farming"	"give"	"a"	"measure"	"of"	"security"	"the"	"regular"	"job"	"is"	"lose"	"provide"	"the"	"farm"	"is"	"own"	"free_of"	"debt"	"and"	"furnish"	"enough"	"income"	"to"	"meet"	"fixed"	"expense"	"and"	"minimum"	"live"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"recreational"	"on"	"."	"on_a"	"a_recreational"	"recreational_."	"work_on_a"	"on_a_recreational"	"a_recreational_."	"recreational_._∅"	"NN"	"VB"	"DT"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"person"	"consider"	"work"	"on"	"a"	"farm"	"recreational"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"you"	"look_for"	"'ll"	"look_for_a"	"a_you"	"you_'ll"	"you_look_for_a"	"look_for_a_you"	"a_you_'ll"	"you_'ll_need_to"	"PRP"	"VB"	"DT"	"NN"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"look_for"	"a"	"farm"	"you"	"need_to"	"know"	"the"	"kind"	"and"	"scale"	"of"	"farming"	"you"	"want_to"	"undertake"	"and"	"whether"	"you"	"want_to"	"buy"	"or"	"rent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
