"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"
"1:23:00::"	"75"	"per"	"feed"	"head"	"feed_75"	"75_per"	"per_head"	",_feed_75"	"feed_75_per"	"75_per_head"	"per_head_in"	"ε"	"VB"	"CD"	"NN"	"IN"	"NN"	"IN"	"increase"	"rate"	"of"	"gain"	"and"	"improve"	"feed"	"efficiency"	"feed"	"per"	"head"	"in"	"daily"	"supplement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"75"	"of"	"provide"	"oxytetracycline"	"provide_75"	"75_of"	"of_oxytetracycline"	",_provide_75"	"provide_75_of"	"75_of_oxytetracycline"	"of_oxytetracycline_hydrochloride"	"ε"	"VB"	"CD"	"NN"	"IN"	"NN"	"NN"	"aid"	"in"	"reduce"	"incidence"	"and"	"severity"	"of"	"bloat"	"provide"	"of"	"oxytetracycline"	"hydrochloride"	"per"	"animal"	"daily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"70"	"of"	"than"	"aureomycin"	"than_70"	"70_of"	"of_aureomycin"	"less_than_70"	"than_70_of"	"70_of_aureomycin"	"of_aureomycin_per"	"RB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"than"	"milligram"	"of"	"aureomycin"	"per"	"head"	"daily"	"to"	"aid"	"in"	"the"	"prevention"	"of"	"liver"	"abscess"	"in"	"feedlot"	"beef_cattle"	
"1:23:00::"	"10"	"of"	"∅"	"diethylstilbestrol"	"∅_10"	"10_of"	"of_diethylstilbestrol"	"∅_∅_10"	"∅_10_of"	"10_of_diethylstilbestrol"	"of_diethylstilbestrol_per"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"diethylstilbestrol"	"per"	"head"	"daily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"2"	"daily"	"be"	","	"be_2"	"2_daily"	"daily_,"	"sheep_be_2"	"be_2_daily"	"2_daily_,"	"daily_,_and"	"NN"	"VB"	"JJ"	"NN"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"recommended"	"level"	"sheep"	"be"	"milligram"	"daily"	"and"	"this"	"level"	"should"	"be"	"maintain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"2_-_1_2"	"per"	"of"	"head"	"of_2_-_1_2"	"2_-_1_2_per"	"per_head"	"rate_of_2_-_1_2"	"of_2_-_1_2_per"	"2_-_1_2_per_head"	"per_head_per"	"NN"	"IN"	"CD"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"of"	"milligram"	"per"	"head"	"per"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"2"	"per"	"to"	"head"	"to_2"	"2_per"	"per_head"	"0.5_to_2"	"to_2_per"	"2_per_head"	"per_head_per"	"CD"	"TO"	"JJ"	"NN"	"IN"	"NN"	"IN"	"of"	"foamy"	"bloat"	"feed"	"at"	"a"	"rate"	"of"	"milligram"	"head"	"per"	"day"	"in"	"mineral"	"or"	"salt"	"or"	"feed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"75"	"per"	"or"	"head"	"or_75"	"75_per"	"per_head"	"unit_or_75"	"or_75_per"	"75_per_head"	"per_head_daily"	"NN"	"CC"	"CD"	"NN"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feed"	"unit"	"milligram"	"per"	"head"	"daily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	".75"	"but"	"than"	"not"	"than_.75"	".75_but"	"but_not"	"less_than_.75"	"than_.75_but"	".75_but_not"	"but_not_more"	"RB"	"RB"	"CD"	"NN"	"CC"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"than"	"milligram"	"but"	"not"	"more"	"than"	"milligram"	"of"	"additive"	"per"	"pound"	"of"	"body_weight"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"1.25"	"of"	"than"	"additive"	"than_1.25"	"1.25_of"	"of_additive"	"more_than_1.25"	"than_1.25_of"	"1.25_of_additive"	"of_additive_per"	"RB"	"RB"	"CD"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"not"	"less"	"milligram"	"but"	"not"	"than"	"milligram"	"of"	"additive"	"per"	"pound"	"of"	"body_weight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
