"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"2:33:00::"	"will"	"the"	"wax_paper"	"polished"	"wax_paper_will"	"will_the"	"the_polished"	"of_wax_paper_will"	"wax_paper_will_the"	"will_the_polished"	"the_polished_surface"	"IN"	"NN"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"coat"	"of"	"paste"	"wax"	"or"	"rubdown"	"with"	"a_piece"	"of"	"wax_paper"	"will"	"protect"	"the"	"polished"	"surface"	"of"	"the"	"table"	"wipe"	"with"	"a"	"slightly"	"oiled"	"cloth"	"will"	"discourage"	"rust"	"of"	"the"	"column"	"and"	"quill"	
"2:33:00::"	"floor"	"now"	"of"	"by"	"of_floor"	"floor_now"	"now_by"	"a_bit_of_floor"	"of_floor_now"	"floor_now_by"	"now_by_a"	"RB"	"IN"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beneath"	"the"	"dome"	"i"	"see"	"the"	"spot"	"where"	"byzantine"	"emperors"	"were"	"crown"	"a_bit"	"of"	"floor"	"protect"	"now"	"by"	"a"	"wooden"	"fence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"which"	"his"	"film"	"abdominal_cavity"	"film_which"	"which_his"	"his_abdominal_cavity"	"half-transparent_film_which"	"film_which_his"	"which_his_abdominal_cavity"	"his_abdominal_cavity_."	"JJ"	"NN"	"WDT"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"half-man"	"lie"	"on"	"the"	"ground"	"arteries"	"prettily"	"behind"	"the"	"half-transparent"	"film"	"which"	"protect"	"his"	"abdominal_cavity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"us"	"continue"	"in_the_future"	"continue_to"	"to_us"	"us_in_the_future"	"will_continue_to"	"continue_to_us"	"to_us_in_the_future"	"us_in_the_future_as"	"MD"	"VB"	"TO"	"VB"	"PRP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"and"	"so"	"let"	"us"	"remember"	"on_this_day"	"not_only"	"to"	"thank"	"the"	"almighty"	"who"	"give"	"hope"	"and"	"courage"	"to"	"the"	"pilgrims"	"but"	"also"	"to"	"place"	"our"	"trust"	"in"	"him"	"that"	"he"	"continue"	"to"	"protect"	"us"	"in_the_future"	"as"	"he"	"has"	"in_the_past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"in"	"american"	"incompetence"	"interests"	"incompetence_in"	"in_american"	"american_interests"	"own_incompetence_in"	"incompetence_in_american"	"in_american_interests"	"american_interests_,"	"JJ"	"NN"	"IN"	"VB"	"NNP"	"NNS"	"ε"	"moralities"	"of"	"world"	"law"	"are"	"not"	"advance"	"by"	"steal"	"american"	"diplomatic"	"papers"	"and"	"planes"	"but"	"the"	"kennedy"	"administration"	"can"	"always"	"file"	"a"	"demurrer"	"to"	"the"	"effect"	"that"	"but"	"for"	"its"	"own"	"incompetence"	"in"	"american"	"interests"	"these"	"things"	"would"	"not"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"were"	"by"	"rails"	"a"	"rails_were"	"were_by"	"by_a"	"the_rails_were"	"rails_were_by"	"were_by_a"	"by_a_thick"	"DT"	"NNS"	"VBD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fence"	"only"	"refuge"	"when"	"the"	"metal"	"death"	"come"	"roar"	"at"	"him"	"was"	"of"	"rails"	"all_right"	"but"	"the"	"rails"	"were"	"protect"	"by"	"a"	"thick"	"screening"	"of"	"barbed_wire"	"that"	"would"	"rip"	"his"	"flesh"	"if"	"he"	"press"	"against"	"it"	"0"	"0"	"0"	
"2:33:00::"	"to"	"or"	"campaign"	"enhance"	"campaign_to"	"to_or"	"or_enhance"	"develop_campaign_to"	"campaign_to_or"	"to_or_enhance"	"or_enhance_the"	"VB"	"NN"	"TO"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"industry"	"trade"	"are"	"develop"	"campaign"	"to"	"protect"	"or"	"enhance"	"the"	"share"	"of"	"the"	"consumer"	"dollar"	"being"	"spend"	"on"	"their"	"particular"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"you"	"your"	"do"	"holiday"	"do_you"	"you_your"	"your_holiday"	"∅_do_you"	"do_you_your"	"you_your_holiday"	"your_holiday_privilege"	"ε"	"VBP"	"PRP"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"protect"	"your"	"holiday"	"privilege"	"with"	"an"	"attendance"	"requirement"	"both"	"before"	"and"	"after"	"the"	"holiday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"in_fact"	"serve"	"and"	"serve_to"	"to_in_fact"	"in_fact_and"	"should_serve_to"	"serve_to_in_fact"	"to_in_fact_and"	"in_fact_and_in_effect"	"MD"	"VB"	"TO"	"VB"	"RB"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"action"	"serve"	"to"	"protect"	"in_fact"	"and"	"in_effect"	"the"	"court"	"ward"	"from"	"undue"	"cost"	"and"	"its"	"appointed"	"and"	"elected"	"servant"	"from"	"unmeritorious"	"criticism"	"the"	"jury"	"say"	"0"	"0"	"0"	
"2:33:00::"	"to"	"the"	"falcon"	"dove"	"falcon_to"	"to_the"	"the_dove"	"the_falcon_to"	"falcon_to_the"	"to_the_dove"	"the_dove_'"	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such_as"	"send"	"the"	"cat"	"to"	"guard"	"the"	"mouse"	"the"	"falcon"	"to"	"protect"	"the"	"dove"	"or"	"most"	"terribly"	"sharp"	"of"	"all"	"the"	"human_being"	"to"	"save"	"humanity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"have_to"	"the"	"we"	"old_man"	"we_have_to"	"have_to_the"	"the_old_man"	",_we_have_to"	"we_have_to_the"	"have_to_the_old_man"	"the_old_man_for"	"ε"	"PRP"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"we"	"protect"	"the"	"old_man"	"for"	"his"	"own"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
