"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:42:00::"	"certainly"	"when"	"action"	"fusillades"	"action_certainly"	"certainly_when"	"when_fusillades"	"of_action_certainly"	"action_certainly_when"	"certainly_when_fusillades"	"when_fusillades_of"	"IN"	"NN"	"RB"	"VB"	"WRB"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"ground"	"action"	"certainly"	"exist"	"when"	"fusillades"	"of"	"stray"	"shots"	"go"	"over"	"into"	"west_berlin"	"as"	"communist"	"vopos"	"try"	"to"	"gun_down"	"fleeing"	"unarmed"	"residents"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"heretofore"	"mainly"	","	"on"	",_heretofore"	"heretofore_mainly"	"mainly_on"	"columns_,_heretofore"	",_heretofore_mainly"	"heretofore_mainly_on"	"mainly_on_the"	"NNS"	"ε"	"RB"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"belly"	"boites"	"with"	"their"	"papier-mache"	"or"	"hand-painted"	"ionic"	"columns"	"heretofore"	"exist"	"mainly"	"on"	"the"	"patronage"	"of"	"greek"	"and"	"turkish"	"families"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"as"	"be"	"roads"	"pretty_much"	"roads_as"	"as_be"	"be_pretty_much"	"such_roads_as"	"roads_as_be"	"as_be_pretty_much"	"be_pretty_much_open"	"JJ"	"NNS"	"IN"	"VB"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"automobile"	"be"	"in"	"embryonic"	"stage"	"such"	"roads"	"as"	"exist"	"be"	"pretty_much"	"open"	"roads"	"with"	"the"	"tacit"	"understanding"	"that"	"horses"	"should"	"not"	"be"	"unduly"	"terrify"	"be"	"about"	"the"	"only"	"rule"	"govern"	"where"	"when"	"and_how"	"fast"	"a"	"car"	"could"	"go"	"0"	
"2:42:00::"	"there"	"line"	"that"	"involutions"	"that_there"	"there_line"	"line_involutions"	"clear_that_there"	"that_there_line"	"there_line_involutions"	"line_involutions_of"	"NN"	"IN"	"EX"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"preceding"	"observations"	"it"	"clear"	"that"	"there"	"exist"	"line"	"involutions"	"of"	"all"	"orders"	"greater"	"than"	"with"	"no"	"complex"	"of"	"invariant"	"lines"	"and"	"with"	"a"	"complex"	"of"	"singular"	"lines"	"consist_of"	"exclusively"	"of"	"the"	"lines"	"which"	"meet"	"a"	"twisted"	"curve"	"g"	
"2:42:00::"	"not"	"to"	"does"	"raise"	"does_not"	"not_to"	"to_raise"	"right_does_not"	"does_not_to"	"not_to_raise"	"to_raise_the"	"NN"	"VBZ"	"RB"	"VB"	"TO"	"VB"	"DT"	"officious"	"and"	"improper"	"interference"	"on"	"the"	"subject"	"the"	"price"	"of"	"labor"	"or"	"the"	"wages"	"of"	"mechanics"	"will"	"be"	"regulate"	"by"	"the"	"demand"	"for"	"the"	"manufactured"	"article"	"and"	"the"	"value"	"of_that"	"which"	"is"	"pay"	"for"	"it"	"but"	"the"	"right"	"does"	"not"	"to"	"raise"	"the"	"wages"	"of"	"the"	"mechanic"	"by"	"any"	"forced"	"and"	"artificial"	"means"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"has"	"."	"that"	"∅"	"that_has"	"has_."	"._∅"	"danger_that_has"	"that_has_."	"has_._∅"	"._∅_∅"	"NN"	"WDT"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rusk"	"belief"	"in"	"balanced"	"defense"	"replace"	"the"	"dulles"	"theory"	"massive"	"retaliation"	"remove"	"a"	"grave"	"danger"	"that"	"has"	"exist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"there"	"one"	"that"	"moral"	"that_there"	"there_one"	"one_moral"	"be_that_there"	"that_there_one"	"there_one_moral"	"one_moral_order"	"VB"	"IN"	"EX"	"VB"	"CD"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"common"	"be"	"that"	"there"	"exist"	"one"	"moral"	"order"	"which"	"include"	"everything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"may"	"that"	"barriers"	"need"	"barriers_may"	"may_that"	"that_need"	"serious_barriers_may"	"barriers_may_that"	"may_that_need"	"that_need_special"	"JJ"	"NNS"	"MD"	"VB"	"IN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"apart"	"from"	"the"	"standard"	"problem"	"of"	"the"	"vaginal"	"muscles"	"serious"	"barriers"	"may"	"exist"	"that"	"need"	"special"	"gynecological"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"problems"	","	"medical"	"the"	"medical_problems"	"problems_,"	",_the"	"no_medical_problems"	"medical_problems_,"	"problems_,_the"	",_the_newly"	"DT"	"JJ"	"NNS"	"VB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"medical"	"problems"	"exist"	"the"	"newly"	"married_couple"	"generally"	"prefer"	"to"	"cope_with"	"the"	"adjustments"	"of"	"their"	"new"	"relationship"	"by"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"it"	","	"where"	"usually"	"where_it"	"it_,"	",_usually"	",_where_it"	"where_it_,"	"it_,_usually"	",_usually_stem"	"ε"	"WRB"	"PRP"	"VB"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"financial"	"where"	"it"	"exist"	"usually"	"stem"	"from"	"the"	"adoption"	"of"	"a"	"budget"	"for"	"the"	"transitional"	"or"	"adjustment"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
