"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"2:36:00::"	"pieces"	"after"	"display"	"the"	"display_pieces"	"pieces_after"	"after_the"	"today_display_pieces"	"display_pieces_after"	"pieces_after_the"	"after_the_style"	"NN"	"VB"	"NNS"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"authenticated"	"pieces"	"of"	"duncan_phyfe"	"furniture"	"be"	"uncommon"	"millions"	"of"	"american"	"homes"	"today"	"display"	"pieces"	"pattern"	"after"	"the"	"style"	"trends"	"he"	"set"	"years"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"industrial"	"?"	"or"	"∅"	"or_industrial"	"industrial_?"	"?_∅"	"/_or_industrial"	"or_industrial_?"	"industrial_?_∅"	"?_∅_∅"	"ε"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"you"	"plan"	"to"	"limit"	"additional"	"to"	"area"	"and"	"or"	"industrial"	"pattern"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"the"	"''"	"``"	","	"``_the"	"the_''"	"''_,"	"∅_``_the"	"``_the_''"	"the_''_,"	"''_,_say"	"ε"	"ε"	"DT"	"NN"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pattern"	"say"	"person"	"psychologist"	"at"	"new_york"	"group"	"be"	"for"	"the"	"husband"	"to"	"hover"	"about"	"anxiously"	"and"	"eagerly"	"virtually"	"tremble"	"in"	"his"	"hope"	"that"	"she"	"will"	"flash"	"him"	"the"	"signal"	"that"	"tonight"	"be"	"the"	"night"	
"1:04:00::"	"into"	"which"	"''"	"become"	"''_into"	"into_which"	"which_become"	"freeze_''_into"	"''_into_which"	"into_which_become"	"which_become_so"	"VB"	"ε"	"IN"	"NN"	"WDT"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"life"	"we"	"learn"	"to"	"play"	"role"	"and"	"we"	"freeze"	"into"	"pattern"	"which"	"become"	"so"	"habitual"	"that"	"we"	"be"	"not"	"really"	"aware"	"of"	"what"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of"	"with"	"transition"	"with_the"	"the_of"	"of_transition"	"concerned_with_the"	"with_the_of"	"the_of_transition"	"of_transition_,"	"JJ"	"JJ"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"student"	"of"	"idea"	"and"	"their"	"place"	"history"	"will"	"always"	"be"	"concerned"	"with"	"the"	"pattern"	"of"	"transition"	"which"	"be"	"at_the_same_time"	"pattern"	"of"	"transformation"	"whereby"	"idea"	"pass"	"from"	"one"	"area"	"of"	"activity"	"to"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"at_the_same_time"	"of"	"be"	"transformation"	"be_at_the_same_time"	"at_the_same_time_of"	"of_transformation"	"which_be_at_the_same_time"	"be_at_the_same_time_of"	"at_the_same_time_of_transformation"	"of_transformation_,"	"WDT"	"VB"	"RB"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"student"	"of"	"idea"	"their"	"place"	"in"	"history"	"will"	"always"	"be"	"concerned"	"the"	"pattern"	"of"	"transition"	"which"	"be"	"at_the_same_time"	"pattern"	"of"	"transformation"	"whereby"	"idea"	"pass"	"from"	"one"	"area"	"of"	"activity"	"to"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"beautifully"	"art"	"the"	"of"	"the_beautifully"	"beautifully_art"	"art_of"	"especially_the_beautifully"	"the_beautifully_art"	"beautifully_art_of"	"art_of_person"	"RB"	"DT"	"RB"	"VB"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"essentially"	"a"	"landscape"	"painter"	"whose"	"style"	"and"	"direction"	"have"	"a"	"kinship"	"with"	"the"	"english"	"watercolorist"	"of"	"the"	"early"	"nineteenth"	"especially"	"the"	"beautifully"	"pattern"	"art"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	","	"of"	"sentence"	"stress"	"sentence_,"	",_of"	"of_stress"	"in_sentence_,"	"sentence_,_of"	",_of_stress"	"of_stress_are"	"IN"	"NN"	"ε"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"pattern"	"of"	"stress"	"are"	"determine"	"by"	"complex"	"combination"	"of"	"influence"	"that"	"can"	"only"	"be"	"suggest"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"that"	"of"	"clear"	"stress"	"clear_that"	"that_of"	"of_stress"	"is_clear_that"	"clear_that_of"	"that_of_stress"	"of_stress_sometimes"	"VBZ"	"JJ"	"IN"	"NN"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"clear"	"that"	"pattern"	"of"	"stress"	"sometimes"	"show"	"construction"	"unambiguously"	"in"	"the"	"spoken_language"	"where"	"without"	"the"	"help"	"of"	"context"	"it"	"would"	"be"	"ambiguous"	"in"	"the"	"written"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"of"	"set"	"total"	"set_a"	"a_of"	"of_total"	"often_set_a"	"set_a_of"	"a_of_total"	"of_total_achievement"	"RB"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"primary"	"grade"	"reading"	"permeate"	"almost"	"every"	"aspect"	"of"	"school"	"progress"	"and"	"the"	"child"	"early"	"experience"	"of"	"success"	"or"	"failure"	"in"	"learn"	"to"	"read"	"often"	"set"	"a"	"of"	"total"	"achievement"	"that"	"be"	"relatively"	"enduring"	"throughout"	"the"	"following"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
