"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"
"2:31:00::"	"rather_than"	"the"	"∅"	"abortive"	"∅_rather_than"	"rather_than_the"	"the_abortive"	"∅_∅_rather_than"	"∅_rather_than_the"	"rather_than_the_abortive"	"the_abortive_recovery"	"ε"	"ε"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"view"	"the"	"abortive"	"recovery"	"in"	"as"	"a"	"reason"	"for"	"believe"	"we"	"have"	"lose"	"prospects"	"for"	"growth"	"he"	"say"	"it"	"should"	"be"	"view_as"	"a"	"lesson"	"well"	"learn"	"which"	"will"	"increase"	"the"	"probability"	"of"	"substantial"	"improvement"	"in_this"	"recovery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"will"	"the"	"desire"	"proposed"	"desire_will"	"will_the"	"the_proposed"	"if_desire_will"	"desire_will_the"	"will_the_proposed"	"the_proposed_site"	"IN"	"VB"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"palmer"	"will"	"attend_to"	"any"	"applications"	"to"	"bridges"	"and"	"if"	"desire"	"will"	"view"	"the"	"proposed"	"site"	"and"	"lay_out"	"and"	"superintend"	"the"	"work"	"or"	"recommend"	"a"	"suitable"	"person"	"to"	"execute"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"any"	"tendency"	"war"	"tendency_to"	"to_any"	"any_war"	"the_tendency_to"	"tendency_to_any"	"to_any_war"	"any_war_in_which"	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"you"	"see"	"first_of_all"	"and"	"in_a_sense"	"as"	"the"	"source"	"of"	"all"	"ills"	"the"	"unshakeable"	"american"	"commitment"	"to"	"the"	"principle"	"of"	"unconditional"	"surrender"	"tendency"	"to"	"view"	"any"	"war"	"in_which"	"we"	"might"	"be"	"involved"	"not"	"as"	"a"	"means"	"of"	"achieve"	"limited"	"objectives"	"in"	"the"	"way"	"of"	"changes"	"in"	"a"	"given"	"status_quo"	"but"	"as"	"a"	"struggle"	"to"	"the"	"death"	"between"	"total"	"virtue"	"and"	"total"	"evil"	"with"	"the"	"result"	"that"	"the"	"war"	"had"	"absolutely"	"to"	"be"	"fight"	"to"	"the"	"complete"	"destruction"	"of"	"the"	"enemy"	"power"	"no_matter"	"what"	"disadvantages"	"or"	"complications"	"this"	"might"	"involve"	"for"	"the"	"more"	"distant"	"future"	
"2:31:00::"	"administration"	"that"	"the"	"$"	"the_administration"	"administration_that"	"that_$"	"how_the_administration"	"the_administration_that"	"administration_that_$"	"that_$_28"	"WRB"	"DT"	"NN"	"VB"	"IN"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"difficult"	"to"	"certain"	"how"	"the"	"administration"	"view"	"that"	"million"	"since"	"the"	"views"	"of"	"one"	"leader"	"may"	"not"	"be"	"the"	"same"	"as"	"the"	"views"	"of"	"another"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"for"	"the"	"vantage_points"	"golden"	"vantage_points_for"	"for_the"	"the_golden"	"at_vantage_points_for"	"vantage_points_for_the"	"for_the_golden"	"the_golden_panoramas"	"IN"	"NN"	"IN"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rockies"	"many"	"aspencades"	"which"	"be"	"organized"	"tours"	"of"	"the"	"aspen"	"with"	"frequent"	"stops"	"at"	"vantage_points"	"for"	"view"	"the"	"golden"	"panoramas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"∅"	"from"	"∅"	"afar"	"∅_∅"	"∅_from"	"from_afar"	"∅_∅_∅"	"∅_∅_from"	"∅_from_afar"	"from_afar_,"	"ε"	"ε"	"ε"	"VB"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"afar"	"the"	"cdc"	"look_like"	"a"	"rather"	"stalwart"	"political"	"pyramid"	"its"	"elected"	"directorate"	"fan_out"	"into"	"an"	"array"	"of"	"district"	"leaders"	"and"	"standing_committees"	"and"	"thence"	"into"	"its"	"component"	"clubs"	"and"	"affiliated"	"groups"	"or_so"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"extended"	"possible"	"only"	"anyone"	"only_extended"	"extended_possible"	"possible_anyone"	"the_only_extended"	"only_extended_possible"	"extended_possible_anyone"	"possible_anyone_less"	"DT"	"JJ"	"JJ"	"NN"	"TO"	"NNP"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"extended"	"view"	"possible"	"anyone"	"less"	"tall"	"than"	"the"	"fence"	"be"	"that"	"obtain"	"from"	"an"	"upper"	"bough"	"of"	"the"	"apple_tree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"this"	"of"	"of"	"primary"	"of_this"	"this_of"	"of_primary"	"defender_of_this"	"of_this_of"	"this_of_primary"	"of_primary_experience"	"NN"	"RB"	"RB"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"principal"	"of"	"this"	"view"	"of"	"primary"	"experience"	"as"	"causal"	"efficacy"	"be"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	"in"	"military"	"in_the"	"the_of"	"of_military"	",_in_the"	"in_the_of"	"the_of_military"	"of_military_and"	"ε"	"IN"	"DT"	"NN"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"blockade"	"the"	"view"	"of"	"military"	"and"	"civilian"	"expert"	"could"	"restore"	"tooth"	"to"	"the"	"monroe_doctrine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"frequent"	"of"	"most"	"the"	"most_frequent"	"frequent_of"	"of_the"	"the_most_frequent"	"most_frequent_of"	"frequent_of_the"	"of_the_value"	"RB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"most"	"frequent"	"view"	"of"	"the"	"value"	"of"	"literature"	"be"	"the"	"education"	"of"	"sensibility"	"that"	"it"	"is"	"think"	"to"	"provide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"to"	"with"	"advance"	"with_a"	"a_to"	"to_advance"	"information_with_a"	"with_a_to"	"a_to_advance"	"to_advance_the"	"NN"	"IN"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"coordinate"	"correlate"	"and"	"publish"	"with"	"a"	"view"	"to"	"advance"	"the"	"development"	"of"	"low-cost"	"saline"	"water"	"conversion"	"project"	"and"	"cooperate"	"with"	"federal_department"	"and"	"agency"	"with"	"state_department"	"and"	"local_department"	"agency"	"and"	"instrumentality"	"and"	"with"	"interested"	"person"	"firm"	"institution"	"and"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"to"	"we"	"exposed"	"could"	"exposed_to"	"to_we"	"we_could"	"camp_exposed_to"	"exposed_to_we"	"to_we_could"	"we_could_see"	"NN"	"JJ"	"TO"	"NN"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"camp"	"exposed"	"to"	"view"	"we"	"could"	"see"	"the"	"variety"	"of"	"canvas"	"shelter"	"in"	"which"	"american"	"are"	"camp"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"my"	","	"in"	"there"	"in_my"	"my_,"	",_there"	"∅_in_my"	"in_my_,"	"my_,_there"	",_there_should"	"ε"	"IN"	"PRP$"	"NN"	"ε"	"EX"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"view"	"there"	"should"	"be"	"a"	"school"	"which"	"offer"	"significant"	"vocational_program"	"for"	"boy"	"within"	"easy"	"reach"	"of"	"every"	"family"	"in"	"a"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	"general"	"of"	"the"	"society"	"the_general"	"general_of"	"of_society"	"with_the_general"	"the_general_of"	"general_of_society"	"of_society_."	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"tumultuous"	"painful"	"and"	"costly"	"experience"	"show"	"clearly"	"that"	"a"	"law"	"express"	"a"	"moral"	"judgment"	"be"	"enforce"	"when"	"it"	"have"	"correspondence"	"with"	"the"	"general"	"view"	"of"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"with"	"to"	"suspicion"	"to_be"	"be_with"	"with_suspicion"	"gift_horse_to_be"	"to_be_with"	"be_with_suspicion"	"with_suspicion_''"	"NN"	"TO"	"VB"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"gift_horse"	"be"	"view"	"with"	"suspicion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"what"	"tend"	"be"	"tend_to"	"to_what"	"what_be"	"we_tend_to"	"tend_to_what"	"to_what_be"	"what_be_called"	"PRP"	"VB"	"VB"	"VB"	"WP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"municipal"	"we"	"tend"	"to"	"view"	"what"	"be"	"called"	"positivism"	"fundamentally"	"a"	"movement"	"to"	"democratize"	"policy"	"by"	"increase"	"the"	"power"	"of"	"parliament"	"the"	"elected"	"representative"	"at"	"the"	"expense"	"of"	"the"	"more"	"conservative"	"judiciary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
