"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:34:02::"	"and_others"	"substantial"	"these"	"roles"	"these_and_others"	"and_others_substantial"	"substantial_roles"	"all_these_and_others"	"these_and_others_substantial"	"and_others_substantial_roles"	"substantial_roles_in"	"DT"	"DT"	"RB"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reading"	"public"	"the"	"theatergoing"	"public"	"the"	"skindiving"	"public"	"horse-playing"	"public"	"all"	"these"	"and_others"	"fill"	"substantial"	"roles"	"in"	"u._s."	"life"	"but"	"none"	"be"	"so"	"varied"	"vast"	"and"	"vigilant"	"as"	"the"	"eat"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"the"	"schedule"	"churches"	"schedule_to"	"to_the"	"the_churches"	"''_schedule_to"	"schedule_to_the"	"to_the_churches"	"the_churches_for"	"ε"	"VB"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"friday"	"night"	"the"	"delegates"	"hear"	"the"	"need"	"for"	"forthcoming"	"program"	"breakthrough"	"schedule"	"to"	"fill"	"the"	"churches"	"for"	"the"	"next"	"two"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"by"	"their"	"were"	"colonial"	"were_by"	"by_their"	"their_colonial"	"they_were_by"	"were_by_their"	"by_their_colonial"	"their_colonial_house"	"PRP"	"VBD"	"IN"	"VB"	"PRP$"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"francesca"	"and"	"herbert"	"consider"	"themselves"	"violently"	"and"	"show"	"the"	"world"	"they"	"were"	"by"	"fill"	"their"	"colonial"	"house"	"with"	"contemporary"	"furniture"	"and"	"paintings"	"and"	"art"	"objects"	"expensive"	"but"	"not"	"necessarily"	"valuable"	"contemporary"	"things"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"and"	"the"	"lances"	"morning"	"lances_and"	"and_the"	"the_morning"	"their_lances_and"	"lances_and_the"	"and_the_morning"	"the_morning_with"	"PRP$"	"NNS"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"pour"	"through"	"the"	"opening"	"in"	"the"	"valley"	"then"	"spread_out"	"in"	"long"	"line"	"to"	"come"	"at"	"us"	"brandish"	"their"	"lances"	"and"	"fill"	"the"	"morning"	"with"	"their"	"spine-chilling"	"scalp"	"cry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"the"	","	"scope"	",_to"	"to_the"	"the_scope"	"sets_,_to"	",_to_the"	"to_the_scope"	"the_scope_with"	"NNS"	"ε"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"window"	"the"	"tinsel"	"paper"	"drop"	"by"	"to"	"jam"	"radar"	"sets"	"to"	"fill"	"the"	"scope"	"with"	"hundreds"	"of"	"blips"	"that"	"would"	"seem"	"to"	"be"	"approaching"	"bombers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"such"	"age"	"a"	"age_to"	"to_such"	"such_a"	"young_age_to"	"age_to_such"	"to_such_a"	"such_a_responsible"	"JJ"	"NN"	"TO"	"VB"	"JJ"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"n't"	"this"	"unusually"	"young"	"age"	"to"	"fill"	"such"	"a"	"responsible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"that"	"the"	"feelings"	"hearts"	"feelings_that"	"that_the"	"the_hearts"	"the_feelings_that"	"feelings_that_the"	"that_the_hearts"	"the_hearts_of"	"DT"	"NNS"	"WDT"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"another"	"thanksgiving"	"draw_near"	"let"	"us"	"take"	"time_out"	"from"	"the"	"often"	"pace"	"of"	"our"	"lives"	"to"	"try"	"and"	"recapture"	"the"	"feelings"	"that"	"fill"	"the"	"hearts"	"of"	"the"	"pilgrims"	"on"	"the"	"first"	"thanksgiving"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"be"	"wholesale"	"be_to"	"to_the"	"the_wholesale"	"it_be_to"	"be_to_the"	"to_the_wholesale"	"the_wholesale_lots"	"PRP"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"should"	"be"	"easier"	"to"	"two"	"spots"	"than"	"it"	"be"	"to"	"fill"	"the"	"wholesale"	"lots"	"that"	"be"	"open"	"last"	"year"	"but"	"so_far"	"it"	"has"	"n't"	"work"	"that"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"morgan"	"the"	"∅"	"dipper"	"∅_morgan"	"morgan_the"	"the_dipper"	"∅_∅_morgan"	"∅_morgan_the"	"morgan_the_dipper"	"the_dipper_from"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fill"	"the"	"dipper"	"from"	"the"	"water"	"bucket"	"on"	"the"	"shelf"	"go_back"	"into"	"the"	"front_room"	"lift"	"the"	"girl"	"head"	"and"	"hold"	"the"	"edge"	"of"	"the"	"dipper"	"to"	"her"	"mouth"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"morgan"	"the"	"∅"	"fire"	"∅_morgan"	"morgan_the"	"the_fire"	"∅_∅_morgan"	"∅_morgan_the"	"morgan_the_fire"	"the_fire_box"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fill"	"the"	"fire"	"box"	"with"	"wood"	"again"	"then"	"start"	"supper"	"and"	"set"	"the"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
