"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"5:00:00:cardinal:00"	"at"	"p.m."	"person"	"for"	"person_at"	"at_p.m."	"p.m._for"	"meet_person_at"	"person_at_p.m."	"at_p.m._for"	"p.m._for_a"	"VB"	"NNP"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"were"	"supposed"	"meet"	"person"	"at"	"nine"	"p.m."	"for"	"a"	"conference"	"concern"	"the"	"ad_campaign"	"for"	"their"	"soap"	"a"	"new"	"angle"	"base"	"on"	"this"	"sx-21"	"stuff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"before"	"and"	"minute"	"spot"	"minute_before"	"before_and"	"and_spot"	"couple_minute_before"	"minute_before_and"	"before_and_spot"	"and_spot_person"	"NN"	"NN"	"IN"	"JJ"	"CC"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"according"	"to"	"person"	"he"	"arrive"	"a"	"couple"	"minute"	"before"	"nine"	"and"	"spot"	"person"	"in"	"the"	"water"	"get"	"a"	"hooked"	"pole"	"from"	"the"	"pool"	"equipment"	"locker"	"and"	"start"	"haul"	"him"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"nearly"	"thirty"	"until"	"."	"until_nearly"	"nearly_thirty"	"thirty_."	"wake_until_nearly"	"until_nearly_thirty"	"nearly_thirty_."	"thirty_._∅"	"VB"	"IN"	"RB"	"JJ"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"did"	"wake"	"until"	"nearly"	"nine"	"thirty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"was"	"o'clock"	"it"	"in"	"it_was"	"was_o'clock"	"o'clock_in"	"∅_it_was"	"it_was_o'clock"	"was_o'clock_in"	"o'clock_in_the"	"ε"	"PRP"	"VBD"	"NN"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"nine"	"o'clock"	"in"	"the"	"morning"	"the"	"hour"	"which"	"like"	"a"	"spade"	"turn"	"clod"	"of"	"earth"	"expose"	"to"	"the"	"day"	"a"	"myriad"	"of"	"busy"	"creature"	"that"	"had"	"lie_dormant"	"in"	"the"	"quiet"	"night"	
"5:00:00:cardinal:00"	"after"	"defeat"	"group"	"and"	"group_after"	"after_defeat"	"defeat_and"	"the_group_after"	"group_after_defeat"	"after_defeat_and"	"defeat_and_a"	"DT"	"NNP"	"IN"	"JJ"	"NN"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"victory"	"be"	"the"	"first"	"the"	"season"	"for"	"the"	"group"	"after"	"nine"	"defeat"	"and"	"a"	"tie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"inning"	"span"	"."	"span_of"	"of_inning"	"inning_."	"a_span_of"	"span_of_inning"	"of_inning_."	"inning_._∅"	"DT"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"person"	"who"	"reach"	"a"	"decade"	"in"	"the"	"big_league"	"come"	"may"	"join"	"six"	"slugger"	"who"	"wallop"	"four"	"home_run"	"in"	"span"	"of"	"inning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"his"	"previous"	"of"	"season"	"of_his"	"his_previous"	"previous_season"	"four_of_his"	"of_his_previous"	"his_previous_season"	"previous_season_person"	"JJ"	"IN"	"PRP$"	"JJ"	"JJ"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"of"	"his"	"nine"	"previous"	"season"	"person"	"hit"	"as_many_as"	"home_run"	"and"	"steal"	"as_many_as"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"number"	","	"room"	"to"	"room_number"	"number_,"	",_to"	",_room_number"	"room_number_,"	"number_,_to"	",_to_initiate"	"ε"	"NN"	"NN"	"NN"	"ε"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"doctor"	"pay"	"the"	"bill"	"and"	"repair_to"	"the"	"hotel"	"room"	"number"	"nine"	"to"	"initiate"	"person"	"further"	"into"	"these"	"undertaking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"∅"	"of"	"∅"	"the"	"∅_∅"	"∅_of"	"of_the"	"∅_∅_∅"	"∅_∅_of"	"∅_of_the"	"of_the_league"	"ε"	"ε"	"ε"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"league"	"team"	"play"	"in"	"baseball"	"park"	"and"	"therefore"	"face"	"an"	"early"	"season"	"conflict"	"in"	"date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"have"	"hundred"	"we"	"and"	"we_have"	"have_hundred"	"hundred_and"	"``_we_have"	"we_have_hundred"	"have_hundred_and"	"hundred_and_eleven"	"ε"	"PRP"	"VB"	"JJ"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"nine"	"hundred"	"and"	"eleven"	"member"	"in"	"our"	"charge"	"mama"	"announce"	"and"	"three"	"hundred"	"and"	"eighty"	"sunday_school"	"scholar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"strike"	","	"clock"	"he"	"clock_strike"	"strike_,"	",_he"	"the_clock_strike"	"clock_strike_,"	"strike_,_he"	",_he_appear"	"DT"	"NN"	"VB"	"JJ"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"next"	"morning"	"the"	"clock"	"strike"	"nine"	"he"	"appear"	"at"	"the"	"council"	"meeting"	"in"	"the"	"location"	"and"	"insist"	"that"	"the"	"couple"	"would"	"have_to"	"be"	"punish"	"if"	"the"	"church"	"was"	"to"	"be"	"respect"	"0"	"0"	"0"	
