"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:42:00::"	"they"	"the"	","	"same"	",_they"	"they_the"	"the_same"	"tandem_,_they"	",_they_the"	"they_the_same"	"the_same_programming"	"NN"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_other_words"	"like"	"automation"	"machines"	"design"	"work"	"in"	"tandem"	"they"	"share"	"the"	"same"	"programming"	"a"	"mutual_understanding"	"not_only"	"of"	"english"	"words"	"but"	"of"	"the"	"four"	"stresses"	"pitches"	"and"	"junctures"	"that"	"can"	"change"	"their"	"meaning"	"from"	"black"	"to"	"white"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"mischa_elman"	"last"	"∅"	"night"	"∅_mischa_elman"	"mischa_elman_last"	"last_night"	"∅_∅_mischa_elman"	"∅_mischa_elman_last"	"mischa_elman_last_night"	"last_night_'s"	"ε"	"ε"	"NNP"	"VB"	"JJ"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"share"	"last"	"night"	"lewisohn_stadium"	"concert"	"with"	"three"	"american"	"composers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"∅"	"the"	"∅"	"program"	"∅_∅"	"∅_the"	"the_program"	"∅_∅_∅"	"∅_∅_the"	"∅_the_program"	"the_program_was"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"program"	"was"	"the"	"young"	"french-canadian"	"tenor"	"richard_verreau"	"making"	"his"	"stadium"	"debut"	"on"	"this"	"occasion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"by"	"her"	","	"experiences"	",_by"	"by_her"	"her_experiences"	"often_,_by"	",_by_her"	"by_her_experiences"	"her_experiences_,"	"RB"	"ε"	"IN"	"VB"	"PRP$"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mother"	"of"	"a"	"difficult"	"child"	"can"	"do"	"a"	"to"	"help"	"her"	"own"	"child"	"and"	"often"	"by"	"share"	"her"	"experiences"	"she"	"can"	"help"	"mothers"	"with"	"the"	"same"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"``"	"the"	"having"	"nudist"	"having_``"	"``_the"	"the_nudist"	"of_having_``"	"having_``_the"	"``_the_nudist"	"the_nudist_way_of_life"	"VB"	"VBG"	"ε"	"VB"	"DT"	"JJ"	"NN"	"help"	"to"	"explain"	"why"	"one"	"matron"	"celebrate"	"thirty-five"	"years"	"of"	"married"	"life"	"could"	"declare"	"with"	"some"	"pride"	"that"	"her"	"husband"	"had"	"never"	"see"	"her"	"entirely"	"naked"	"while"	"another"	"woman"	"boast"	"an"	"equal"	"number"	"of"	"years"	"of"	"married"	"life"	"proud"	"of"	"having"	"share"	"nudist"	"way_of_life"	"the"	"really"	"free"	"natural"	"nude"	"life"	"for"	"most_of"	"that"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"who"	"star"	","	"billing"	",_who"	"who_star"	"star_billing"	"rudy_vallee_,_who"	",_who_star"	"who_star_billing"	"star_billing_with"	"NNP"	"ε"	"WP"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rudy_vallee"	"share"	"star"	"billing"	"with"	"mr._morse"	"make"	"only"	"two"	"appearances"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"and"	"with"	"sam_rayburn"	"him"	"sam_rayburn_and"	"and_with"	"with_him"	"know_sam_rayburn_and"	"sam_rayburn_and_with"	"and_with_him"	"with_him_the"	"VB"	"NNP"	"CC"	"VB"	"IN"	"PRP"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sam_rayburn"	"be"	"one"	"of"	"the"	"greatest"	"american"	"public"	"figures"	"in"	"the"	"history"	"of"	"our"	"country"	"i"	"consider"	"that"	"i"	"have"	"been"	"signally"	"honor"	"in"	"the"	"privilege"	"of"	"know"	"sam_rayburn"	"and"	"share"	"with"	"him"	"the"	"rights"	"and"	"obligations"	"of"	"a"	"member"	"of"	"the"	"house_of_representatives"	"in"	"the"	"congress"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"who"	"the"	","	"1958"	",_who"	"who_the"	"the_1958"	"57_,_who"	",_who_the"	"who_the_1958"	"the_1958_nobel_prize"	"CD"	"ε"	"WP"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"week"	"chicago"	"happily"	"find"	"its"	"top"	"scholar"	"in"	"caltech"	"acting"	"of"	"the"	"faculty"	"dynamic"	"geneticist_george_wells_beadle"	"who"	"share"	"the"	"nobel_prize"	"in"	"medicine"	"and"	"physiology"	"for"	"discover"	"how"	"genes"	"affect"	"heredity"	"by"	"control"	"cell"	"chemistry"	"time"	"cover"	"july_14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"of"	"a"	"sense"	"rare"	"sense_of"	"of_a"	"a_rare"	"magic_sense_of"	"sense_of_a"	"of_a_rare"	"a_rare_experience"	"NN"	"NN"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"once"	"in"	"a"	"very"	"long"	"while"	"come"	"book"	"that"	"give"	"the"	"reader"	"a"	"magic"	"sense"	"of"	"share"	"a"	"rare"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"he"	"the"	"if"	"anticipations"	"if_he"	"he_the"	"the_anticipations"	"that_if_he"	"if_he_the"	"he_the_anticipations"	"the_anticipations_of"	"IN"	"IN"	"PRP"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._philip_toynbee"	"affirm"	"at"	"point"	"that"	"if"	"he"	"share"	"the"	"anticipations"	"of"	"orwell"	"in"	"nineteen"	"eighty-four"	"if"	"he"	"believe"	"communism"	"be"	"not_only"	"evil"	"but"	"also"	"irredeemably"	"evil"	"then"	"he"	"might"	"think"	"it"	"right"	"to"	"do"	"anything"	"rather_than"	"to"	"take"	"the"	"risk"	"of"	"a"	"communist"	"world"	
