"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"3:00:00::"	"the"	"difficulty"	"be"	"of"	"be_the"	"the_difficulty"	"difficulty_of"	"face_be_the"	"be_the_difficulty"	"the_difficulty_of"	"difficulty_of_analysis"	"VB"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"issue"	"that"	"be"	"face"	"be"	"the"	"relative"	"difficulty"	"of"	"analysis"	"of"	"different"	"phonologic"	"subsystem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"effectiveness"	"∅"	"of"	"∅_the"	"the_effectiveness"	"effectiveness_of"	"∅_∅_the"	"∅_the_effectiveness"	"the_effectiveness_of"	"effectiveness_of_voluntary"	"ε"	"ε"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"relative"	"effectiveness"	"of"	"voluntary"	"versus"	"mandatory"	"report"	"of"	"accident"	"statistic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"contribution"	"∅"	"to"	"∅_the"	"the_contribution"	"contribution_to"	"∅_∅_the"	"∅_the_contribution"	"the_contribution_to"	"contribution_to_safety"	"ε"	"ε"	"DT"	"JJ"	"NN"	"TO"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"relative"	"contribution"	"to"	"safety"	"of"	"inspection"	"program"	"embody"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"importance"	"diminish"	"of"	"diminish_the"	"the_importance"	"importance_of"	"often_diminish_the"	"diminish_the_importance"	"the_importance_of"	"importance_of_competitive"	"RB"	"VB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"rapid"	"progress"	"or"	"a"	"technological"	"breakthrough"	"on"	"any"	"one"	"weapon_system"	"in"	"itself"	"often"	"diminish"	"the"	"importance"	"of"	"competitive"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"light"	","	"intensity"	",_the"	"the_light"	"light_intensity"	"/1_,_the"	",_the_light"	"the_light_intensity"	"light_intensity_was"	"CD"	"ε"	"DT"	"JJ"	"NN"	"NN"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"series"	"relative"	"light"	"intensity"	"was"	"vary"	"by"	"vary"	"the"	"distance"	"of"	"the"	"lamp"	"from"	"the"	"reaction"	"cell"	"over"	"the"	"range"	"from"	"to"	"cm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"any"	","	"with"	"include"	"with_any"	"any_,"	",_include"	"live_with_any"	"with_any_,"	"any_,_include"	",_include_both"	"VB"	"IN"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"extension"	"of"	"the"	"group"	"program"	"to"	"child"	"in"	"need"	"live"	"with"	"any"	"relative"	"include"	"both"	"parent"	"as"	"a"	"means"	"of"	"preserve"	"family"	"unity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"merit"	"about"	"of"	"about_the"	"the_merit"	"merit_of"	"argument_about_the"	"about_the_merit"	"the_merit_of"	"merit_of_person"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"big"	"day"	"revive"	"running"	"argument"	"about"	"the"	"relative"	"merit"	"of"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"handful"	"only"	"of"	"only_a"	"a_handful"	"handful_of"	"``_only_a"	"only_a_handful"	"a_handful_of"	"handful_of_such"	"ε"	"RB"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"relative"	"handful"	"of"	"such"	"report"	"was"	"receive"	"the"	"jury"	"say"	"consider"	"the"	"widespread"	"interest"	"in"	"the"	"election"	"the"	"number"	"of"	"voter"	"and"	"the"	"size"	"of_this"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"merit"	"compare"	"of"	"compare_the"	"the_merit"	"merit_of"	"without_compare_the"	"compare_the_merit"	"the_merit_of"	"merit_of_the"	"IN"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"without"	"the"	"relative"	"merit"	"of"	"the"	"two"	"course"	"architecture"	"versus"	"interior_design"	"let"	"us"	"examine"	"the"	"educational"	"need"	"of"	"the"	"interior_designer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"value"	"direction"	"of"	"direction_and"	"and_value"	"value_of"	"the_direction_and"	"direction_and_value"	"and_value_of"	"value_of_the"	"DT"	"NN"	"CC"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"another"	"means"	"should"	"show"	"the"	"direction"	"and"	"relative"	"value"	"of"	"the"	"stress"	"in"	"viscoelastic"	"fluid"	"that"	"is"	"not"	"mention"	"as_such"	"in"	"the"	"literature"	"and"	"that"	"be"	"the"	"shape"	"of"	"the"	"suspended"	"drop"	"of"	"low"	"viscosity"	"fluid"	"in"	"shear"	"field"	
