"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"4:02:01::"	"four"	"and"	"his"	"slightly"	"his_four"	"four_and"	"and_slightly"	"pull_his_four"	"his_four_and"	"four_and_slightly"	"and_slightly_above"	"VB"	"PRP$"	"NN"	"RB"	"CC"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"roger"	"person"	"person"	"call"	"back"	"and"	"his"	"four"	"in"	"and"	"slightly"	"above"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:internal:00"	"your"	"plant"	"to"	"feeding"	"to_your"	"your_plant"	"plant_feeding"	"subsidy_to_your"	"to_your_plant"	"your_plant_feeding"	"plant_feeding_operation"	"NN"	"TO"	"PRP$"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"consider"	"gradual"	"of"	"subsidy"	"to"	"your"	"in"	"plant"	"feeding"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"dribble"	","	"report"	"person"	"report_dribble"	"dribble_,"	",_person"	"as_report_dribble"	"report_dribble_,"	"dribble_,_person"	",_person_toss"	"IN"	"NN"	"VB"	"RB"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"dribble"	"in"	"person"	"toss"	"them"	"into"	"the"	"centrifuge"	"which"	"had"	"become"	"his"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"it"	"because"	"let"	"it"	"let_it"	"it_because"	"because_it"	"must_let_it"	"let_it_because"	"it_because_it"	"because_it_be"	"MD"	"VB"	"PRP"	"RB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"suggest"	"that"	"must"	"let"	"it"	"in"	"because"	"it"	"be"	"the"	"truth"	"but"	"person"	"did"	"not"	"take_to"	"the"	"word"	"truth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"charge"	"on"	"come"	"him"	"come_charge"	"charge_on"	"on_him"	"hour_come_charge"	"come_charge_on"	"charge_on_him"	"on_him_once_more"	"NN"	"VB"	"VB"	"RB"	"IN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old"	"nightmare"	"which"	"had"	"cause"	"so"	"many"	"wakeful"	"hour"	"come"	"charge"	"in"	"on"	"him"	"once_more"	"only"	"this"	"time"	"he"	"could"	"n't"	"pacify"	"it"	"with"	"a"	"sleeping_pill"	"and"	"send"	"it"	"away"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"ride"	"an"	"they"	"hour"	"they_ride"	"ride_an"	"an_hour"	"that_they_ride"	"they_ride_an"	"ride_an_hour"	"an_hour_after"	"RB"	"PRP"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"time"	"it"	"that"	"they"	"ride"	"in"	"an"	"hour"	"after"	"nightfall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"run"	"any"	"people"	"time"	"people_run"	"run_any"	"any_time"	"have_people_run"	"people_run_any"	"run_any_time"	"any_time_they"	"VB"	"NN"	"VB"	"RB"	"DT"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"person"	"intone"	"through"	"his"	"hawk_nose"	"we"	"n't"	"have"	"people"	"run"	"in"	"any"	"time"	"they"	"please"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"look"	"."	"and"	"∅"	"and_look"	"look_."	"._∅"	"it_and_look"	"and_look_."	"look_._∅"	"._∅_∅"	"PRP"	"CC"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"go"	"to"	"the"	"and"	"open"	"it"	"and"	"look"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"shuffle"	"from"	","	"the"	",_shuffle"	"shuffle_from"	"from_the"	"teens_,_shuffle"	",_shuffle_from"	"shuffle_from_the"	"from_the_kitchen"	"NN"	"ε"	"VB"	"RB"	"IN"	"DT"	"NN"	"amazing"	"how"	"they"	"had"	"herd"	"together"	"for"	"protection"	"an"	"enormous"	"matriarch"	"in"	"a"	"quilted"	"silk"	"wrapper"	"rise"	"from"	"the"	"breakfast_table"	"a"	"gross"	"boy"	"in"	"his"	"teens"	"shuffle"	"in"	"the"	"kitchen"	"with"	"a"	"sandwich"	"in"	"his"	"hand"	"a"	"girl"	"in"	"her"	"twenties"	"fat"	"and"	"sullen"	"descend"	"the"	"marble"	"staircase"	"then"	"all"	"four"	"gather"	"on"	"the"	"sofa"	"to"	"face"	"the"	"inquisitor"	
"4:02:00::"	"go"	","	"then"	"while"	"then_go"	"go_,"	",_while"	",_then_go"	"then_go_,"	"go_,_while"	",_while_the"	"ε"	"RB"	"VB"	"RB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"game"	"player"	"see"	"the"	"group"	"film"	"run"	"for"	"then"	"go"	"in"	"while"	"the"	"reserve"	"scrimmage"	"for"	"minute"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
