"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"1:28:00::"	"second"	"in"	"my"	"vientiane"	"my_second"	"second_in"	"in_vientiane"	"be_my_second"	"my_second_in"	"second_in_vientiane"	"in_vientiane_,"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"my"	"second"	"day"	"in"	"vientiane"	"the"	"administrative"	"capital"	"of"	"laos"	"and"	"my"	"thought"	"be"	"none"	"too"	"brave"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"next"	"."	"the"	"∅"	"the_next"	"next_."	"._∅"	"seem_the_next"	"the_next_."	"next_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"quaint"	"it"	"seem"	"the"	"next"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"three"	"("	"in"	"december"	"in_three"	"three_("	"(_december"	"here_in_three"	"in_three_("	"three_(_december"	"(_december_9"	"RB"	"IN"	"JJ"	"NN"	"ε"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"damage"	"had"	"been"	"do"	"in"	"the"	"battle"	"of"	"vientiane"	"fight"	"less_than"	"month"	"earlier"	"when"	"four"	"successive"	"government"	"had"	"rule"	"here"	"in"	"three"	"day"	"december"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:04::;1:28:00::"	"crushing"	"."	"spleen"	"∅"	"spleen_crushing"	"crushing_."	"._∅"	"a_spleen_crushing"	"spleen_crushing_."	"crushing_._∅"	"._∅_∅"	"DT"	"NN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"spleen"	"crushing"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"that"	"they"	"∅"	"loaf"	"∅_that"	"that_they"	"they_loaf"	"∅_∅_that"	"∅_that_they"	"that_they_loaf"	"they_loaf_around"	"ε"	"ε"	"DT"	"NN"	"PRP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"day"	"they"	"loaf"	"around"	"just"	"get"	"the"	"feel"	"of"	"the"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"several"	"and"	"at_least"	"to"	"at_least_several"	"several_and"	"and_to"	"for_at_least_several"	"at_least_several_and"	"several_and_to"	"and_to_make"	"IN"	"RB"	"JJ"	"NN"	"CC"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"should"	"be"	"prepared"	"to"	"stay"	"your"	"shelter"	"full-time"	"for"	"at_least"	"several"	"day"	"and"	"to"	"make"	"it"	"your"	"home"	"for"	"day"	"or"	"longer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"14"	"or"	"for"	"longer"	"for_14"	"14_or"	"or_longer"	"home_for_14"	"for_14_or"	"14_or_longer"	"or_longer_."	"NN"	"IN"	"JJ"	"NN"	"CC"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"should"	"be"	"prepared"	"to"	"stay"	"in"	"your"	"shelter"	"full-time"	"at_least"	"several"	"day"	"and"	"to"	"make"	"it"	"your"	"home"	"for"	"day"	"or"	"longer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:05::"	"old"	"when"	"the"	"we"	"the_old"	"old_when"	"when_we"	"in_the_old"	"the_old_when"	"old_when_we"	"when_we_be"	"VB"	"DT"	"JJ"	"NN"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"were"	"in"	"the"	"old"	"day"	"when"	"we"	"be"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"three"	","	"for"	"their"	"for_three"	"three_,"	",_their"	"∅_for_three"	"for_three_,"	"three_,_their"	",_their_stolid"	"ε"	"IN"	"JJ"	"NN"	"ε"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"day"	"their"	"stolid"	"oxen"	"had"	"plod"	"up"	"a"	"blazing"	"valley"	"as"	"flat"	"and"	"featureless"	"as"	"a"	"dead"	"sea"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"the"	"person"	"of"	"had"	"of_the"	"the_person"	"person_had"	"anniversary_of_the"	"of_the_person"	"the_person_had"	"person_had_go_down"	"NN"	"IN"	"DT"	"NN"	"NNP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"korean_war"	"begin"	"on"	"june"	"the"	"of"	"the"	"day"	"person"	"had"	"go_down"	"fight"	"at"	"the"	"location"	"and"	"the"	"day"	"the"	"regiment"	"had"	"assault"	"the"	"beachhead"	"of"	"leyte"	"during"	"world_war_2"	"the"	"group"	"be"	"not"	"in"	"the"	"best"	"fighting"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
