"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:32:00::"	"owen"	","	","	"``"	",_owen"	"owen_,"	",_``"	"''_,_owen"	",_owen_,"	"owen_,_``"	",_``_but"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"n't"	"know"	"much"	"them"	"owen"	"admit"	"but"	"i"	"suppose"	"they"	"have"	"their"	"own"	"religion"	"and"	"they"	"probably"	"resent"	"outsiders"	"come_in"	"and"	"tell"	"them"	"what"	"to"	"do"	"and"	"what"	"not"	"to"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"statements"	"this"	"make"	"''"	"make_statements"	"statements_this"	"this_''"	"defendants_make_statements"	"make_statements_this"	"statements_this_''"	"this_''_?"	"NNS"	"VB"	"NNS"	"VB"	"DT"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"judge_parsons"	"lean"	"over"	"the"	"bench"	"and"	"inquire"	"you"	"mean"	"some"	"of"	"defendants"	"make"	"statements"	"admit"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"wexler"	"in"	"∅"	"earlier"	"∅_wexler"	"wexler_in"	"in_earlier"	"∅_∅_wexler"	"∅_wexler_in"	"wexler_in_earlier"	"in_earlier_court"	"ε"	"ε"	"NNP"	"VB"	"IN"	"RBR"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"admit"	"in"	"earlier"	"court"	"hearings"	"that"	"he"	"issue"	"grand_jury"	"subpenas"	"to"	"about"	"persons"	"involve"	"in"	"the"	"election"	"investigation"	"question"	"the"	"individuals"	"in"	"the"	"criminal_courts"	"building"	"but"	"did"	"not"	"take"	"them"	"before"	"the"	"grand_jury"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"liberals"	"that"	"the"	"the"	"the_liberals"	"liberals_that"	"that_the"	",_the_liberals"	"the_liberals_that"	"liberals_that_the"	"that_the_humphrey"	"ε"	"DT"	"NNS"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"privately"	"liberals"	"admit"	"that"	"the"	"humphrey"	"amendment"	"have"	"no"	"chance"	"of"	"passage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"''"	"to"	"guerrillas"	"be"	"guerrillas_''"	"''_to"	"to_be"	"``_guerrillas_''"	"guerrillas_''_to"	"''_to_be"	"to_be_``"	"ε"	"NNS"	"ε"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"no"	"casualties"	"but"	"guerrillas"	"admit"	"to"	"be"	"a_little"	"tired"	"when"	"the"	"leaders"	"call"	"a"	"halt"	"at"	"a._m."	"to"	"enable"	"out-of-town"	"members"	"to"	"catch"	"a"	"plane"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"wavers"	"that"	"confederate_flag"	"the"	"confederate_flag_wavers"	"wavers_that"	"that_the"	"of_confederate_flag_wavers"	"confederate_flag_wavers_that"	"wavers_that_the"	"that_the_old_southern"	"IN"	"NN"	"NNS"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_but"	"the_most"	"of"	"confederate_flag"	"wavers"	"admit"	"that"	"the"	"old_southern"	"tradition"	"be"	"defunct"	"in"	"actuality"	"and"	"sigh"	"that"	"its"	"passing"	"was_accompanied_by"	"the"	"disappearance"	"of"	"many"	"genteel"	"and"	"aristocratic"	"traditions"	"of"	"the"	"reputedly"	"languid"	"ante-bellum"	"way_of_life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"their"	"now"	"potency"	"now_to"	"to_their"	"their_potency"	"relieved_now_to"	"now_to_their"	"to_their_potency"	"their_potency_and"	"JJ"	"RB"	"TO"	"VB"	"PRP$"	"NN"	"CC"	"too"	"long"	"in"	"deliberate"	"ignorance"	"and"	"denial"	"of"	"the"	"forces"	"that"	"threaten"	"her"	"pamela"	"be"	"relieved"	"now"	"admit"	"their"	"potency"	"and"	"to"	"be"	"take"	"definite"	"steps"	"toward"	"grapple"	"with"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"it"	"now"	"proudly"	"now_and"	"and_it"	"it_proudly"	"40_now_and"	"now_and_it"	"and_it_proudly"	"it_proudly_,"	"CD"	"RB"	"CC"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"league"	"of"	"women"	"now"	"and"	"admit"	"it"	"proudly"	"is"	"invite"	"financial"	"contributions"	"in"	"the"	"windup"	"of"	"its"	"fund"	"drive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"ryan"	"."	","	"∅"	",_ryan"	"ryan_."	"._∅"	"''_,_ryan"	",_ryan_."	"ryan_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"uh-huh"	"ryan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"captain"	"."	"the"	"∅"	"the_captain"	"captain_."	"._∅"	",_the_captain"	"the_captain_."	"captain_._∅"	"._∅_∅"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maybe"	"the"	"admit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
