"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:14:00::"	"increasing"	"of"	"ever"	"sportsman"	"ever_increasing"	"increasing_of"	"of_sportsman"	"and_ever_increasing"	"ever_increasing_of"	"increasing_of_sportsman"	"of_sportsman_is"	"CC"	"RB"	"JJ"	"NN"	"IN"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"long"	"ever"	"increasing"	"column"	"of"	"sportsman"	"is"	"now"	"move_into"	"a"	"new"	"era"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"same"	"or"	"the"	"grade"	"the_same"	"same_or"	"or_grade"	"in_the_same"	"the_same_or"	"same_or_grade"	"or_grade_,"	"IN"	"DT"	"JJ"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"now"	"we"	"count"	"the"	"frequency"	"of"	"item"	"in"	"the"	"two"	"language"	"appear"	"in"	"the"	"same"	"column"	"or"	"grade"	"or"	"one"	"column"	"or"	"grade"	"apart"	"or"	"two"	"or"	"three"	"or"	"four"	"we"	"find"	"these"	"difference"	"f"	"this"	"distribution"	"can"	"be"	"summarize"	"by"	"average"	"the"	"distance"	"in"	"grade"	"apart"	"f"	"which"	"divide"	"by"	"f"	"give"	"a"	"mean"	"of"	"grade"	"apart"	
"1:14:01::"	"one"	"or"	"or"	"grade"	"or_one"	"one_or"	"or_grade"	",_or_one"	"or_one_or"	"one_or_grade"	"or_grade_apart"	"ε"	"CC"	"JJ"	"NN"	"CC"	"NN"	"RB"	"0"	"when"	"now"	"we"	"count"	"the"	"frequency"	"of"	"the"	"item"	"in"	"the"	"two"	"language"	"family"	"appear"	"in"	"the"	"same"	"column"	"or"	"grade"	"one"	"or"	"grade"	"apart"	"or"	"two"	"or"	"three"	"or"	"four"	"we"	"find"	"these"	"difference"	"f"	"this"	"distribution"	"can"	"be"	"summarize"	"by"	"average"	"the"	"distance"	"in"	"grade"	"apart"	"f"	"which"	"divide"	"by"	"f"	"give"	"a"	"mean"	"of"	"grade"	"apart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"their"	"had"	"of"	"already"	"of_their"	"their_had"	"had_already"	"front_of_their"	"of_their_had"	"their_had_already"	"had_already_pass"	"NN"	"IN"	"PRP$"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"their"	"column"	"had"	"already"	"pass"	"us"	"when"	"another"	"officer"	"come"	"ride"	"down"	"the"	"side"	"of"	"the"	"road"	"not"	"five"	"pace"	"from"	"where"	"we"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"british"	","	"slow-moving"	"but"	"slow-moving_british"	"british_,"	",_but"	"the_slow-moving_british"	"slow-moving_british_,"	"british_,_but"	",_but_another"	"DT"	"JJ"	"NN"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"some"	"feel"	"we"	"should"	"march"	"toward"	"location"	"and"	"new"	"ahead"	"of"	"the"	"slow-moving"	"british"	"column"	"but"	"another"	"group"	"maintain"	"that"	"we"	"should"	"stick"	"to"	"this"	"spot"	"and"	"this"	"section"	"of"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:02::"	"deae_cellulose"	"."	"a"	"∅"	"a_deae_cellulose"	"deae_cellulose_."	"._∅"	"through_a_deae_cellulose"	"a_deae_cellulose_."	"deae_cellulose_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"treatment"	"by"	"which"	"nonspecific"	"staining"	"be"	"satisfactorily"	"remove"	"be"	"by"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:02::"	"deae_cellulose"	"and"	"a"	"in"	"a_deae_cellulose"	"deae_cellulose_and"	"and_in"	"through_a_deae_cellulose"	"a_deae_cellulose_and"	"deae_cellulose_and_in"	"and_in_some"	"IN"	"DT"	"NN"	"NN"	"CC"	"IN"	"JJ"	"work"	"the"	"best"	"procedure"	"for"	"remove"	"substance"	"cause"	"nonspecific"	"staining"	"in_order"	"to"	"obtain"	"specific"	"conjugate"	"was"	"to"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"and"	"in"	"some"	"case"	"to"	"absorb"	"the"	"first"	"and"	"second"	"milliliter"	"fraction"	"with"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"letter"	"of"	"the"	"a"	"the_letter"	"letter_of"	"of_a"	"in_the_letter"	"the_letter_of"	"letter_of_a"	"of_a_newspaper"	"IN"	"DT"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"item"	"the"	"letter"	"column"	"of"	"a"	"newspaper"	"renew"	"a"	"subscription"	"add"	"i"	"personally"	"enjoy"	"your"	"newspaper"	"as_much_as"	"my"	"husband"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:02::"	"the"	"were"	"from"	"concentrate"	"from_the"	"the_were"	"were_concentrate"	"fraction_from_the"	"from_the_were"	"the_were_concentrate"	"were_concentrate_by"	"NN"	"IN"	"DT"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"protein"	"identification"	"from"	"the"	"column"	"were"	"concentrate"	"by"	"pervaporation"	"against"	"a"	"stream"	"of"	"air"	"at"	"c"	"or"	"by"	"negative"	"pressure"	"dialysis"	"in"	"an"	"apparatus"	"which"	"permit"	"simultaneous"	"concentration"	"of"	"the"	"protein"	"and"	"dialysis"	"against"	"isotonic"	"saline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:25:02::"	"the"	"which"	"from"	"were"	"from_the"	"the_which"	"which_were"	"fraction_from_the"	"from_the_which"	"the_which_were"	"which_were_to"	"NN"	"IN"	"DT"	"NN"	"WDT"	"VBD"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fraction"	"the"	"column"	"which"	"were"	"to"	"be"	"subject"	"to"	"analytical"	"ultracentrifugation"	"were"	"concentrate"	"by"	"negative"	"pressure"	"dialysis"	"and"	"dialyze"	"for"	"hr"	"in"	"the"	"cold"	"against"	"at_least"	"volume"	"of"	"phosphate"	"buffer"	"saline"	"ph"	"ionic"	"strength"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:02::"	"the"	"were"	"from"	"concentrate"	"from_the"	"the_were"	"were_concentrate"	"fraction_from_the"	"from_the_were"	"the_were_concentrate"	"were_concentrate_by"	"NN"	"IN"	"DT"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"preparative"	"ultracentrifugation"	"from"	"the"	"column"	"were"	"concentrate"	"by"	"negative"	"pressure"	"dialysis"	"to"	"volume"	"of"	"ml"	"or"	"less"	"transfer"	"to"	"cellulose"	"tube"	"and"	"dilute"	"to"	"ml"	"with"	"isotonic"	"saline"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
