"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:33:00::"	"of"	"life"	"ways"	","	"ways_of"	"of_life"	"life_,"	",_ways_of"	"ways_of_life"	"of_life_,"	"life_,_and"	"ε"	"NNS"	"IN"	"VB"	"NN"	"ε"	"CC"	"his"	"colleague"	"george_herbert_palmer"	"glorious"	"old"	"palmer"	"as"	"he"	"address"	"him"	"james"	"say"	"that"	"if"	"only"	"the"	"students"	"at"	"harvard"	"could"	"really"	"understand"	"royce"	"santayana"	"palmer"	"and"	"himself"	"and"	"see"	"that"	"their"	"varying"	"systems"	"so"	"many"	"religions"	"ways"	"of"	"front"	"life"	"worth"	"fight"	"for"	"then"	"harvard"	"would"	"have"	"a"	"genuine"	"philosophic"	"universe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of"	"to"	"the"	"to_the"	"the_of"	"of_the"	"walk_around_to_the"	"to_the_of"	"the_of_the"	"of_the_car"	"VB"	"TO"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"grin"	"nod"	"and"	"to"	"the"	"front"	"of"	"the"	"car"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"busted"	"spring"	"a"	"."	"a_busted"	"busted_spring"	"spring_."	"have_got_a_busted"	"a_busted_spring"	"busted_spring_."	"spring_._∅"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"might"	"get"	"there"	"faster"	"walk"	"person"	"drawl"	"see"	"as"	"how"	"have_got"	"a"	"busted"	"front"	"spring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"left"	"mudguard"	"the"	"bang"	"the_left"	"left_mudguard"	"mudguard_bang"	",_the_left"	"the_left_mudguard"	"left_mudguard_bang"	"mudguard_bang_and"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"car"	"lurch"	"along"	"at"	"snail"	"crawl"	"the"	"left"	"front"	"mudguard"	"bang"	"and"	"scrape"	"against"	"the"	"tire"	"occasionally"	"scrape"	"against"	"the"	"road"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"steps"	"stay_on"	"when"	"stay_on_the"	"the_steps"	"steps_when"	"not_stay_on_the"	"stay_on_the_steps"	"the_steps_when"	"steps_when_person"	"RB"	"VB"	"DT"	"JJ"	"NN"	"WRB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"person"	"not"	"stay_on"	"the"	"front"	"steps"	"when"	"person"	"disappear"	"into"	"the"	"building"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of"	"∅"	"their"	"∅_the"	"the_of"	"of_their"	"∅_∅_the"	"∅_the_of"	"the_of_their"	"of_their_column"	"ε"	"ε"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"front"	"of"	"their"	"column"	"had"	"already"	"pass"	"us"	"when"	"another"	"officer"	"come"	"ride"	"down"	"the"	"side"	"of"	"the"	"road"	"not"	"five"	"pace"	"from"	"where"	"we"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	","	"need"	"some"	"need_a"	"a_,"	",_some"	"person_need_a"	"need_a_,"	"a_,_some"	",_some_labor"	"NNP"	"VB"	"DT"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"front"	"some"	"labor"	"stiff"	"with"	"a"	"clean"	"record"	"to"	"act_as"	"business_agent"	"of"	"the"	"group"	"local"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"window"	"at"	"in"	"at_the"	"the_window"	"window_in"	"sit_at_the"	"at_the_window"	"the_window_in"	"window_in_his"	"VB"	"RB"	"RB"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"sit"	"the"	"front"	"window"	"in"	"his"	"parent"	"room"	"he"	"see"	"person"	"come_out"	"of"	"her"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"your"	"leg"	"straighten"	","	"straighten_your"	"your_leg"	"leg_,"	"by_straighten_your"	"straighten_your_leg"	"your_leg_,"	"leg_,_without"	"IN"	"VB"	"PRP$"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"raise"	"the"	"by"	"straighten"	"your"	"front"	"leg"	"without"	"move"	"your"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"thigh"	"so_that"	"of"	"so_that_the"	"the_thigh"	"thigh_of"	"leg_so_that_the"	"so_that_the_thigh"	"the_thigh_of"	"thigh_of_the"	"NN"	"RB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"you"	"have"	"take_a_breather"	"reverse"	"position"	"your"	"leg"	"so_that"	"the"	"front"	"thigh"	"of"	"the"	"previous"	"exercise"	"be"	"now"	"to"	"the"	"rear"	"and"	"the"	"rear"	"thigh"	"now"	"to"	"the"	"front"	"and"	"perform"	"the"	"same"	"movement"	"in"	"the"	"same"	"manner"	
