"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"5:00:00:impermanent:00"	"a"	"but"	"by"	"urgent"	"by_a"	"a_but"	"but_urgent"	"trigger_by_a"	"by_a_but"	"a_but_urgent"	"but_urgent_emotional"	"VB"	"IN"	"DT"	"JJ"	"CC"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"some"	"case"	"however"	"domination"	"of"	"the"	"sex_act"	"by"	"partner"	"can"	"be"	"temporary"	"trigger"	"by"	"a"	"passing"	"but"	"urgent"	"emotional"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"her"	"."	"over"	"∅"	"over_her"	"her_."	"._∅"	"grief_over_her"	"over_her_."	"her_._∅"	"._∅_∅"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_doubt"	"person"	"had"	"snub"	"him"	"many_a"	"and"	"he"	"feel"	"no"	"grief"	"over"	"her"	"passing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"than"	"."	"rather"	"∅"	"rather_than"	"than_."	"._∅"	",_rather_than"	"rather_than_."	"than_._∅"	"._∅_∅"	"ε"	"RB"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"person"	"at"	"the"	"helm"	"the"	"group"	"are"	"expect"	"put"	"more"	"emphasis"	"on"	"running"	"rather"	"than"	"passing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"and"	"."	"running"	"∅"	"running_and"	"and_."	"._∅"	"between_running_and"	"running_and_."	"and_._∅"	"._∅_∅"	"IN"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"however"	"be"	"a"	"strong"	"advocate"	"of"	"a"	"attack"	"split"	"between"	"running"	"and"	"passing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"total"	"yardage"	"their"	"in"	"their_total"	"total_yardage"	"yardage_in"	"percent_their_total"	"their_total_yardage"	"total_yardage_in"	"yardage_in_three"	"NN"	"PRP$"	"NN"	"NN"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"their"	"first"	"three"	"game"	"the"	"group"	"have"	"have"	"the"	"ball"	"and"	"score"	"time"	"or"	"percent"	"their"	"total"	"passing"	"yardage"	"in"	"three"	"game"	"on"	"completion"	"in"	"attempt"	"be"	"only"	"yard"	"short"	"of"	"their"	"total"	"passing"	"yardage"	"in"	"when"	"they"	"make"	"on"	"completion"	"in"	"try"	
"1:04:03::"	"total"	"yardage"	"their"	"in"	"their_total"	"total_yardage"	"yardage_in"	"of_their_total"	"their_total_yardage"	"total_yardage_in"	"yardage_in_1959"	"IN"	"PRP$"	"NN"	"NN"	"NN"	"IN"	"CD"	"first"	"three"	"game"	"the"	"group"	"have"	"have"	"the"	"ball"	"time"	"and"	"score"	"time"	"or"	"percent"	"their"	"total"	"passing"	"yardage"	"in"	"three"	"game"	"on"	"completion"	"in"	"attempt"	"be"	"only"	"yard"	"short"	"of"	"their"	"total"	"passing"	"in"	"when"	"they"	"make"	"on"	"completion"	"in"	"try"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"447"	")"	"and"	"a"	"and_447"	"447_)"	")_a"	"rushing_and_447"	"and_447_)"	"447_)_a"	")_a_new"	"NN"	"CC"	"CD"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"yard"	"spree"	"against"	"group"	"give"	"the"	"group"	"a"	"game"	"total"	"offense"	"yard"	"rushing"	"and"	"passing"	"a"	"new"	"group"	"high"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"yard"	"("	"64"	"on"	"64_yard"	"yard_("	"(_on"	"with_64_yard"	"64_yard_("	"yard_(_on"	"(_on_5"	"IN"	"CD"	"NN"	"NN"	"ε"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"combine"	"yard"	"with"	"yard"	"passing"	"on"	"completion"	"in"	"toss"	"and"	"a"	"tough"	"defense"	"to"	"whip"	"group"	"and"	"group"	"with"	"a"	"point"	"bulge"	"against"	"group"	"run_up"	"its"	"biggest"	"total"	"loop"	"play"	"since"	"0"	"0"	"0"	"0"	
"1:04:03::"	"and"	"149"	","	"("	",_and"	"and_149"	"149_("	"yard_,_and"	",_and_149"	"and_149_("	"149_(_to"	"NN"	"ε"	"CC"	"NN"	"CD"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"lead"	"in"	"per"	"game"	"average"	"yard"	"and"	"passing"	"to"	"group"	"but"	"idle"	"group"	"have"	"the"	"best"	"defensive"	"record"	"yard"	"per"	"game"	"to"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:moving:02"	"a"	"cyclist"	"at"	"cause"	"at_a"	"a_cyclist"	"cyclist_cause"	"anger_at_a"	"at_a_cyclist"	"a_cyclist_cause"	"cyclist_cause_him"	"NN"	"IN"	"DT"	"JJ"	"NN"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"something"	"of"	"this"	"can"	"be"	"learn"	"from"	"the_way_to_the_churchyard"	"an"	"anecdote"	"about"	"an"	"failure"	"whose"	"fit"	"of"	"anger"	"at"	"a"	"passing"	"cyclist"	"cause"	"him"	"to"	"die"	"of"	"a"	"stroke"	"or"	"seizure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
