"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"2:30:00::"	"faculty"	"very"	"lay"	"clearly"	"lay_faculty"	"faculty_very"	"very_clearly"	"of_lay_faculty"	"lay_faculty_very"	"faculty_very_clearly"	"very_clearly_in"	"IN"	"JJ"	"NN"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"above"	"mention"	"report"	"of"	"the"	"notre_dame"	"chapter"	"of"	"the"	"american_association"	"university_professors"	"the"	"basic"	"outlook"	"of"	"the"	"new"	"breed"	"of"	"lay"	"faculty"	"emerge"	"very"	"clearly"	"in"	"the"	"very"	"statement"	"of"	"the"	"problem"	"as"	"the"	"members"	"see"	"it"	"even"	"with"	"the"	"best"	"of"	"intentions"	"he"	"the"	"president"	"of"	"the"	"university"	"be"	"loath"	"to"	"delegate"	"such"	"authority"	"and"	"responsibility"	"to"	"a"	"group"	"the"	"membership"	"of_which"	"consider"	"as"	"it"	"must"	"be"	"by"	"him"	"in"	"individual"	"terms"	"be"	"inhomogeneous"	"mortal"	"and"	"of"	"extremely"	"varying"	"temperament"	"interests"	"and"	"capabilities"	
"2:30:00::"	"slowly"	"even"	"were"	"before"	"were_slowly"	"slowly_even"	"even_before"	"that_were_slowly"	"were_slowly_even"	"slowly_even_before"	"even_before_the"	"WDT"	"VBD"	"RB"	"VB"	"RB"	"IN"	"DT"	"of"	"gradual"	"changes"	"that"	"have"	"affect"	"the"	"negro"	"have"	"be"	"his"	"move"	"up"	"row"	"by"	"row"	"in"	"the"	"busses"	"his"	"request"	"and"	"often"	"get"	"higher"	"wages"	"better"	"working"	"conditions"	"better"	"schools"	"changes"	"that"	"were"	"slowly"	"emerge"	"before"	"the"	"supreme_court"	"decision"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"and"	","	"cocoon"	"tuck"	"cocoon_and"	"and_,"	",_tuck"	"his_cocoon_and"	"cocoon_and_,"	"and_,_tuck"	",_tuck_alacrity"	"PRP$"	"NN"	"CC"	"VB"	"ε"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._podger"	"open"	"cocoon"	"and"	"emerge"	"tuck"	"alacrity"	"under"	"his"	"arm"	"to"	"bring"	"her"	"in"	"by"	"the"	"fire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"∅"	"from"	"∅"	"the"	"∅_∅"	"∅_from"	"from_the"	"∅_∅_∅"	"∅_∅_from"	"∅_from_the"	"from_the_two"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"two"	"centuries"	"of"	"colonial"	"domination"	"the"	"afro-asian"	"world"	"be"	"aflame"	"with"	"a"	"nationalism"	"that"	"has"	"undo"	"empires"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"from"	"element"	"the"	"element_to"	"to_from"	"from_the"	"the_most_element_to"	"element_to_from"	"to_from_the"	"from_the_oslo"	"RB"	"NN"	"TO"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_most"	"to"	"emerge"	"from"	"the"	"oslo"	"meeting"	"of"	"north_atlantic_treaty_organization"	"foreign_ministers"	"has"	"be"	"the"	"freer"	"franker"	"and"	"wider"	"discussions"	"animated"	"by"	"much"	"better"	"mutual_understanding"	"than"	"in"	"past"	"meetings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"zen"	"."	"of_which"	"∅"	"of_which_zen"	"zen_."	"._∅"	"out_of_which_zen"	"of_which_zen_."	"zen_._∅"	"._∅_∅"	"IN"	"RB"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"in_brief"	"be"	"the"	"historical"	"out"	"of_which"	"zen"	"emerge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"who"	"as"	"sure"	"the"	"sure_who"	"who_as"	"as_the"	"not_sure_who"	"sure_who_as"	"who_as_the"	"as_the_main"	"RB"	"JJ"	"WP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"be"	"sure"	"who"	"emerge"	"as"	"the"	"main"	"personality"	"of_this"	"book"	"mijbil"	"with"	"his"	"rollicking"	"ways"	"or"	"maxwell"	"himself"	"poet"	"portrait_painter"	"writer"	"journalist"	"traveller"	"and"	"zoologist"	"sensitive"	"but"	"never"	"sentimental"	"recorder"	"of"	"an"	"unusual"	"way_of_life"	"in"	"a"	"language"	"at_once"	"lyrical"	"and"	"forceful"	"vivid"	"and"	"unabashed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"few"	"in"	","	"the"	",_few"	"few_in"	"in_the"	"state_,_few"	",_few_in"	"few_in_the"	"in_the_west"	"NN"	"ε"	"JJ"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"millions"	"who"	"have"	"serve"	"time"	"in"	"concentration_camps"	"siberia"	"as"	"political_prisoners"	"of"	"the"	"soviet"	"state"	"few"	"emerge"	"in"	"the"	"west"	"to"	"tell"	"about"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	","	"from"	"wake_up"	"under"	"wake_up_,"	",_from"	"from_under"	"district_attorney_wake_up_,"	"wake_up_,_from"	",_from_under"	"from_under_the"	"NN"	"VB"	"ε"	"VB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_little"	"later"	"district_attorney"	"wake_up"	"emerge"	"from"	"under"	"the"	"couch"	"look"	"at"	"his"	"watch"	"and"	"realize"	"he"	"have"	"an"	"engagement"	"that"	"very"	"hour"	"to"	"address"	"a"	"meeting"	"of"	"the"	"culture_forum"	"on"	"the"	"civic_spirit"	"of"	"the"	"southland"	"in"	"the"	"byzantine"	"room"	"of"	"the"	"hotel"	"where"	"his"	"wife"	"as"	"president"	"of"	"the"	"forum"	"was"	"to"	"preside"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"has"	"within"	"that"	"governmental"	"that_has"	"has_within"	"within_governmental"	"form_that_has"	"that_has_within"	"has_within_governmental"	"within_governmental_bureaucracy"	"NN"	"WDT"	"VBZ"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"corporation"	"in"	"america"	"be"	"in_reality"	"our"	"form"	"of"	"vie"	"in_a_sense"	"with"	"the"	"socialistic"	"form"	"that"	"has"	"emerge"	"within"	"governmental"	"bureaucracy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
