"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"1:18:00::"	"and"	"of"	"officer"	"the"	"officer_and"	"and_of"	"of_the"	"such_officer_and"	"officer_and_of"	"and_of_the"	"of_the_department_of_justice"	"JJ"	"NN"	"CC"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"attorney_general"	"shall"	"such"	"officer"	"and"	"employee"	"of"	"the"	"department_of_justice"	"as"	"may"	"be"	"necessary"	"to"	"represent"	"the"	"united_states"	"as"	"to"	"any"	"claim"	"of"	"the"	"government"	"of"	"the"	"united_states"	"with_respect_to"	"which"	"the"	"commission"	"have"	"jurisdiction"	"under"	"this"	"title"	
"1:18:00::"	"or"	"with_respect_to"	","	"such"	",_or"	"or_with_respect_to"	"with_respect_to_such"	"agent_,_or"	",_or_with_respect_to"	"or_with_respect_to_such"	"with_respect_to_such_payment"	"NN"	"ε"	"CC"	"NN"	"JJ"	"JJ"	"NN"	"secretary_of_the_treasury"	"or"	"the"	"comptroller_general"	"of"	"the"	"united_states"	"as"	"the"	"case"	"may"	"be"	"shall"	"find"	"that"	"any"	"person"	"be"	"entitled"	"to"	"any"	"such"	"payment"	"after"	"such"	"payment"	"shall"	"have"	"been"	"receive"	"by"	"such"	"person"	"it"	"shall"	"be"	"an"	"absolute"	"bar"	"to"	"recovery"	"by"	"any"	"person"	"against"	"the"	"united_states"	"officer"	"agent"	"or"	"employee"	"with_respect_to"	"payment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"your"	"publication"	"for"	"?"	"for_your"	"your_publication"	"publication_?"	"objective_for_your"	"for_your_publication"	"your_publication_?"	"publication_?_∅"	"NN"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"set"	"objective"	"for"	"your"	"employee"	"publication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"toward"	"benefit"	"attitude"	"encourage"	"attitude_toward"	"toward_benefit"	"benefit_encourage"	"your_attitude_toward"	"attitude_toward_benefit"	"toward_benefit_encourage"	"benefit_encourage_an"	"PRP$"	"NN"	"IN"	"NN"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"attitude"	"toward"	"employee"	"benefit"	"encourage"	"an"	"excess"	"of"	"free"	"government"	"work"	"in"	"your"	"plant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"for"	"?"	"service"	"∅"	"service_for"	"for_?"	"?_∅"	"buying_service_for"	"service_for_?"	"for_?_∅"	"?_∅_∅"	"NN"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"your"	"purchasing_agent"	"offer"	"free"	"buying"	"service"	"for"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"sure"	"have"	"make"	"a"	"make_sure"	"sure_have"	"have_a"	"you_make_sure"	"make_sure_have"	"sure_have_a"	"have_a_choice"	"PRP"	"VB"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"negotiate"	"with"	"your"	"do"	"you"	"make"	"sure"	"employee"	"have"	"a"	"choice"	"between"	"new"	"benefit"	"and"	"their"	"cent"	"per"	"hour"	"cost"	"in"	"wage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"additional"	"benefit"	"any"	"to"	"any_additional"	"additional_benefit"	"benefit_to"	"restrict_any_additional"	"any_additional_benefit"	"additional_benefit_to"	"benefit_to_those"	"VB"	"DT"	"JJ"	"NN"	"NN"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"you"	"restrict"	"any"	"additional"	"employee"	"benefit"	"to"	"those"	"pay"	"for"	"by"	"profit_sharing"	"money"	"such_as"	"was"	"do"	"in"	"the"	"union"	"contract"	"recently"	"sign"	"by"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"your"	"understand"	"do"	"all"	"do_your"	"your_understand"	"understand_all"	"∅_do_your"	"do_your_understand"	"your_understand_all"	"understand_all_the"	"ε"	"VBP"	"PRP$"	"NN"	"VB"	"PDT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"employee"	"understand"	"all"	"the"	"benefit"	"to"	"which"	"your"	"insurance"	"entitle"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"of"	"contribute"	"principle"	"("	"principle_of"	"of_contribute"	"contribute_("	"the_principle_of"	"principle_of_contribute"	"of_contribute_("	"contribute_(_as"	"DT"	"NN"	"IN"	"NN"	"VB"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"you"	"try"	"maintain"	"the"	"principle"	"of"	"employee"	"contribute"	"as"	"oppose"	"to"	"fully"	"company"	"paid"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"cafeteria"	"?"	"of"	"∅"	"of_cafeteria"	"cafeteria_?"	"?_∅"	"number_of_cafeteria"	"of_cafeteria_?"	"cafeteria_?_∅"	"?_∅_∅"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"consider"	"use"	"vending"	"equipment"	"replace"	"or"	"reduce"	"the"	"number"	"of"	"cafeteria"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
