"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:31:00::"	"be"	","	"to"	"mrs._marr"	"to_be"	"be_,"	",_mrs._marr"	"problems_to_be"	"to_be_,"	"be_,_mrs._marr"	",_mrs._marr_'s"	"NNS"	"TO"	"VB"	"VB"	"ε"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"day"	"start"	"early"	"but"	"no_matter_how"	"many"	"pressing"	"letters"	"there"	"be"	"to"	"be"	"write"	"and"	"during"	"may"	"which"	"be"	"national"	"salvation_army"	"week"	"be"	"plenty"	"schedules"	"to"	"be"	"make"	"or"	"problems"	"to"	"be"	"solve"	"mrs._marr"	"office"	"be"	"always"	"open"	"and"	"the"	"welcome_mat"	"be"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"itself"	"the"	"of"	"two"	"of_itself"	"itself_the"	"the_two"	"not_of_itself"	"of_itself_the"	"itself_the_two"	"the_two_major"	"RB"	"IN"	"PRP"	"VB"	"DT"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"placement"	"of"	"your"	"pool"	"will"	"not"	"of"	"itself"	"solve"	"the"	"two"	"major"	"problems"	"of"	"pool"	"owning"	"those"	"that"	"involve"	"your"	"social"	"life"	"and"	"those"	"pertain"	"to"	"safety"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"the"	"faith"	"endless"	"faith_to"	"to_the"	"the_endless"	"of_faith_to"	"faith_to_the"	"to_the_endless"	"the_endless_problems"	"IN"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NNS"	"ago"	"trouble"	"by"	"the"	"rising_tide"	"of"	"materialism"	"in"	"the"	"world"	"a"	"businessman"	"and"	"a"	"minister"	"ask"	"themselves"	"if"	"there"	"might_not"	"be"	"a"	"place"	"for"	"a"	"small"	"magazine"	"in_which"	"men"	"and"	"women"	"regardless_of"	"creed"	"or"	"color"	"could"	"set_forth"	"boldly"	"their"	"religious"	"convictions"	"and"	"bear_witness"	"to"	"the"	"power"	"of"	"faith"	"to"	"the"	"endless"	"problems"	"of"	"live"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"the"	"try"	"great"	"try_to"	"to_the"	"the_great"	"to_try_to"	"try_to_the"	"to_the_great"	"the_great_cosmic"	"TO"	"VB"	"VB"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"business"	"of"	"cosmologists"	"the"	"scientists"	"who"	"study"	"nature"	"and"	"structure"	"of"	"the"	"universe"	"to"	"try"	"to"	"solve"	"the"	"great"	"cosmic"	"mysteries"	"by"	"use"	"keys"	"that"	"have"	"click_open"	"doors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"the"	"program"	"problems"	"program_to"	"to_the"	"the_problems"	"any_program_to"	"program_to_the"	"to_the_problems"	"the_problems_of"	"DT"	"NN"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"sum"	"spend"	"for"	"foreign"	"economic"	"aid"	"the"	"peace_corps"	"for"	"peace"	"or"	"any"	"program"	"to"	"solve"	"the"	"problems"	"of"	"the"	"underdeveloped"	"countries"	"would"	"be"	"an"	"investment"	"that"	"would"	"pay_off"	"in"	"world"	"peace"	"increased"	"world"	"trade"	"and"	"prosperity"	"for"	"every"	"country"	"on"	"the"	"globe"	
"2:31:00::"	"for"	"marital"	"processes"	"differences"	"processes_for"	"for_marital"	"marital_differences"	"on_processes_for"	"processes_for_marital"	"for_marital_differences"	"marital_differences_."	"IN"	"NNS"	"IN"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_main"	"this"	"course"	"take"	"the"	"following"	"directional"	"high"	"roads"	"a"	"of"	"time"	"was"	"spend"	"on"	"processes"	"for"	"solve"	"marital"	"differences"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"a"	"pattern"	"specific"	"pattern_for"	"for_a"	"a_specific"	"a_pattern_for"	"pattern_for_a"	"for_a_specific"	"a_specific_problem"	"DT"	"NN"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"mathematical"	"formula"	"be"	"more_than"	"a"	"pattern"	"for"	"solve"	"a"	"specific"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"when"	"an"	"∅"	"equation"	"∅_when"	"when_an"	"an_equation"	"∅_∅_when"	"∅_when_an"	"when_an_equation"	"an_equation_that"	"ε"	"ε"	"WRB"	"VB"	"DT"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"solve"	"an"	"equation"	"that"	"involve"	"division"	"as_well"	"as"	"steps"	"do"	"all"	"the"	"division"	"steps"	"first"	"to"	"reduce"	"those"	"parts"	"of"	"the"	"equation"	"to"	"their"	"numerical_value"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"in_that"	"one"	"the"	"one_to"	"to_in_that"	"in_that_the"	"difficult_one_to"	"one_to_in_that"	"to_in_that_the"	"in_that_the_determination"	"JJ"	"CD"	"TO"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"problem"	"of"	"fair"	"and"	"equitable"	"of"	"value"	"be"	"a"	"difficult"	"one"	"to"	"solve"	"in_that"	"the"	"determination"	"of"	"fair"	"valuation"	"be"	"dependent_on"	"local"	"assessors"	"who"	"in_general"	"be"	"non-professional"	"and"	"part-time"	"personnel"	"take"	"an"	"individualistic"	"approach"	"to"	"the"	"problem"	"0"	"0"	
"2:31:00::"	"to"	"in"	"tough"	"the"	"tough_to"	"to_in"	"in_the"	"be_tough_to"	"tough_to_in"	"to_in_the"	"in_the_sixties"	"VB"	"JJ"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"need"	"for"	"service"	"be"	"here"	"to"	"stay"	"the"	"problem"	"is"	"going_to"	"be"	"tough"	"to"	"solve"	"in"	"the"	"sixties"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"."	"might"	"∅"	"might_be"	"be_."	"._∅"	"it_might_be"	"might_be_."	"be_._∅"	"._∅_∅"	"PRP"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"study"	"the"	"problem"	"for"	"a_few"	"second"	"think_of"	"a"	"means"	"by"	"which"	"it"	"might"	"be"	"solve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"must"	"the"	"we"	"problem"	"we_must"	"must_the"	"the_problem"	"``_we_must"	"we_must_the"	"must_the_problem"	"the_problem_which"	"ε"	"PRP"	"VB"	"VB"	"DT"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"solve"	"the"	"problem"	"which"	"have"	"force"	"these"	"people"	"to"	"depend_upon"	"group"	"for"	"subsistence"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"."	"to"	"∅"	"to_be"	"be_."	"._∅"	"problem_to_be"	"to_be_."	"be_._∅"	"._∅_∅"	"NN"	"TO"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"remain"	"many"	"political"	"administrative"	"problem"	"to"	"be"	"solve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
