"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"
"4:02:01::"	"all"	"."	"good_luck"	"∅"	"good_luck_all"	"all_."	"._∅"	"mean_good_luck_all"	"good_luck_all_."	"all_._∅"	"._∅_∅"	"VB"	"NN"	"RB"	"RB"	"ε"	"ε"	"ε"	"be"	"successful"	"too"	"for"	"just"	"before"	"the"	"moon"	"disappear"	"the"	"frightened"	"toad"	"had"	"begin"	"to"	"spit_out"	"it"	"out"	"again"	"mean"	"good_luck"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"loaf"	","	"they"	"just"	"they_loaf"	"loaf_,"	",_just"	"day_they_loaf"	"they_loaf_,"	"loaf_,_just"	",_just_get"	"NN"	"PRP"	"VB"	"RB"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"they"	"loaf"	"around"	"just"	"get"	"the"	"feel"	"of"	"the"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"move"	"camp"	"∅"	"we"	"∅_move"	"move_camp"	"camp_we"	"∅_∅_move"	"∅_move_camp"	"move_camp_we"	"camp_we_see"	"ε"	"ε"	"VB"	"RB"	"NN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"around"	"camp"	"we"	"see"	"all"	"kind"	"of"	"camp"	"stove"	"lantern"	"cooler"	"bedding"	"game"	"fishing_tackle"	"windbreak"	"and"	"sunshade"	"0"	"0"	"0"	
"4:02:01::"	"be"	"."	"have"	"∅"	"have_be"	"be_."	"._∅"	"always_have_be"	"have_be_."	"be_._∅"	"._∅_∅"	"RB"	"VBP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"person"	"say"	"a"	"certain"	"number"	"of"	"retiring"	"man"	"always"	"have"	"be"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"move"	","	"people"	"to"	"people_move"	"move_,"	",_to"	"the_people_move"	"people_move_,"	"move_,_to"	",_to_find"	"DT"	"NN"	"VB"	"RB"	"ε"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"they"	"had"	"leave"	"of"	"the"	"people"	"move"	"around"	"to"	"find"	"more"	"comfortable"	"place"	"to"	"sit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"always"	"."	"be"	"∅"	"be_always"	"always_."	"._∅"	"person_be_always"	"be_always_."	"always_._∅"	"._∅_∅"	"NNP"	"VB"	"RB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"i"	"did"	"know"	"that"	"person"	"be"	"always"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"gelding"	"so"	"the"	"that"	"the_gelding"	"gelding_so"	"so_that"	"move_around_the_gelding"	"the_gelding_so"	"gelding_so_that"	"so_that_she"	"VB"	"DT"	"NN"	"RB"	"RB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"show"	"her"	"surprise"	"by"	"the"	"rein"	"and"	"move_around"	"the"	"gelding"	"around"	"so"	"that"	"she"	"could"	"get"	"a"	"better"	"look"	"at"	"his"	"face"	"0"	"0"	
"4:02:06::"	"ride"	"and"	"they"	"around"	"they_ride"	"ride_and"	"and_around"	"∅_they_ride"	"they_ride_and"	"ride_and_around"	"and_around_to"	"ε"	"PRP"	"VB"	"RB"	"CC"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ride"	"around"	"and"	"around"	"to"	"trample"	"the"	"figure"	"into"	"the"	"sand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"and"	"to"	"around"	"trample"	"around_and"	"and_to"	"to_trample"	"ride_around_and"	"around_and_to"	"and_to_trample"	"to_trample_the"	"VB"	"RB"	"CC"	"RB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"around"	"and"	"around"	"to"	"trample"	"the"	"figure"	"into"	"the"	"sand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"romp"	"as"	"and"	"person"	"and_romp"	"romp_as"	"as_person"	"person_and_romp"	"and_romp_as"	"romp_as_person"	"as_person_blast"	"NNP"	"CC"	"VB"	"RB"	"IN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"work"	"a"	"walk"	"as"	"the"	"batter"	"to"	"face"	"person"	"and"	"romp"	"around"	"as"	"person"	"blast"	"person"	"next"	"toss"	"foot"	"over"	"the"	"scoreboard"	"in"	"right"	"center"	
