"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"1:15:00::"	"a"	"judge"	"∅"	"a"	"∅_a"	"a_judge"	"judge_a"	"∅_∅_a"	"∅_a_judge"	"a_judge_a"	"judge_a_while"	"ε"	"ε"	"DT"	"NN"	"NN"	"DT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"virginia"	"judge"	"a"	"while"	"back"	"cite"	"a"	"roman"	"jurist"	"to"	"the"	"effect"	"that"	"ten"	"year"	"might"	"be"	"a"	"reasonable"	"length"	"of"	"time"	"for"	"such"	"a"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"be"	"."	"this"	"∅"	"this_be"	"be_."	"._∅"	"∅_this_be"	"this_be_."	"be_._∅"	"._∅_∅"	"ε"	"DT"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"virginia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	","	","	"in"	",_in"	"in_,"	",_in"	"think_,_in"	",_in_,"	"in_,_in"	",_in_the"	"VB"	"ε"	"IN"	"NN"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"stand"	"there"	"think"	"in"	"virginia"	"in"	"the"	"thickening"	"dusk"	"in"	"a"	"costly"	"greatcoat"	"that"	"had"	"belong_to"	"another"	"jew"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"like"	"and"	"state"	"south_carolina"	"state_like"	"like_and"	"and_south_carolina"	"of_state_like"	"state_like_and"	"like_and_south_carolina"	"and_south_carolina_develop"	"IN"	"NN"	"IN"	"NN"	"CC"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"long"	"settled"	"of"	"state"	"like"	"virginia"	"and"	"south_carolina"	"develop"	"the"	"antebellum"	"culture"	"to"	"its"	"rich"	"flowering"	"and"	"there"	"the"	"memory"	"be"	"more"	"precious"	"and"	"the"	"consciousness"	"of"	"loss"	"the"	"great"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	";"	"richmond"	"san_francisco"	"richmond_,"	",_;"	";_san_francisco"	";_richmond_,"	"richmond_,_;"	",_;_san_francisco"	";_san_francisco_,"	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"for"	"further"	"information"	"contact"	"group"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	";"	"richmond"	"san_francisco"	"richmond_,"	",_;"	";_san_francisco"	";_richmond_,"	"richmond_,_;"	",_;_san_francisco"	";_san_francisco_,"	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"for"	"further"	"information"	"contact"	"sba_regional"	"office"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"authority"	"that"	"show"	"that_the"	"the_authority"	"authority_show"	"complain_that_the"	"that_the_authority"	"the_authority_show"	"authority_show_indecent"	"VB"	"IN"	"DT"	"NN"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"group"	"continue"	"to"	"accuse"	"republican"	"and"	"the"	"continue"	"to"	"accuse"	"democrat"	"the"	"group"	"complain"	"that"	"the"	"virginia"	"authority"	"show"	"indecent"	"and"	"cowardly"	"haste"	"to"	"condemn"	"person"	"and"	"his"	"men"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"of"	","	"state"	"incite"	"state_of"	"of_,"	",_incite"	"the_state_of"	"state_of_,"	"of_,_incite"	",_incite_slave"	"DT"	"NN"	"IN"	"NN"	"ε"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"october"	"person"	"was"	"find"	"guilty"	"of"	"against"	"the"	"state"	"of"	"virginia"	"incite"	"slave"	"rebellion"	"and"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	"."	"location"	"∅"	"location_,"	",_."	"._∅"	"at_location_,"	"location_,_."	",_._∅"	"._∅_∅"	"IN"	"NNP"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"december"	"person"	"was"	"hang"	"location"	"virginia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"to"	"effort"	"undermine"	"effort_in"	"in_to"	"to_undermine"	"recent_effort_in"	"effort_in_to"	"in_to_undermine"	"to_undermine_the"	"JJ"	"NN"	"IN"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"resolve"	"that"	"his"	"wrong"	"and"	"bereavement"	"in"	"kansas"	"occasion"	"by"	"the"	"violence"	"and"	"brutality"	"of"	"those"	"who"	"be"	"the"	"propagation"	"of"	"slavery"	"in"	"that"	"territory"	"call_for"	"a"	"charitable"	"judgment"	"upon"	"his"	"recent"	"effort"	"in"	"virginia"	"to"	"undermine"	"the"	"despotism"	"from"	"which"	"he"	"had"	"suffer"	"and"	"commend"	"his"	"family"	"to"	"the"	"special"	"sympathy"	"and"	"aid"	"of"	"all"	"who"	"pity"	"suffering"	"and"	"reverence"	"justice"	
