"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"
"3:00:00::"	"by_no_means"	"with"	"be"	"him"	"be_by_no_means"	"by_no_means_with"	"with_him"	"story_be_by_no_means"	"be_by_no_means_with"	"by_no_means_with_him"	"with_him_,"	"NN"	"VB"	"RB"	"JJ"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"ingredient"	"of"	"person"	"and"	"story"	"be"	"by_no_means"	"new"	"with"	"him"	"and"	"most_of"	"the"	"problem"	"he"	"take_up"	"have"	"have"	"the"	"attention"	"of"	"author"	"before"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:original:00"	"a"	"angle"	","	"base"	",_a"	"a_angle"	"angle_base"	"soap_,_a"	",_a_angle"	"a_angle_base"	"angle_base_on"	"NN"	"ε"	"DT"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"were"	"supposed"	"to"	"meet"	"person"	"at"	"nine"	"p.m."	"for"	"conference"	"concern"	"the"	"ad_campaign"	"for"	"their"	"soap"	"a"	"new"	"angle"	"base"	"on"	"this"	"sx-21"	"stuff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"attract"	"industry"	"to"	"."	"to_attract"	"attract_industry"	"industry_."	"desire_to_attract"	"to_attract_industry"	"attract_industry_."	"industry_._∅"	"NN"	"TO"	"VB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"this"	"trend"	"toward"	"area"	"vocational_school"	"has"	"be"	"related"	"to"	"problem"	"of"	"persistent"	"labor"	"surplus"	"area"	"and"	"their"	"desire"	"to"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"industrial"	"of"	"plant"	"of_a"	"a_industrial"	"industrial_plant"	"need_of_a"	"of_a_industrial"	"a_industrial_plant"	"industrial_plant_be"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"need"	"of"	"a"	"new"	"industrial"	"plant"	"be"	"a"	"short"	"period"	"of"	"pre"	"employment"	"training"	"for"	"a"	"large_number"	"of"	"semiskilled"	"machine"	"operator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"attract"	"industry"	"of"	"."	"of_attract"	"attract_industry"	"industry_."	"purpose_of_attract"	"of_attract_industry"	"attract_industry_."	"industry_._∅"	"NN"	"RB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"state"	"make"	"effective"	"use"	"of"	"their"	"existing"	"education"	"program"	"or"	"funds"	"for"	"the"	"purpose"	"of"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:inexperienced:00"	"a"	"leader"	"receive"	","	"receive_a"	"a_leader"	"leader_,"	"troop_receive_a"	"receive_a_leader"	"a_leader_,"	"leader_,_person"	"NN"	"VB"	"DT"	"JJ"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"receive"	"a"	"new"	"leader"	"person"	"fresh"	"out"	"of"	"rotc"	"and"	"buck"	"for"	"regular_army"	"status"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:original:00;3:00:00::"	"wholly"	"society"	"a"	","	"a_wholly"	"wholly_society"	"society_,"	"create_a_wholly"	"a_wholly_society"	"wholly_society_,"	"society_,_we"	"VB"	"DT"	"RB"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"create"	"a"	"wholly"	"new"	"society"	"we"	"could"	"insist"	"that"	"our"	"social"	"political"	"economic"	"and"	"philosophic"	"institution"	"foster"	"rather"	"than"	"hamper"	"man"	"best"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"blatancy"	"of"	"in"	"of_a"	"a_blatancy"	"blatancy_in"	"start_of_a"	"of_a_blatancy"	"a_blatancy_in"	"blatancy_in_the"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"dinner"	"be"	"start"	"of"	"a"	"new"	"blatancy"	"in"	"the"	"relationship"	"between"	"the"	"gang"	"and"	"the"	"politician"	"which"	"prior"	"to"	"say"	"person"	"had"	"been"	"maintain"	"with"	"more_or_less"	"stealth"	"but"	"which"	"henceforth"	"was"	"mark"	"by"	"these"	"ostentatious"	"gathering"	"denounce"	"by"	"a"	"clergyman"	"as"	"belshazzar"	"feast"	"at"	"which"	"politician"	"fraternize"	"cheek_by_jowl"	"with"	"gangster"	"openly"	"in"	"the"	"big"	"downtown"	"hotel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"text"	"look_up"	"occurrence"	"look_up_a"	"a_text"	"text_occurrence"	"to_look_up_a"	"look_up_a_text"	"a_text_occurrence"	"text_occurrence_in"	"JJ"	"VB"	"DT"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"dictionary"	"form"	"is"	"look_up"	"in"	"the"	"text"	"list"	"by"	"the"	"same"	"method"	"use"	"to"	"look_up"	"a"	"new"	"text"	"occurrence"	"in"	"the"	"form"	"list"	"during"	"text"	"reading"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"decade"	"in"	"will"	"in_the"	"the_decade"	"decade_will"	"marketing_in_the"	"in_the_decade"	"the_decade_will"	"decade_will_be"	"NN"	"IN"	"DT"	"JJ"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marketing"	"the"	"new"	"decade"	"will"	"be"	"no"	"picnic"	"for"	"the"	"sixties"	"will"	"present"	"possibly"	"most"	"intense"	"competitive"	"activity"	"that"	"you"	"have"	"experience"	"in"	"the"	"last"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
