"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"1:10:01::"	"tv"	","	"upcoming"	"underwater_western_eye"	"upcoming_tv"	"tv_,"	",_underwater_western_eye"	"an_upcoming_tv"	"upcoming_tv_,"	"tv_,_underwater_western_eye"	",_underwater_western_eye_,"	"DT"	"JJ"	"NN"	"NN"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"impact"	"in"	"the"	"zing"	"commercial"	"had"	"lead"	"to"	"being"	"consider"	"for"	"an"	"excellent"	"part"	"in"	"an"	"upcoming"	"tv"	"series"	"underwater_western_eye"	"a"	"documentary"	"type"	"show"	"to"	"be"	"sponsor"	"by"	"oatnut_grits"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"of"	"through"	"extramarital"	"through_a"	"a_of"	"of_extramarital"	"flurry_through_a"	"through_a_of"	"a_of_extramarital"	"of_extramarital_affair"	"VB"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"such"	"wife"	"person"	"say"	"become"	"disgusted"	"with"	"weak"	"husband"	"and"	"flurry"	"through"	"a"	"series"	"of"	"extramarital"	"affair"	"in"	"the"	"hope"	"of"	"find"	"a"	"strong"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"."	"but"	"∅"	"but_a"	"a_."	"._∅"	"wave_but_a"	"but_a_."	"a_._∅"	"._∅_∅"	"NN"	"CC"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"tsunami"	"be"	"not"	"single"	"wave"	"but"	"a"	"series"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"of"	"of"	"arrow"	"of_the"	"the_of"	"of_arrow"	"shape_of_the"	"of_the_of"	"the_of_arrow"	"of_arrow_in"	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"clear"	"from"	"counterbalanced"	"shape"	"of"	"the"	"series"	"of"	"arrow"	"in"	"figure"	"that"	"there"	"was"	"about"	"an"	"equal"	"number"	"of"	"early"	"and"	"late"	"onset"	"and"	"completion"	"for"	"the"	"girl"	"0"	
"1:14:00::"	"different"	"of"	"in"	"reaction"	"in_different"	"different_of"	"of_reaction"	"rate_in_different"	"in_different_of"	"different_of_reaction"	"of_reaction_tube"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"NN"	"be"	"some"	"variation"	"in"	"result"	"which"	"must"	"be"	"attribute"	"either"	"to"	"trace"	"impurity"	"or"	"to"	"variation"	"in"	"wall"	"effect"	"the"	"photochemical_exchange"	"in"	"the"	"gas"	"phase"	"be"	"sufficiently"	"reproducible"	"so"	"that"	"it"	"seem"	"meaningful"	"to"	"compare"	"the"	"reaction"	"rate"	"in"	"different"	"of"	"reaction"	"tube"	"for"	"the"	"purpose"	"of"	"obtain"	"information"	"on"	"the"	"effect"	"of"	"chlorine"	"concentration"	"and"	"of"	"carbon_tetrachloride"	"concentration"	"on"	"the"	"reaction"	"rate"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"/1"	"∅"	","	"∅_in"	"in_/1"	"/1_,"	"∅_∅_in"	"∅_in_/1"	"in_/1_,"	"/1_,_the"	"ε"	"ε"	"IN"	"NN"	"CD"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"series"	"the"	"relative"	"light"	"intensity"	"was"	"vary"	"by"	"vary"	"the"	"distance"	"of"	"the"	"lamp"	"from"	"the"	"reaction"	"cell"	"over"	"the"	"range"	"from"	"to"	"cm"	"0"	"0"	"0"	
"1:10:01::"	"week"	"."	"the"	"∅"	"the_week"	"week_."	"._∅"	"of_the_week"	"the_week_."	"week_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"program"	"come_out"	"of"	"the"	"group"	"special"	"project"	"department"	"was"	"slot"	"in"	"the"	"du_pont_show"	"of"	"the"	"week"	"series"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"tv"	"on"	"'s"	"the"	"'s_tv"	"tv_on"	"on_the"	"person_'s_tv"	"'s_tv_on"	"tv_on_the"	"on_the_popular"	"NNP"	"POS"	"NN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"that"	"same"	"person"	"tv"	"series"	"on"	"the"	"popular"	"art"	"prove"	"again"	"that"	"give"	"jazz"	"ample"	"breathing_space"	"be"	"one"	"of"	"the"	"most"	"sensible"	"thing"	"a"	"producer"	"can"	"do"	"0"	"0"	
"1:14:00::"	"4"	"be"	"phase"	"due"	"phase_4"	"4_be"	"be_due"	"the_phase_4"	"phase_4_be"	"4_be_due"	"be_due_in"	"DT"	"NN"	"JJ"	"NN"	"VB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"explain"	"that"	"the"	"very"	"directional"	"effect"	"in"	"the"	"phase"	"series"	"be"	"due"	"in"	"large"	"part"	"to"	"their"	"novel"	"method"	"of"	"microphoning"	"and"	"recording"	"the"	"music"	"on"	"a"	"number"	"of"	"tape"	"channel"	
"1:14:00::"	"a"	"of"	"by"	"booking"	"by_a"	"a_of"	"of_booking"	"how_by_a"	"by_a_of"	"a_of_booking"	"of_booking_absurdity"	"WRB"	"NNP"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remember"	"by"	"a"	"series"	"of"	"booking"	"absurdity"	"chicago"	"miss"	"see"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"be"	"of"	"person"	"of_the"	"the_be"	"be_person"	"most_of_the"	"of_the_be"	"the_be_person"	"be_person_,"	"JJ"	"JJ"	"DT"	"NN"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"group"	"who"	"will"	"be"	"the"	"unhappy"	"over"	"news"	"that"	"person"	"probably"	"will"	"sit_out"	"most"	"of"	"the"	"series"	"be"	"person"	"who"	"was"	"beat"	"by"	"person"	"twice"	"last"	"season"	"on"	"dramatic"	"home_run"	"0"	"0"	"0"	"0"	
"1:11:00::"	"a"	"game"	"in"	"."	"in_a"	"a_game"	"game_."	"team_in_a"	"in_a_game"	"a_game_."	"game_._∅"	"NN"	"RB"	"RB"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"person"	"and"	"person"	"both"	"out_of_action"	"due_to"	"injury"	"the"	"group"	"champ"	"still"	"mount"	"a"	"hit"	"attack"	"a"	"parade"	"of"	"eight"	"group"	"pitcher"	"the"	"most"	"ever"	"by"	"one"	"team"	"in"	"a"	"series"	"game"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"home"	"with"	"and"	"team"	"and_home"	"home_with"	"with_team"	"home_and_home"	"and_home_with"	"home_with_team"	"with_team_in"	"JJ"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"owner"	"would_like"	"each"	"club"	"in"	"the"	"team"	"league"	"to"	"play"	"a"	"home"	"and"	"home"	"series"	"with"	"team"	"in"	"its"	"division"	"plus"	"two"	"game"	"against"	"team"	"in"	"the"	"division"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"of"	"in"	"sba"	"in_a"	"a_of"	"of_sba"	"with_in_a"	"in_a_of"	"a_of_sba"	"of_sba_publication"	"VB"	"RB"	"RB"	"NN"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"practical"	"management"	"problem"	"and"	"their"	"solution"	"are"	"deal"	"with"	"in"	"a"	"series"	"of"	"sba"	"publication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"weekend"	"with"	"game"	"the"	"game_weekend"	"weekend_with"	"with_the"	"two_game_weekend"	"game_weekend_with"	"weekend_with_the"	"with_the_new_york"	"JJ"	"NN"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"will"	"engage"	"in"	"his"	"first"	"workout"	"at"	"location"	"to"	"the"	"opening"	"tomorrow"	"night"	"of"	"a"	"two"	"game"	"weekend"	"series"	"with"	"the"	"new_york"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"group"	"title"	"the"	"modestly"	"the_group"	"group_title"	"title_modestly"	"take_the_group"	"the_group_title"	"group_title_modestly"	"title_modestly_``"	"VB"	"DT"	"NNP"	"NN"	"VB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"sheer"	"ambition"	"the"	"group"	"series"	"title"	"modestly"	"wisdom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"new"	"of"	"a"	"article"	"a_new"	"new_of"	"of_article"	"of_a_new"	"a_new_of"	"new_of_article"	"of_article_on"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"exercise"	"i"	"shall"	"discuss"	"in"	"the"	"first"	"of"	"a"	"new"	"series"	"of"	"article"	"on"	"muscle"	"definition"	"specialization"	"of"	"a"	"particular"	"body_part"	"be"	"the"	"one_leg_lunge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"of"	"∅"	"eight"	"∅_a"	"a_of"	"of_eight"	"∅_∅_a"	"∅_a_of"	"a_of_eight"	"of_eight_special"	"ε"	"ε"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"series"	"of"	"eight"	"special"	"test"	"were"	"conduct"	"at"	"different"	"rotor"	"speed"	"to"	"determine"	"the"	"oxygen"	"transfer"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
