"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"1:06:03::"	"a"	"open"	"∅"	"in"	"∅_a"	"a_open"	"open_in"	"∅_∅_a"	"∅_a_open"	"a_open_in"	"open_in_back"	"ε"	"ε"	"DT"	"NN"	"VB"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hall"	"open"	"in"	"back"	"of"	"the"	"bar"	"run"	"toward"	"an"	"ell"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	","	"as"	"almost"	"as_the"	"the_,"	",_almost"	"far_as_the"	"as_the_,"	"the_,_almost"	",_almost_out_of_sight"	"RB"	"IN"	"DT"	"NN"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"son"	"watch"	"until"	"get"	"as"	"far"	"as"	"the"	"hall"	"almost"	"out_of_sight"	"then"	"hurry"	"after"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:06::"	"the"	"where"	"enter"	"the"	"enter_the"	"the_where"	"where_the"	"to_enter_the"	"enter_the_where"	"the_where_the"	"where_the_person"	"TO"	"VB"	"DT"	"NN"	"WRB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"see"	"him"	"in"	"that"	"condition"	"about"	"to"	"enter"	"the"	"hall"	"where"	"the"	"person"	"the"	"queen"	"the"	"whole"	"royal_family"	"and"	"all"	"the"	"member"	"of"	"the"	"high"	"aristocracy"	"would"	"be"	"present"	"person"	"and"	"the"	"person"	"and_others"	"try"	"to"	"stop"	"him"	
"1:06:05::"	"the"	"confuse"	"moment"	"him"	"moment_the"	"the_confuse"	"confuse_him"	"a_moment_the"	"moment_the_confuse"	"the_confuse_him"	"confuse_him_."	"DT"	"NN"	"DT"	"NN"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"moment"	"the"	"hall"	"confuse"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"."	"into"	"∅"	"into_the"	"the_."	"._∅"	"run_out_into_the"	"into_the_."	"the_._∅"	"._∅_∅"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i'm"	"mad"	"shout"	"person"	"as"	"he"	"into"	"the"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:04::"	"residential"	","	"the"	"person"	"the_residential"	"residential_,"	",_person"	"toward_the_residential"	"the_residential_,"	"residential_,_person"	",_person_come_out"	"IN"	"DT"	"JJ"	"NN"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"person"	"was"	"back"	"toward"	"the"	"residential"	"hall"	"person"	"come_out"	"of"	"the"	"basement"	"and"	"bound"	"up_to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:04::"	"residential"	"."	"the"	"∅"	"the_residential"	"residential_."	"._∅"	"to_the_residential"	"the_residential_."	"residential_._∅"	"._∅_∅"	"TO"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"warm_to"	"his"	"overall"	"strategy"	"the"	"time"	"he"	"get_back"	"to"	"the"	"residential"	"hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:04::"	"residential"	","	"the"	"and_then"	"the_residential"	"residential_,"	",_and_then"	"in_the_residential"	"the_residential_,"	"residential_,_and_then"	",_and_then_to"	"IN"	"DT"	"JJ"	"NN"	"ε"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"find"	"person"	"in"	"the"	"parlor"	"and"	"ask"	"to"	"make"	"sure"	"everything"	"in_order"	"in"	"the"	"residential"	"hall"	"and_then"	"to"	"take_charge"	"of"	"the"	"office"	"while"	"the"	"party"	"be"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:05::"	"the"	"door"	"block"	"."	"block_the"	"the_door"	"door_."	"that_block_the"	"block_the_door"	"the_door_."	"door_._∅"	"WDT"	"VB"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"sit"	"in"	"chair"	"that"	"block"	"the"	"hall"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"outside"	"up_and_down"	"the"	"up_and_down_the"	"the_outside"	"outside_the"	"gaily_up_and_down_the"	"up_and_down_the_outside"	"the_outside_the"	"outside_the_murdered"	"RB"	"RB"	"DT"	"NN"	"NN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"if"	"person"	"had"	"first"	"come_upon"	"us"	"when"	"this"	"boy"	"was"	"cavort"	"so"	"gaily"	"up_and_down"	"the"	"hall"	"outside"	"the"	"murdered"	"woman"	"apartment"	"we"	"might"	"have"	"have"	"less"	"trouble"	"convince"	"person"	"of"	"our"	"seriousness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
