"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"
"2:36:01::"	"is"	"with"	"''"	"numerous"	"''_is"	"is_with"	"with_numerous"	"brown_studies_''_is"	"''_is_with"	"is_with_numerous"	"with_numerous_excellent"	"NN"	"ε"	"VBZ"	"VB"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"blue"	"skies"	"brown_studies"	"illustrate"	"with"	"numerous"	"excellent"	"photographs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"by"	"problem"	"the"	"problem_is"	"is_by"	"by_the"	"this_problem_is"	"problem_is_by"	"is_by_the"	"by_the_fact"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"is"	"illustrate"	"by"	"the"	"fact"	"that"	"many"	"local"	"churches"	"drop"	"from"	"the"	"active"	"membership"	"rolls"	"each_year"	"as_many"	"as"	"they"	"receive"	"into"	"the"	"fellowship"	"0"	"0"	
"2:32:00::"	"to"	","	"∅"	"the"	"∅_to"	"to_,"	",_the"	"∅_∅_to"	"∅_to_,"	"to_,_the"	",_the_first"	"ε"	"ε"	"TO"	"VB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"illustrate"	"the"	"first"	"blessing"	"in"	"the"	"king_james_bible"	"read"	"blessed"	"be"	"the"	"poor"	"in"	"spirit"	"for"	"their"	"be"	"the"	"kingdom"	"of"	"heaven"	"0"	"0"	"0"	"0"	
"2:32:00::"	"clearly"	"in"	"is"	"the"	"is_clearly"	"clearly_in"	"in_the"	"reactions_is_clearly"	"is_clearly_in"	"clearly_in_the"	"in_the_kinsey"	"NNS"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wide"	"divergence"	"reactions"	"is"	"clearly"	"illustrate"	"in"	"the"	"kinsey"	"studies"	"in"	"human"	"sexuality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"authentic"	"intend"	"folk"	"intend_to"	"to_authentic"	"authentic_folk"	"program_intend_to"	"intend_to_authentic"	"to_authentic_folk"	"authentic_folk_styles"	"NN"	"VB"	"TO"	"VB"	"JJ"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"was"	"not"	"program"	"intend"	"to"	"illustrate"	"authentic"	"folk"	"styles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"graphically"	"the"	"which"	"cdc"	"which_graphically"	"graphically_the"	"the_cdc"	",_which_graphically"	"which_graphically_the"	"graphically_the_cdc"	"the_cdc_'s"	"ε"	"WDT"	"RB"	"VB"	"DT"	"NNP"	"POS"	"just"	"receive"	"an"	"announcement"	"of"	"the"	"th"	"assembly"	"district"	"organizing"	"convention"	"wednesday"	"night"	"in"	"south_pasadena"	"war_memorial_bldg."	"which"	"graphically"	"illustrate"	"cdc"	"broad"	"appeal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"another"	"use"	"point"	"use_to"	"to_another"	"another_point"	"be_use_to"	"use_to_another"	"to_another_point"	"another_point_where"	"VB"	"VB"	"JJ"	"VB"	"DT"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"early"	"humorist"	"already"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	
"2:32:00::"	"also"	"by"	"is"	"the"	"is_also"	"also_by"	"by_the"	"factor_is_also"	"is_also_by"	"also_by_the"	"by_the_history"	"NN"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"impact"	"of"	"factor"	"is"	"also"	"illustrate"	"by"	"the"	"history"	"of"	"the"	"high"	"energy"	"fuel"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"evaluation"	"how"	"for"	"this"	"for_evaluation"	"evaluation_how"	"how_this"	"roleplaying_for_evaluation"	"for_evaluation_how"	"evaluation_how_this"	"how_this_procedure"	"NN"	"IN"	"NN"	"VB"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"use"	"roleplaying"	"for"	"evaluation"	"illustrate"	"how"	"this"	"procedure"	"can"	"be"	"use"	"in"	"real_life"	"situation"	"without"	"special"	"equipment"	"or"	"special"	"assistant"	"during"	"the"	"daily"	"course"	"of"	"work"	
"2:32:00::"	"which"	"some"	"example"	"of"	"example_which"	"which_some"	"some_of"	"an_example_which"	"example_which_some"	"which_some_of"	"some_of_the"	"DT"	"NN"	"WDT"	"VB"	"DT"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"conclude"	"this"	"section"	"we"	"to"	"give"	"an"	"example"	"which"	"illustrate"	"some"	"of"	"the"	"idea"	"of"	"the"	"primary"	"decomposition"	"theorem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
