"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"2:41:00::"	"become"	","	"to"	"grow"	"to_become"	"become_,"	",_grow"	"members_to_become"	"to_become_,"	"become_,_grow"	",_grow_parts"	"NNS"	"TO"	"VB"	"VB"	"ε"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"the_most"	"difficult"	"problem"	"in"	"the"	"church"	"program"	"of"	"evangelism"	"be"	"right"	"at"	"this"	"help"	"new"	"members"	"to"	"become"	"participate"	"grow"	"parts"	"of"	"the"	"fellowship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"become"	","	"can"	"grow"	"can_become"	"become_,"	",_grow"	"members_can_become"	"can_become_,"	"become_,_grow"	",_grow_members"	"NNS"	"MD"	"VB"	"VB"	"ε"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new"	"can"	"become"	"participate"	"grow"	"members"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"in_all"	"organization"	"the"	"organization_,"	",_in_all"	"in_all_the"	"'s_organization_,"	"organization_,_in_all"	",_in_all_the"	"in_all_the_exercises"	"POS"	"NN"	"ε"	"VB"	"RB"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._depugh"	"the"	"mother"	"of"	"five"	"children"	"and"	"an"	"member"	"of"	"her"	"husband"	"organization"	"participate"	"in_all"	"the"	"exercises"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"in_this"	"today"	"tribute"	"today_to"	"to_in_this"	"in_this_tribute"	"present_today_to"	"today_to_in_this"	"to_in_this_tribute"	"in_this_tribute_to"	"JJ"	"NN"	"TO"	"VB"	"RB"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"greater"	"pleasure"	"has"	"come"	"to"	"me"	"in"	"my"	"service"	"in_this"	"house"	"than"	"to"	"be"	"present"	"today"	"to"	"participate"	"in_this"	"tribute"	"to"	"this"	"great"	"speaker"	"this"	"great"	"legislator"	"this"	"great"	"texan"	"this"	"great"	"american"	"0"	"0"	
"2:41:00::"	"to"	"actively"	"desire"	"in"	"desire_to"	"to_actively"	"actively_in"	"him_desire_to"	"desire_to_actively"	"to_actively_in"	"actively_in_civic"	"PRP"	"VB"	"TO"	"VB"	"RB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"should"	"also"	"him"	"desire"	"to"	"participate"	"actively"	"in"	"civic"	"school"	"and"	"religious"	"life"	"of"	"the"	"community"	"so_that"	"that"	"phase"	"of"	"newark"	"will"	"live_up_to"	"the"	"challenge"	"present"	"by"	"this"	"exhibit"	
"2:41:00::"	"also"	"in_this"	","	"huge"	",_also"	"also_in_this"	"in_this_huge"	"chairmen_,_also"	",_also_in_this"	"also_in_this_huge"	"in_this_huge_operation"	"NNS"	"ε"	"RB"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"moreover"	"the"	"entire"	"state"	"democratic"	"hierarchy"	"from"	"gov._brown"	"down"	"to"	"the"	"county"	"chairmen"	"also"	"participate"	"in_this"	"huge"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"in"	"require"	"any"	"require_to"	"to_in"	"in_any"	"not_require_to"	"require_to_in"	"to_in_any"	"in_any_further"	"RB"	"VB"	"TO"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"i"	"was"	"draft"	"and"	"after"	"serve"	"two"	"years"	"on"	"active"	"duty"	"i"	"was"	"not"	"require"	"to"	"participate"	"in"	"any"	"further"	"army_reserve"	"activities"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"family"	"."	"the"	"∅"	"the_family"	"family_."	"._∅"	"of_the_family"	"the_family_."	"family_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"of"	"riviera"	"presbyterian_church"	"has"	"been"	"ask"	"to"	"read"	"the"	"bible"	"and"	"pray"	"together"	"daily"	"during"	"national_christian_family_week"	"and"	"to"	"undertake"	"one"	"project"	"in_which"	"all"	"members"	"of"	"the"	"family"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"in"	"cooperate"	"their"	"cooperate_and"	"and_in"	"in_their"	",_cooperate_and"	"cooperate_and_in"	"and_in_their"	"in_their_development"	"ε"	"VB"	"CC"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"cause"	"on-site"	"inspection"	"to"	"be"	"make"	"of"	"promising"	"project"	"domestic"	"and"	"foreign"	"and"	"in"	"the"	"case"	"of"	"project"	"located"	"in"	"united_states"	"cooperate"	"and"	"in"	"their"	"development"	"in"	"instance"	"in"	"which"	"the"	"purpose"	"of_this"	"act"	"will"	"be"	"serve"	"thereby"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"in"	"foster"	"regional"	"foster_and"	"and_in"	"in_regional"	"∅_foster_and"	"foster_and_in"	"and_in_regional"	"in_regional_,"	"ε"	"VB"	"CC"	"VB"	"IN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"participate"	"in"	"regional"	"national"	"and"	"international"	"conference"	"relate"	"to"	"saline"	"water"	"conversion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
