"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:38:02::"	"you"	"to"	"when"	"the"	"when_you"	"you_to"	"to_the"	"``_when_you"	"when_you_to"	"you_to_the"	"to_the_majors"	"ε"	"WRB"	"PRP"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"come_up"	"to"	"the"	"majors"	"did"	"you"	"seek_out"	"williams"	"for"	"advice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"five"	"while"	"∅"	"owen"	"∅_five"	"five_while"	"while_owen"	"∅_∅_five"	"∅_five_while"	"five_while_owen"	"while_owen_was"	"ε"	"ε"	"CD"	"VB"	"IN"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"come_up"	"while"	"owen"	"was"	"listen"	"to"	"the"	"wrangler"	"and"	"he"	"neglect"	"to"	"play"	"a"	"loss"	"of"	"ten"	"dollars"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	"and"	"with"	"study"	"recommendations"	"study_and"	"and_with"	"with_recommendations"	"the_study_and"	"study_and_with"	"and_with_recommendations"	"with_recommendations_for"	"DT"	"NN"	"CC"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"governor_notte"	"say"	"last"	"night"	"he"	"plan"	"to"	"a"	"committee"	"to"	"make"	"the"	"study"	"and"	"come_up"	"with"	"recommendations"	"for"	"changes"	"in_time"	"for"	"the"	"next"	"session"	"of"	"the"	"general_assembly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:02::"	"had"	"also"	"dill"	"."	"dill_had"	"had_also"	"also_."	"∅_dill_had"	"dill_had_also"	"had_also_."	"also_._∅"	"ε"	"NNP"	"VBD"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"come_up"	"also"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"things"	"again_and_again"	"these"	"''"	"these_things"	"things_again_and_again"	"again_and_again_''"	"have_these_things"	"these_things_again_and_again"	"things_again_and_again_''"	"again_and_again_''_,"	"VB"	"DT"	"NNS"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hate"	"to"	"these"	"things"	"come_up"	"again_and_again"	"dr._jenkins"	"comment"	"as"	"he"	"make"	"his"	"suggestion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"that"	"once"	"emergencies"	","	"emergencies_that"	"that_once"	"once_,"	"minor_emergencies_that"	"emergencies_that_once"	"that_once_,"	"once_,_twice"	"JJ"	"NNS"	"IN"	"VB"	"RB"	"ε"	"RB"	"to"	"be"	"do"	"about"	"the"	"furnace"	"the"	"fuel"	"bills"	"the"	"washing_machine"	"the"	"doctor"	"and"	"dentist"	"bills"	"about"	"make"	"money"	"stretch"	"for"	"food"	"for"	"the"	"mortgage"	"for"	"taxes"	"for"	"shoes"	"for"	"half_soles"	"for"	"overshoes"	"for"	"clothes"	"for"	"the"	"new"	"leaks"	"in"	"the"	"roof"	"for"	"gas"	"and"	"light"	"bills"	"about"	"keep"	"warm"	"about"	"keep"	"well"	"about"	"meet"	"the"	"minor"	"emergencies"	"that"	"come_up"	"once"	"fifty"	"times"	"a"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	","	"with"	"automobile"	"an"	"automobile_,"	",_with"	"with_an"	"by_automobile_,"	"automobile_,_with"	",_with_an"	"with_an_average"	"IN"	"NN"	"ε"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"compute"	"the"	"cost"	"for"	"people"	"to"	"vacation"	"by"	"automobile"	"come_up"	"with"	"an"	"average"	"daily"	"expenditure"	"figure"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"trial"	"in"	"my"	"federal_court"	"my_trial"	"trial_in"	"in_federal_court"	"with_my_trial"	"my_trial_in"	"trial_in_federal_court"	"in_federal_court_next"	"IN"	"PRP$"	"NN"	"VB"	"IN"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"trial"	"come_up"	"in"	"federal_court"	"next"	"week"	"i"	"would"	"n't"	"want"	"that"	"picture"	"publish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	"person"	"with"	"and"	"some"	"and_person"	"person_with"	"with_some"	"fourth_and_person"	"and_person_with"	"person_with_some"	"with_some_good"	"JJ"	"CC"	"NNP"	"VB"	"VB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"make"	"a"	"spectacular"	"play"	"on"	"person"	"grounder"	"the"	"hole"	"in"	"the"	"fourth"	"and"	"person"	"come_up"	"with"	"some"	"good"	"stop"	"and"	"show"	"a"	"strong"	"arm"	"at"	"third_base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"at_least"	"and"	"or"	"hang_around"	"or_at_least"	"at_least_and"	"and_hang_around"	",_or_at_least"	"or_at_least_and"	"at_least_and_hang_around"	"and_hang_around_and"	"ε"	"CC"	"RB"	"VB"	"CC"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"one"	"place"	"where"	"person"	"could"	"go"	"for"	"a"	"in"	"a"	"back"	"booth"	"without"	"anyone"	"notice"	"him"	"or"	"at_least"	"come_up"	"and"	"hang_around"	"and"	"want"	"to"	"know"	"all"	"the"	"low-down"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
