"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"4:02:00::"	"be"	"that"	"procedure"	"the"	"procedure_be"	"be_that"	"that_the"	"this_procedure_be"	"procedure_be_that"	"be_that_the"	"that_the_applicant"	"RB"	"NN"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reason"	"for"	"the"	"of"	"this"	"procedure"	"be"	"simply"	"that"	"the"	"applicant"	"were"	"test"	"at"	"work"	"in"	"different"	"situation"	"by"	"the"	"judgment"	"of"	"a"	"number"	"of"	"expert"	"who"	"could"	"see"	"how"	"the"	"salesman"	"conduct"	"themselves"	"with"	"different"	"but"	"typical"	"restaurant"	"owner"	"and"	"manager"	
"4:02:00::"	"stress"	"indicate"	"dominant"	"a"	"dominant_stress"	"stress_indicate"	"indicate_a"	"often_dominant_stress"	"dominant_stress_indicate"	"stress_indicate_a"	"indicate_a_centering"	"RB"	"JJ"	"NN"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"often"	"stress"	"simply"	"indicate"	"a"	"centering"	"of"	"attention"	"or"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"are"	"say"	"we"	"that"	"we_are"	"are_say"	"say_that"	",_we_are"	"we_are_say"	"are_say_that"	"say_that_at_least"	"ε"	"PRP"	"VBP"	"RB"	"VB"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"we"	"say"	"then"	"that"	"today"	"in"	"our"	"situation"	"the"	"demand"	"for"	"must"	"be"	"accept"	"without"	"condition"	"we"	"are"	"simply"	"say"	"that"	"at_least"	"this"	"much"	"of"	"the"	"liberal"	"tradition"	"be"	"an"	"enduring"	"achievement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"'d"	"like"	"i"	"to"	"i_'d"	"'d_like"	"like_to"	"``_i_'d"	"i_'d_like"	"'d_like_to"	"like_to_know"	"ε"	"PRP"	"MD"	"RB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"like"	"to"	"know"	"if"	"it"	"be"	"as_good_as"	"you"	"kind"	"people"	"seem"	"to"	"think"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"grand"	"person"	"as"	"person_be"	"be_grand"	"grand_as"	"then_person_be"	"person_be_grand"	"be_grand_as"	"grand_as_person"	"RB"	"NNP"	"VB"	"RB"	"JJ"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"be"	"simply"	"grand"	"as"	"person"	"the"	"distraught"	"group"	"district"	"chieftain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"dream"	"a"	"a"	"mental"	"a_dream"	"dream_a"	"a_mental"	"be_a_dream"	"a_dream_a"	"dream_a_mental"	"a_mental_or"	"VB"	"DT"	"NN"	"RB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"dream"	"simply"	"a"	"mental"	"or"	"cerebral"	"movie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"group"	"report"	"the"	"it"	"the_group"	"group_report"	"report_it"	"and_the_group"	"the_group_report"	"group_report_it"	"report_it_-"	"CC"	"DT"	"NNP"	"RB"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"and"	"location"	"publish"	"identical"	"denunciation"	"of"	"person"	"elevation"	"group"	"and"	"the"	"ignore"	"it"	"group"	"snicker"	"at"	"it"	"and"	"the"	"group"	"simply"	"report"	"it"	"the"	"fosterites"	"in"	"england"	"be"	"few"	"but"	"extremely"	"militant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"not"	"of"	"want"	"decency"	"want_not"	"not_of"	"of_decency"	"their_want_not"	"want_not_of"	"not_of_decency"	"of_decency_but"	"PRP$"	"NN"	"RB"	"RB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trick"	"these"	"two"	"play"	"person"	"reveal"	"their"	"want"	"not"	"simply"	"of"	"decency"	"but"	"of"	"imagination"	"as_well"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"consider"	"as"	"life"	"a"	"life_consider"	"consider_as"	"as_a"	"by_life_consider"	"life_consider_as"	"consider_as_a"	"as_a_spectacle"	"IN"	"NN"	"VB"	"RB"	"IN"	"DT"	"NN"	"further"	"characterize"	"in"	"antithesis"	"to"	"person"	"as"	"animal"	"the"	"image"	"of"	"a"	"dog"	"which"	"appear"	"at"	"several"	"place"	"is"	"first"	"give"	"as"	"the"	"criterion"	"of"	"amiable"	"irrelevant"	"interest"	"arouse"	"by"	"life"	"consider"	"as"	"a"	"spectacle"	"a"	"dog"	"in"	"a"	"wagon"	"be"	"admirable"	"a"	"pleasure"	"to"	"contemplate"	"another"	"wagon"	"have"	"no"	"dog"	"and"	"therefore"	"be"	"devoid_of"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"unreflective"	","	","	",_be"	"be_unreflective"	"unreflective_,"	"blue-eyed_,_be"	",_be_unreflective"	"be_unreflective_,"	"unreflective_,_unproblematic"	"JJ"	"ε"	"VB"	"RB"	"JJ"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cyclist"	"by"	"contrast"	"blond"	"blue-eyed"	"be"	"simply"	"unreflective"	"unproblematic"	"person"	"blithe"	"and"	"carefree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
