"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"1:11:00::"	"liquid"	"through"	"of"	"muddy"	"of_liquid"	"liquid_through"	"through_muddy"	"ribbon_of_liquid"	"of_liquid_through"	"liquid_through_muddy"	"through_muddy_water"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"was"	"no"	"real"	"sign"	"of"	"the"	"river"	"just"	"a"	"roiling"	"oily"	"ribbon"	"of"	"liquid"	"movement"	"through"	"muddy"	"water"	"that"	"reach"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"protestant"	"in_this"	"the"	"country"	"the_protestant"	"protestant_in_this"	"in_this_country"	"between_the_protestant"	"the_protestant_in_this"	"protestant_in_this_country"	"in_this_country_and"	"IN"	"DT"	"JJ"	"NN"	"RB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"american"	"democratic"	"thought"	"point_up"	"relation"	"between"	"the"	"protestant"	"movement"	"in_this"	"country"	"and"	"the"	"development"	"of"	"a"	"social"	"religion"	"which"	"he"	"call"	"the"	"american"	"democratic"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:03::"	"a"	"to"	"fundamentally"	"democratize"	"fundamentally_a"	"a_to"	"to_democratize"	"positivism_fundamentally_a"	"fundamentally_a_to"	"a_to_democratize"	"to_democratize_policy"	"IN"	"RB"	"DT"	"NN"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"municipal"	"system"	"we"	"tend"	"to"	"what"	"be"	"called"	"positivism"	"fundamentally"	"a"	"movement"	"to"	"democratize"	"policy"	"by"	"increase"	"the"	"power"	"of"	"parliament"	"the"	"elected"	"representative"	"at"	"the"	"expense"	"of"	"the"	"more"	"conservative"	"judiciary"	
"1:04:00::"	"sudden"	"at"	"of"	"a"	"of_sudden"	"sudden_at"	"at_a"	"stirring_of_sudden"	"of_sudden_at"	"sudden_at_a"	"at_a_crossroad"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ahead"	"there"	"be"	"stirring"	"of"	"sudden"	"movement"	"at"	"a"	"crossroad"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"every"	"be"	"her"	"lovely"	"her_every"	"every_be"	"be_lovely"	"of_her_every"	"her_every_be"	"every_be_lovely"	"be_lovely_to"	"IN"	"PRP$"	"DT"	"NN"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"as"	"exciting"	"but"	"in"	"a"	"more"	"technically"	"proficient"	"be"	"person"	"whose"	"complete"	"control"	"of"	"her"	"every"	"movement"	"be"	"lovely"	"to"	"watch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"physical"	"in"	"much"	"the"	"much_physical"	"physical_in"	"in_the"	"too_much_physical"	"much_physical_in"	"physical_in_the"	"in_the_first"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"direct"	"a"	"difficult"	"play"	"here"	"usually"	"but"	"with"	"just"	"a_bit"	"too"	"much"	"physical"	"movement"	"in"	"the"	"first"	"act"	"for"	"my"	"taste"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"tracing"	"would"	"the"	"provide"	"the_tracing"	"tracing_would"	"would_provide"	"of_the_tracing"	"the_tracing_would"	"tracing_would_provide"	"would_provide_clue"	"IN"	"DT"	"NN"	"NN"	"MD"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"one"	"would"	"surmise"	"the"	"procedure"	"however"	"could"	"be"	"repeat"	"with"	"the"	"same"	"object"	"or"	"with"	"the"	"same"	"type"	"of"	"object"	"often"	"enough"	"so"	"that"	"the"	"corresponding"	"visual"	"blot"	"and"	"the"	"beginning"	"of"	"the"	"tracing"	"movement"	"would"	"provide"	"clue"	"as_to"	"the"	"actual"	"shape"	"which"	"the"	"patient"	"then"	"immediately"	"could"	"determine"	"by"	"a"	"kind"	"of"	"inference"	"0"	"0"	"0"	
"1:11:00::"	"tracing"	"when"	"the"	"he"	"the_tracing"	"tracing_when"	"when_he"	"of_the_tracing"	"the_tracing_when"	"tracing_when_he"	"when_he_is"	"IN"	"DT"	"NN"	"NN"	"WRB"	"PRP"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"very"	"important"	"question"	"what"	"be"	"then"	"exactly"	"the"	"role"	"of"	"kinesthetic"	"sensation"	"in"	"the"	"patient"	"ability"	"recognize"	"form"	"and"	"shape"	"by"	"means"	"of"	"the"	"tracing"	"movement"	"when"	"he"	"is"	"actually"	"look"	"at"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:04::"	"this"	"of"	"∅"	"industry"	"∅_this"	"this_of"	"of_industry"	"∅_∅_this"	"∅_this_of"	"this_of_industry"	"of_industry_away"	"ε"	"ε"	"DT"	"NN"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"movement"	"of"	"industry"	"away"	"from"	"the"	"central_city"	"be"	"not"	"so"	"catastrophically"	"new"	"as"	"some"	"prophet"	"seem"	"to"	"believe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"∅"	"itself"	"∅"	"be"	"∅_∅"	"∅_itself"	"itself_be"	"∅_∅_∅"	"∅_∅_itself"	"∅_itself_be"	"itself_be_the"	"ε"	"ε"	"ε"	"NN"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"itself"	"be"	"the"	"chief"	"and"	"often"	"the"	"only"	"attraction"	"of"	"the"	"primitive"	"movie"	"of"	"the"	"nineties"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"same"	"in"	"the"	"the"	"the_same"	"same_in"	"in_the"	"perform_the_same"	"the_same_in"	"same_in_the"	"in_the_same"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"you"	"have"	"take_a_breather"	"reverse"	"the"	"position"	"your"	"leg"	"so_that"	"the"	"front"	"thigh"	"of"	"the"	"previous"	"exercise"	"now"	"to"	"the"	"rear"	"and"	"the"	"rear"	"thigh"	"now"	"the"	"front"	"and"	"perform"	"the"	"same"	"movement"	"in"	"the"	"same"	"manner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
